"TID","DE"
"TID_BRAWL_BOX_INFO_POWER_POINTS_AND_COINS","Powerpunkte + Münzen"
"TID_BRAWL_BOX_INFO_COINS","Münzen"
"TID_BRAWL_BOX_INFO_GUARANTEED_HERO_IN","(alle <DRAWS> Ziehungen garantiert)"
"TID_BRAWL_BOX_INFO_GUARANTEED_STARPOWER_IN","(alle <DRAWS> Ziehungen garantiert)"
"TID_BRAWL_BOX_INFO_GUARANTEED_ACCESSORY_IN","(alle <DRAWS> Ziehungen garantiert)"
"TID_POWER_DROP_VALUE","+<VALUE>"
"TID_COLLECT","EINFORDERN"
"TID_PAGE_FRIENDS_TITLE","FREUNDE"
"TID_PAGE_FRIENDS_TITLE2","Brawle zusammen mit Freunden!"
"TID_PAGE_FRIENDS_ADD_FRIENDS","FREUNDE HINZUFÜGEN"
"TID_PAGE_FRIENDS_NO_FRIENDS_NO_LOGIN","Log dich mit Facebook ein oder füge im Spiel Freunde hinzu, um mit ihnen zu spielen!"
"TID_PAGE_FRIENDS_NO_FRIENDS","Log dich mit Facebook ein oder füge im Spiel Freunde hinzu, um mit ihnen zu spielen!"
"TID_FRIENDS_TITLE","<COUNT> Freunde"
"TID_FRIENDS_TAB_1","FREUNDE"
"TID_FRIENDS_TAB_2","VORGESCHLAGEN"
"TID_FRIENDS_TAB_3","EINLADUNGEN"
"TID_TOTAL","INSGESAMT"
"TID_BRAWL_BOX_INFO_TITLE_2","BRAWLBOX-INFO"
"TID_BRAWL_BOX_INFO_TITLE_3","MEGABOX-INFO"
"TID_OFFER_ALSO_INCLUDES","ANGEBOT UMFASST AUCH"
"TID_OFFER_VALUE_TITLE","WERT"
"TID_OFFER_VALUE","+<VALUE> %"
"TID_SHOP_OFFER_COUNTDOWN","<TIME>"
"TID_USE_ULTI_TUTORIAL","Bewege den <cff9900>GELBEN JOYSTICK</c>, um zu zielen!"
"TID_HERO_STATS_TITLE","BRAWLER-STATS"
"TID_GATCHA_SCREEN_ITEMS_REMAINING","VERBLEIBENDE GEGENSTÄNDE:"
"TID_GATCHA_SCREEN_BONUS_ITEMS_REMAINING","VERBLEIBENDE BONI:"
"TID_GATCHA_SCREEN_YOU_GOT","DU ERHÄLTST:"
"TID_GATCHA_SCREEN_BONUSES","BONUSGEGENSTÄNDE:"
"TID_GATCHA_SCREEN_SUMMARY_UNLOCKED","NEU!"
"TID_HERO_LIST_ITEM_UPGRADE","UPGRADEN"
"TID_SHOP_CLAMIMED","Eingefordert"
"TID_SHOP_OFFER_PURCHASE_ERROR_CLAIMED","Dies wurde bereits eingefordert."
"TID_ONLINE","ONLINE"
"TID_LEADERBOARD","RANGLISTE"
"TID_NOT_ENOUGH_TICKETS_INFO","\n\nDu hast keine Tickets mehr!"
"TID_HERO_LIST_NEW","NEU"
"TID_HAMMER_DUDE","FRANK"
"TID_HOLD_PHONE_LIKE_THIS","HALTE DEIN GERÄT SO"
"TID_HINT_FINGER_TAP_TAP","TIPPE!"
"TID_HINT_FINGER_DRAG","STICK BEWEGEN, UM ZU ZIELEN"
"TID_MOVE_HERE","Laufe hierhin."
"TID_HINT_HEADER","TIPP:"
"TID_HINT_0","Du kannst den <ccc0033>roten Joystick</c> antippen, um automatisch auf den nächsten Feind zu schießen."
"TID_HINT_1","Du kannst den <cff9900>gelben Joystick</c> antippen, um deinen Superskill automatisch gegen den nächsten Feind einzusetzen."
"TID_HINT_2","Du kannst den <ccc0033>roten Joystick</c> gedrückt halten und bewegen, um zu zielen."
"TID_HINT_3","Du kannst den <cff9900>gelben Joystick</c> gedrückt halten und bewegen, um zu zielen!"
"TID_HINT_4","Du kannst einen vorbereiteten Schuss abbrechen, indem du den Joystick zurück in die Mitte bewegst."
"TID_HINT_5","Das Matchmaking richtet sich nach der Trophäenanzahl des Brawlers, mit dem du spielst. Dadurch ist es leichter, mit einem neu freigeschalteten Brawler Trophäen zu sammeln."
"TID_HINT_6","Indem du mehr Brawler freischaltest, wird es einfacher, deine Gesamttrophäen zu erhöhen und dir mehr Belohnungen zu sichern."
"TID_HINT_7","Je weiter Pipers Schüsse fliegen, desto mehr Schaden richten sie an."
"TID_HINT_8","Barleys Superskill ist besonders auf nahe Entfernung effektiv, da seine Flaschen so dichter beieinander landen."
"TID_HINT_9","Jedes Mal, wenn Ricos Kugeln abprallen, fliegen sie dadurch weiter."
"TID_HINT_10","Du kannst den <ccc0033>roten Joystick</c> überall auf der rechten Seite des Bildschirms aktivieren, um zu schießen."
"TID_HINT_11","Deinen normalen Angriff sowie deinen Superskill kannst du auf zwei verschiedene Weisen einsetzen: Indem du tippst und so AUTOMATISCH einsetzt oder mithilfe des Joysticks ZIELST."
"TID_HINT_12","Indem du manuell zielst, kannst du sich bewegende Ziele besser treffen."
"TID_HINT_13","AUTOMATISCHES SCHIESSEN eignet sich für Situationen, in denen du keine Zeit zum Zielen hast."
"TID_HINT_14","AUTOMATISCHES SCHIESSEN funktioniert gut gegen Gegner, die sich in deiner Nähe befinden."
"TID_HINT_15","Wenn du dich in einem Busch versteckst, sehen dich Gegner trotzdem, wenn sie nah genug herankommen."
"TID_HINT_16","AUTOMATISCHES SCHIESSEN feuert eine Attacke in einer geraden Linie auf den nächsten Feind und berechnet nicht die Bewegungen des Gegners mit ein."
"TID_HINT_17","Manuell zu zielen ist praktisch, um in Büsche zu schießen und sie so auf Gegner zu überprüfen."
"TID_HINT_18","AUTOMATISCHES SCHIESSEN funktioniert gut gegen stillstehende Gegner."
"TID_HINT_19","AUTOMATISCHES SCHIESSEN funktioniert gut gegen Gegner, die in einer geraden Linie auf dich zu oder von dir weg rennen."
"TID_HINT_20","Wenn du in einem Busch angreifst oder Schaden erleidest, können Gegner dich sehen."
"TID_HINT_21","Du kannst Büsche benutzen, um dich vor Gegnern zu verstecken."
"TID_HINT_22","Bei AUTOMATISCHEM SCHIESSEN wird deine Waffe auch abgefeuert, wenn keine Gegner in Reichweite sind."
"TID_VS_TUTORIAL","Sammle alle <ce662f9>JUWELEN</c>!"
"TID_USE_MANUAL_FIRE_TUTORIAL","Bewege den <ccc0033>roten Joystick</c>, um zu zielen!"
"TID_TUTORIAL_GOOD_JOB_2","Gut gemacht! Die <cff6633>ORANGEN BALKEN</c> stellen deine Munition dar. Ich lade so schnell wie möglich nach."
"TID_TUTORIAL_GOOD_JOB_3","Gut gemacht! Triffst du Gegner, lädst du damit deinen <cff9900>SUPERSKILL</c> auf!"
"TID_TUTORIAL_GOOD_JOB_4","Gut gemacht!"
"TID_SPECTATE_PLAYER_BUTTON","Zusehen"
"TID_SPECTATE_FAILED","Zuschauen nicht möglich"
"TID_ACCOUNT_DISABLED_TEXT","Konto deaktiviert"
"TID_ACCOUNT_DELETED_ON_REQUEST_TEXT","Dieses Konto wurde aufgrund einer Löschungsanfrage deaktiviert und kann nicht mehr wiederhergestellt werden."
"TID_ACCOUNT_DELETED_DUE_INACTIVITY_TEXT","Dieses Konto wurde aufgrund von Inaktivität deaktiviert und kann nicht mehr wiederhergestellt werden."
"TID_ACCOUNT_DELETION_WARNING_TITLE","Warnung zur Kontolöschung"
"TID_ACCOUNT_DELETION_WARNING_TEXT","Du hast beantragt, dass dein Konto in Kürze gelöscht wird. Falls du es dir anders überlegt hast, kontaktiere den Support, um die Anfrage so schnell wie möglich rückgängig zu machen."
"TID_ACCOUNT_DELETION_WARNING_TEXT_PAST","Du hast beantragt, dass dein Konto in Kürze gelöscht wird. Falls du es dir anders überlegt hast, kontaktiere den Support, um die Anfrage so schnell wie möglich rückgängig zu machen."
"TID_CLAN_JOIN_FAILED_ALREADY_IN_THIS_CLAN","Du bist bereits in diesem Club!"
"TID_CONFIRM_CHANGE_CLAN_TITLE","Club wechseln?"
"TID_CONFIRM_CHANGE_CLAN","Du bist bereits in einem Club. Möchtest du deinen Club wirklich wechseln?"
"TID_CONFIRM_CLAN_FULL_TITLE","Club ist voll!"
"TID_CONFIRM_CLAN_FULL","Du konntest dem Club <clan> nicht beitreten, da er bereits voll ist!"
"TID_BUTTON_CHANGE","Ändern"
"TID_CLAN_JOIN_FAILED_IN_TUTORIAL","Schließe das Tutorial ab, um einem Club beizutreten."
"TID_CLAN_INTRO_INVITE","EINL. TEILEN"
"TID_INVITE_CLAN_TOKEN_ERROR","Fehler beim Generieren der Einladung"
"TID_ALLIANCE_INVITE_FAILED_NO_RIGHTS","Nur die Anführer eines Clubs können neue Mitglieder einladen."
"TID_FRIENDS_FACEBOOK_CONNECT","Verbinden"
"TID_FRIENDS_PAGE_INVITE","EINLADUNG TEILEN"
"TID_SHARE_GAME_ROOM_POST_MESSAGE","Tippe auf diesen Link, um dem Team von <name> in Brawl Stars beizutreten!"
"TID_SHARE_GAME_ROOM_POST_TITLE","In Team einladen"
"TID_ROOM_CODE_COPIED_TO_CLIPBOARD","Team-ID in Zwischenablage kopiert!"
"TID_ROOM_CODE_COPIED_TO_CLIPBOARD_CONFIRM","Okay"
"TID_TEAM_INVITE_BUTTON_LABEL","CODE TEILEN"
"TID_TEAM_INVITE_EXPIRED","Einladung von <NAME> ist abgelaufen"
"TID_TEAM_INVITATION_POPUP_TITLE","TEAMEINLADUNG"
"TID_TEAM_INVITATION_POPUP_ACCEPT","ANNEHMEN"
"TID_TEAM_INVITATION_POPUP_REJECT","ABLEHNEN"
"TID_TEAM_INVITATION_POPUP_MUTE","<NAME>\n10 Min. lang stummschalten"
"TID_TEAM_INVITATION_POPUP_SYSTEM_INVITE","TURNIERSPIEL"
"TID_TEAM_INVITATION_POPUP_MUTE_SYSTEM","DIE NÄCHSTEN 10 MIN.\nSTUMMSCHALTEN"
"TID_BATTLE_ROYALE_5","Säureseen"
"TID_DAILY_COINS_COLLECTED_END_SCREEN","Alle Marken\neingesammelt"
"TID_SHOP_REAL_MONEY_PURCHASES_DISABLED_SPECIAL_BUILD","Käufe mit Echtgeld sind in dieser Spielversion nicht aktiviert."
"TID_SHOP_CHINA_WARNING","Achtung: verantwortungsvoll genießen"
"TID_GATCHA_AD_STATUS_VIEW","WERBECLIP ANSEHEN,\nUM EINE BELOHNUNG ZU VERDOPPELN!"
"TID_GATCHA_AD_STATUS_VIEW_CHOISELESS","HOL DIR MEHR BELOHNUNGEN!"
"TID_GATCHA_AD_STATUS_OUT_OF_VIEWS","Tägliches Cliplimit erreicht"
"TID_GATCHA_AD_STATUS_NO_VIDEO","Kein Video verfügbar"
"TID_GATCHA_AD_CONTINUE_BUTTON_TITLE","WEITER"
"TID_AD_DOUBLER_TITLE","WÄHLE DIE BELOHNUNG, DIE VERDOPPELT WERDEN SOLL"
"TID_AD_DOUBLER_CONTINUE","WEITER"
"TID_GATCHA_CONTINUE","WEITER"
"TID_HINT_23","Einige Brawler sind in bestimmten Ereignissen und Maps stärker als in anderen."
"TID_HINT_24","Brawler mit hoher Reichweite sind für gewöhnlich auf offenen Maps am stärksten."
"TID_HINT_25","Nahkampf-Brawler sind für gewöhnlich auf Maps am stärksten, auf denen es mehr Deckung und Büsche gibt."
"TID_SPEC_ABI_SELF_DESTRUCT","Finalknall"
"TID_SPEC_ABI_SELF_DESTRUCT_DESC","Wird Pennys Kanone zerstört, feuert sie eine letzte Salve von <VALUE2> Bomben auf in der Nähe befindliche Gegner. Jede Bombe verursacht <c00cc00><VALUE1></c> Schaden."
"TID_EVENT_LIST_BRAWL","SPIELEN"
"TID_INVITE_COPIED_TO_CLIPBOARD","Einladungslink in Zwischenablage kopiert!"
"TID_INVITE_COPIED_TO_CLIPBOARD_CONFIRM","Okay"
"TID_FRIEND_INVITE_POST_MESSAGE","Folge diesem Link, um <friend> als Freund in Brawl Stars hinzuzufügen!"
"TID_FRIEND_INVITE_POST_TITLE","Lade einen Freund ein!"
"TID_ALLIANCE_JOIN_POST_MESSAGE","Tippe auf diesen Link, um meinem Club in Brawl Stars beizutreten!"
"TID_ALLIANCE_JOIN_POST_TITLE","Lade einen Freund in deinen Club ein!"
"TID_HOMESCREEN_MODE_LOCKED","Erreiche <COUNT> Gesamttrophäen, um diesen Modus zu spielen!"
"TID_GAMEROOMS_PLAYERS_ONLINE","<count> FREUNDE ONLINE"
"TID_ARTILLERY_DUDE_SHORT_DESC","SCHARFSCHÜTZIN"
"TID_HAMMER_DUDE_SHORT_DESC","SCHWERGEWICHT"
"TID_HAMMER_DUDE_DESC","Frank schwingt seinen Hammer und erzeugt dadurch Schockwellen. Sein Superskill ist ein mächtiger Hieb, der Gegner lähmt."
"TID_HAMMER_DUDE_WEAPON","HAMMERSCHWUNG"
"TID_HAMMER_DUDE_WEAPON_DESC","Frank braucht eine Weile, um mit seinem Hammer auszuholen, schlägt aber so hart zu, dass dabei eine Schockwelle entsteht."
"TID_HAMMER_DUDE_ULTI","LÄHMENDER HIEB"
"TID_HAMMER_DUDE_ULTI_DESC","Franks härtester Hieb erzeugt eine Schockwelle, die die Umgebung zerstört und Gegner eine Zeit lang lähmt."
"TID_SPEC_ABI_STEAL_SOULS2","Grabgabe"
"TID_SPEC_ABI_STEAL_SOULS2_DESC","Frank entzieht Brawlern, die er besiegt, Kraft und erhöht dadurch seinen Schaden <VALUE2> Sekunden lang um <c00cc00><VALUE1> %</c>!"
"TID_ONLINE_FRIENDS_TITLE","ONLINE"
"TID_BATTLE_ROYALE_TEAM_INTRO_TEXT","Seid das letzte überlebende Team!"
"TID_VS_TEAM_SHOWDOWN","Kämpfe mit einem Partner gegen alle anderen Zweierteams!"
"TID_FIRST_WIN","STARMARKE"
"TID_BATTLE_END_TEAM_DEATHMATCH_VICTORY","Dein Team ist Erster!"
"TID_HOMESCREEN_MODE_LOCKED_INFO","Noch <count> Trophäen zum Freischalten"
"TID_HOMESCREEN_LEAGUE_BUTTON_TITLE","TROPHÄENPFAD"
"TID_HOMESCREEN_LEAGUE_BUTTON_COLLECT","EINFORDERN"
"TID_STAR_POWER_INFO","Starpower: <cde9700><NAME></c>\n<DESC>"
"TID_STAR_POWERS_TITLE","STARPOWER"
"TID_ACCESSORIES_TITLE","GADGETS"
"TID_ACCESSORY_TITLE","GADGET"
"TID_ACCESSORIES_INFO","Gadget: <cde9700><NAME></c>\n<DESC>"
"TID_STAR_POWER_STATUS_1_1","<c00ff00>AUSGEWÄHLT</c>"
"TID_STAR_POWER_STATUS_0_0","Du besitzt diese Starpower nicht."
"TID_ACESSORIES_STATUS_0_0","Du besitzt dieses Gadget nicht."
"TID_STAR_POWERS_PICK","AUSWÄHLEN"
"TID_LEAGUE_NAME_0","HOLZ"
"TID_LEAGUE_NAME_1","BRONZE"
"TID_LEAGUE_NAME_2","SILBER"
"TID_LEAGUE_NAME_3","GOLD"
"TID_LEAGUE_NAME_4","DIAMANT"
"TID_LEAGUE_NAME_5","MEISTER"
"TID_LEAGUE_NAME_6","ELITE"
"TID_LEAGUE_NAME_7","ALL-STAR"
"TID_SPECIAL_EVENTS","TÄGLICHES EREIGNIS"
"TID_SPECIAL_EVENT","Sonderereignis:"
"TID_SPECIAL_EVENT_DESC","Schau regelmäßig vorbei und spiele das tägliche Ereignis!"
"TID_SPECIAL_EVENTS_MOD","SONDEREREIGNIS"
"TID_SPECIAL_EVENT_MOD_DESC","Schau regelmäßig vorbei und spiele das tägliche Sonderereignis!"
"TID_PLAYING_AGAIN","Noch ein Spiel (<c11ee11><NUMBER>/<NUMBER2></c>)"
"TID_PLAYING_AGAIN_NO_PLAYERS","Noch ein Spiel"
"TID_BRAWL_BOX_INFO_TITLE_1","INFOS ZUR GROSSEN BOX"
"TID_GATCHA_ERROR_NOT_ENOUGH_WINS","Sammle 10 Starmarken, um eine Große Box zu bekommen!"
"TID_KEY_BAR_INFO","Anzahl <c33a5d7>Marken</c>, die du in Brawls verdienen kannst.\n\nMit Marken kannst du Brawlboxen öffnen."
"TID_KEY_BAR_INFO_DOUBLE_TOKEN_EVENT","DOPPELMARKEN-EREIGNIS\nVerdiene in normalen Brawls die doppelte Anzahl <c33a5d7>Marken</c>.\n\nMit Marken kannst du Brawlboxen öffnen."
"TID_KEY_BAR_INFO_COIN_SHOWER_EVENT","MÜNZREGEN-EREIGNIS\nVerdiene <cff8E1b>Münzen</c> in Kämpfen!\n\nJede in einem regulären Kampf gewonnene Marke beschert dir eine Bonusmünze. Dies gilt auch für Marken, die du mithilfe des Markenverdopplers gewonnen hast!\n\nMünzen kannst du zum Upgraden deiner Brawler nutzen."
"TID_NEW_ONLINE_FRIEND","SPIELER ONLINE"
"TID_NEW_GAME_ROOM","NEUES TEAM"
"TID_KEY_BAR_TITLE","VERFÜGBARE MARKEN"
"TID_PLAYAGAIN_QUIT","VERLASSEN"
"TID_BATTLE_END_WAITING","Auf die anderen warten"
"TID_ERROR_REPLAY_WAITING","Wiederholungsanfrage wird bereits bearbeitet."
"TID_ERROR_REPLAY_NOT_POSSIBLE","Wiederholung ist nicht verfügbar."
"TID_ERROR_SPECTATE_WAITING","Anfrage zum Zuschauen wird bereits bearbeitet."
"TID_ERROR_SPECTATE_NOT_POSSIBLE","Der Spieler kämpft derzeit nicht."
"TID_BRAWL_TV_STARTING","Brawl TV lädt ..."
"TID_ERROR_BRAWL_TV_WAITING","Brawl-TV-Anfrage wird bereits bearbeitet."
"TID_BRAWL_TV_QUIT","Brawl TV #<NUM>"
"TID_ERROR_BRAWL_TV_TUNE_FAILED","Keine Inhalte auf Brawl TV #<NUM> - Kanalwechsel"
"TID_BRAWL_TV_BATTLE_END_RETURN_HOME","Nächstes Video in <NUM> Sekunden"
"TID_BRAWL_TV_BATTLE_END_RETURN_HOME_SOON","Autoplay"
"TID_BRAWL_TV_OFF_RETURN_HOME","TV verlassen"
"TID_FIRST_WIN_INFO_SURVIVAL","Schaffst du es das erste Mal unter die letzten vier Spieler, bekommst du eine <cff8E1b>Starmarke</c> als Belohnung."
"TID_TEAM_POPOVER_YOUR_ROOM","Dies ist dein Team."
"TID_ERROR_SPECTATE_NOT_POSSIBLE_TEAM","Das Team brawlt momentan nicht."
"TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_THIS_TEAM","Beitritt fehlgeschlagen: Du bist bereits in diesem Team."
"TID_TEAM_AD_JOIN_FAIL_FULL","Beitritt nicht möglich. Team ist voll."
"TID_HOMESCREEN_NOT_ENOUGH_TICKETS","Spiel kann nicht gestartet werden. Nicht genügend Tickets."
"TID_HOMESCREEN_TEAMS_NOT_SUPPORTED","In diesem Ereignis wird das Spielen in Teams nicht unterstützt."
"TID_GAME_MODE_UNLOCKED","FREIGESCHALTET"
"TID_ERROR_SPECTATE_DISABLED","Der Zuschauermodus ist aus technischen Gründen vorübergehend deaktiviert."
"TID_SPECTATE_FOLLOW","Tippen zum Folgen von:"
"TID_SPECTATE_FOLLOWING","Du folgst:"
"TID_FIRST_WIN_INFO_TICKETED_EVENT","Verdiene eine <cff8E1b>Starmarke</c>, indem du deinen ersten Brawl bestreitest."
"TID_FIRST_WIN_INFO_TEAM_SURVIVAL","Schaffst du es das erste Mal unter die letzten zwei Spieler, bekommst du eine <cff8E1b>Starmarke</c> als Belohnung."
"TID_FIRST_WIN_INFO_SURVIVAL_COMBINED","Spiele gegen andere Spieler und schaffe es im Solomodus unter die besten vier und im Duomodus unter die besten zwei, um eine <cff8E1b>Starmarke</c> als Belohnung zu bekommen."
"TID_CONNECTING_WAIT_FOR_SPECTATE","Verbindung zum Zuschauermodus wird hergestellt ..."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS","WERBECLIP ANSEHEN,\nUM EINE BELOHNUNG ZU VERDOPPELN!\nHeute sind noch <VIEWCOUNTREM> Clips verfügbar."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW","WERBECLIP ANSEHEN,\nUM EINE BELOHNUNG ZU VERDOPPELN!\nHeute ist noch <VIEWCOUNTREM> Clip verfügbar."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS_CHOISELESS","HOL DIR MEHR BELOHNUNGEN!\nHeute sind noch <VIEWCOUNTREM> Clips verfügbar."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW_CHOISELESS","HOL DIR MEHR BELOHNUNGEN!\nHeute ist noch <VIEWCOUNTREM> Clip verfügbar."
"TID_CANNON_DAMAGE","Schaden der Kanone"
"TID_CANNON_HEALTH","Trefferpunkte der Kanone"
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_OTHER","Dieser Spieler hat zu viele unbeantwortete Freundschaftsanfragen. Bitte versuche es später erneut."
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_YOU","Du hast zu viele Freundschaftsanfragen verschickt. Entferne eine und versuche es erneut."
"TID_ADD_FRIEND_ERROR_GENERIC","Freundschaftsanfrage konnte nicht gesendet werden. Bitte versuche es später erneut."
"TID_ADD_FRIEND_ERROR_DOES_NOT_EXIST","Dieser Spieler existiert nicht."
"TID_ADD_FRIEND_ERROR_OWN_AVATAR","Du kannst dich nicht selbst als Freund hinzufügen!"
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_OTHER","Dein Freund hat zu viele Freunde. Bitte versuche es später erneut."
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_YOU","Du hast zu viele Freunde. Entferne einen, wenn du neue hinzufügen willst."
"TID_HINT_26","Penny kann mit ihrer Streuattacke viel Schaden anrichten, wenn ihre Ziele in einer Reihe stehen."
"TID_HINT_27","Wenn du zusammen mit Mitspielern in einem Team bist, könnt ihr im Voraus eine Strategie planen und eine gute Kombination von Brawlern auswählen."
"TID_HINT_28","In Testspielen kannst du für bestimmte Ereignisse trainieren, deine eigenen Wettkämpfe austragen und mehr!"
"TID_HINT_29","Wenn dir deine Teamkollegen gefallen haben, kannst du am Ende eines Matches über den Button \qNoch ein Spiel\q ein weiteres Spiel mit ihnen starten!"
"TID_HINT_30","In Testspielen kannst du alle Ereignisse und Maps auswählen. Außerdem sind Brawler dort maximal upgegradet!"
"TID_HINT_31","Frank braucht eine Weile, um seine Standardattacke und seinen Superskill auszuführen, wodurch seine Gegner die Gelegenheit haben, ihm auszuweichen."
"TID_EXPERIENCE","ERFAHRUNG"
"TID_HINT_32","Ticketereignisse haben keinen Einfluss auf die Markenleiste. Um sie zu spielen, werden Tickets benötigt."
"TID_HINT_33","Über die Mitgliederliste deines Clubs kannst du Leuten aus deinem Club eine Freundschaftsanfrage schicken."
"TID_HINT_34","Du kannst Spieler, die mit dir in einem Team sind, in deine Freundesliste einladen."
"TID_HINT_35","Wenn ihr ein paar gute Matches zusammen gespielt habt, kannst du Spielern über die Liste \qVorgeschlagene Freunde\q eine Freundschaftsanfrage schicken."
"TID_HINT_36","Du kannst Spieler, die mit dir in einem Team sind, in deine Freundesliste einladen."
"TID_HINT_37","Über den Button \qMitspieler einladen\q kannst du dein Team deinen Freunden und Clubmitgliedern zugänglich machen."
"TID_COOP_GENERATED","Rumblearena"
"TID_MECHANIC_KNIGHT_SKIN","DRACHENRITTERIN JESSIE"
"TID_FRANK_CAVEMAN_SKIN","HÖHLENMENSCH FRANK"
"TID_SOLO","SOLO"
"TID_DUO","DUO"
"TID_INVITE_FRIEND_TOKEN_ERROR_FRIENDS_FULL","Freundesliste ist voll!"
"TID_INVITE_FRIEND_TOKEN_ERROR_TOO_MANY","Zu viele aktive Einladungen, versuche es später erneut."
"TID_INVITE_FRIEND_TOKEN_ERROR","Fehler beim Einladen von Freund"
"TID_GOLDRUSH_9","Dunkler Teich"
"TID_TEAM_JOIN_FINISH_TUTORIAL","Schließe das Tutorial ab, um einem Team beizutreten."
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_TITLE","Anmeldung fehlgeschlagen"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED","Die Betaversion von Brawl Stars ist noch nicht in deinem Land verfügbar. Schau später noch einmal vorbei!"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_BUTTON","Okay"
"TID_CROW_PHEONIX_SKIN","PHOENIX CROW"
"TID_MECHANIC_SUMMER_SKIN","SOMMERFAN JESSIE"
"TID_HERO_SCREEN_DIM_COLOR_MUL","222222"
"TID_GUNSLINGER_ROCKSTAR_SKIN_SHOP","ROCKSTAR\nCOLT"
"TID_ROCKET_BEACH_SKIN_SHOP","BEACHPARTY\nBROCK"
"TID_CACTUS_PINK_SKIN_SHOP_OLD","PINKER\nSPIKE"
"TID_SHAMAN_PANDA_SKIN_SHOP","PANDA\nNITA"
"TID_CROW_WHITE_SKIN_SHOP","WEISSER\nCROW"
"TID_BULL_HAIR_SKIN_SHOP","WIKINGER\nBULL"
"TID_TRICKSHOT_GOLD_SKIN_SHOP_OLD","GOLDGEWINNER\nRICOCHET"
"TID_BARKEEP_GOLD_SKIN_SHOP","GOLDENER\nBARLEY"
"TID_LUCHADOR_RUDO_SKIN_SHOP","EL RUDO\nPRIMO"
"TID_SHOTGUN_BANDITA_SKIN_SHOP","BANDITA\nSHELLY"
"TID_LUCHADOR_KING_SKIN_SHOP","EL REY\nPRIMO"
"TID_MECHANIC_KNIGHT_SKIN_SHOP","DRACHENRITTERIN\nJESSIE"
"TID_FRANK_CAVEMAN_SKIN_SHOP","HÖHLENMENSCH\nFRANK"
"TID_MECHANIC_SUMMER_SKIN_SHOP","SOMMERFAN\nJESSIE"
"TID_CROW_PHEONIX_SKIN_SHOP","PHOENIX\nCROW"
"TID_GOLDRUSH_10","Echokammer"
"TID_BANKHEIST_5","Zaunhauen"
"TID_BATTLE_ROYALE_D7","Super-Shopper"
"TID_BATTLE_ROYALE_8","Inselinvasion"
"TID_BATTLE_ROYALE_6","Wirbelhöhle"
"TID_CLAN_CHAT_JUMP_TO_NEW","<count> neue Nachrichten"
"TID_CLAN_CHAT_NEW","NEU"
"TID_BANKHEIST_6","Grandiose Gabelungen"
"TID_GOLDRUSH_11","Geflutete Mine"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_ANDROID","Die Betaversion von Brawl Stars muss aus dem Google Play Store heruntergeladen werden (zurzeit nur in ausgewählten Ländern verfügbar). Gerootete Geräte werden momentan nicht unterstützt. Probiere es später erneut!"
"TID_RATE_APP_MESSAGE_ANDROID","Bitte bewerte Brawl Stars im Play Store oder schreibe eine Rezension. Wir danken dir für dein Feedback!"
"TID_BIND_TO_NEW_GOOGLE_SERVICE_ACCOUNT_TITLE","Neue Google Play-Anmeldung"
"TID_BIND_TO_NEW_GOOGLE_SERVICE_ACCOUNT","Möchtest du dein aktuelles Spiel mit diesem Google Play-Konto speichern?"
"TID_SHOWDOWN_END","SHOWDOWN!"
"TID_SETTINGS_FIXES_JOYSTICK","FIXIERTE JOYSTICKS"
"TID_SETTINGS_SC_ID","SUPERCELL ID"
"TID_LANGUAGE_LOCALIZED_NAME","Deutsch"
"TID_POPUP_CHANGE_LANGUAGE_TITLE","Sprache ändern?"
"TID_POPUP_CHANGE_LANGUAGE","Bist du sicher, dass du die Sprache ändern möchtest?"
"TID_SKIN_RARITY_1","<cffffff>Gewöhnlich</c>"
"TID_SKIN_RARITY_2","<c0070dd>Selten</c>"
"TID_SKIN_RARITY_3","<ca335ee>Episch</c>"
"TID_SKIN_RARITY_4","<cff8000>Legendär</c>"
"TID_BANKHEIST_7","Kaktuskorridor"
"TID_BATTLE_ROYALE_9","Westwind"
"TID_BATTLE_ROYALE_10","Dornendünen"
"TID_NO_FRIENDS_GO_TO_FRIENDS","Zur Freundesliste"
"TID_EVENT_MODIFIER_1","ENERGIEDRINK"
"TID_EVENT_MODIFIER_2","ROBOZORN"
"TID_EVENT_MODIFIER_3","METEORSCHAUER"
"TID_EVENT_MODIFIER_4","FRIEDHOFSFIGHT"
"TID_EVENT_MODIFIER_DESC_1","Wenn du allein bist, erscheint vielleicht ein Energiedrink in deiner Nähe. Schnapp ihn dir, um Schaden und Geschwindigkeit deines Brawlers kurzfristig zu erhöhen!"
