"TID","RU"
"TID_ACCOUNT_DELETION_WARNING_TITLE","Предупреждение об удалении учетной записи"
"TID_ACCOUNT_DELETION_WARNING_TEXT","В соответствии с вашим запросом ваша учётная запись в скором времени будет деактивирована. Если вы передумали, обратитесь к разделу «Помощь и поддержка» для отмены запроса как можно скорее."
"TID_ACCOUNT_DELETION_WARNING_TEXT_PAST","В соответствии с вашим запросом ваша учётная запись в скором времени будет деактивирована. Если вы передумали, обратитесь к разделу «Помощь и поддержка» для отмены запроса как можно скорее."
"TID_CLAN_JOIN_FAILED_ALREADY_IN_THIS_CLAN","Ты уже состоишь в этом клубе!"
"TID_CONFIRM_CHANGE_CLAN_TITLE","Сменить клуб?"
"TID_CONFIRM_CHANGE_CLAN","Ты уже в клубе! Точно хочешь сменить его?"
"TID_CONFIRM_CLAN_FULL_TITLE","В клубе нет мест!"
"TID_CONFIRM_CLAN_FULL","<clan>: невозможно вступить в этот клуб, там нет мест!"
"TID_BUTTON_CHANGE","Сменить"
"TID_CLAN_JOIN_FAILED_IN_TUTORIAL","Пройди обучение, чтобы вступить в клуб."
"TID_CLAN_INTRO_INVITE","ПРИГЛАСИТЬ"
"TID_INVITE_CLAN_TOKEN_ERROR","Ошибка при создании приглашения"
"TID_ALLIANCE_INVITE_FAILED_NO_RIGHTS","Только президент клуба может приглашать новых участников."
"TID_FRIENDS_FACEBOOK_CONNECT","Подключение"
"TID_FRIENDS_PAGE_INVITE","ПРИГЛАСИТЬ"
"TID_SHARE_GAME_ROOM_POST_MESSAGE","Нажми на ссылку, чтобы вступить в команду игрока <name> в Brawl Stars!"
"TID_SHARE_GAME_ROOM_POST_TITLE","Пригласить в команду"
"TID_ROOM_CODE_COPIED_TO_CLIPBOARD","Идентификатор команды скопирован в буфер обмена!"
"TID_ROOM_CODE_COPIED_TO_CLIPBOARD_CONFIRM","ОК"
"TID_TEAM_INVITE_BUTTON_LABEL","ПОДЕЛИТЬСЯ КОДОМ"
"TID_TEAM_INVITE_EXPIRED","Срок действия приглашения от игрока <NAME> истёк."
"TID_TEAM_INVITATION_POPUP_TITLE","ПРИГЛАШЕНИЕ В КОМАНДУ"
"TID_TEAM_INVITATION_POPUP_ACCEPT","ПРИНЯТЬ"
"TID_TEAM_INVITATION_POPUP_REJECT","ОТКЛОНИТЬ"
"TID_TEAM_INVITATION_POPUP_MUTE","ЗАГЛУШИТЬ ИГРОКА <NAME>\nНА 10 МИНУТ"
"TID_TEAM_INVITATION_POPUP_SYSTEM_INVITE","ТУРНИРНЫЙ БОЙ"
"TID_TEAM_INVITATION_POPUP_MUTE_SYSTEM","ЗАГЛУШИТЬ\nНА 10 МИНУТ"
"TID_BATTLE_ROYALE_5","Тысяча озёр"
"TID_DAILY_COINS_COLLECTED_END_SCREEN","Боевые жетоны\nзакончились"
"TID_SHOP_REAL_MONEY_PURCHASES_DISABLED_SPECIAL_BUILD","В этой версии невозможно совершать покупки за реальные деньги."
"TID_SHOP_CHINA_WARNING","Предупреждение: играй ответственно"
"TID_GATCHA_AD_STATUS_VIEW","СМОТРЕТЬ РЕКЛАМУ ДЛЯ\nУДВОЕНИЯ НАГРАДЫ!"
"TID_GATCHA_AD_STATUS_VIEW_CHOISELESS","ПОЛУЧИТЬ БОЛЬШЕ НАГРАД"
"TID_GATCHA_AD_STATUS_OUT_OF_VIEWS","Исчерпан лимит дневных просмотров"
"TID_GATCHA_AD_STATUS_NO_VIDEO","Нет доступного видео"
"TID_GATCHA_AD_CONTINUE_BUTTON_TITLE","ПРОДОЛЖИТЬ"
"TID_AD_DOUBLER_TITLE","ВЫБРАТЬ НАГРАДУ ДЛЯ УДВОЕНИЯ"
"TID_AD_DOUBLER_CONTINUE","ПРОДОЛЖИТЬ"
"TID_GATCHA_CONTINUE","ПРОДОЛЖИТЬ"
"TID_HINT_23","Некоторые бойцы лучше других подходят для отдельных карт и событий."
"TID_HINT_24","Бойцы дальнего боя в целом лучше себя проявляют на открытых картах."
"TID_HINT_25","Бойцы ближнего боя лучше проявляют себя на местности с укрытиями и кустами."
"TID_SPEC_ABI_SELF_DESTRUCT","Прощальный залп"
"TID_SPEC_ABI_SELF_DESTRUCT_DESC","При уничтожении пушка Пенни даёт залп из <VALUE2> бомб по врагам, находящимся поблизости. Каждая бомба наносит <c00cc00><VALUE1></c> очков урона."
"TID_EVENT_LIST_BRAWL","ИГРАТЬ"
"TID_INVITE_COPIED_TO_CLIPBOARD","Ссылка для приглашения скопирована в буфер обмена!"
"TID_INVITE_COPIED_TO_CLIPBOARD_CONFIRM","ОК"
"TID_FRIEND_INVITE_POST_MESSAGE","Нажми на ссылку, чтобы добавить игрока <friend> в друзья в Brawl Stars!"
"TID_FRIEND_INVITE_POST_TITLE","Пригласи друга!"
"TID_ALLIANCE_JOIN_POST_MESSAGE","Нажми на ссылку, чтобы вступить в мой клуб в Brawl Stars!"
"TID_ALLIANCE_JOIN_POST_TITLE","Предложи другу вступить в твой клуб!"
"TID_HOMESCREEN_MODE_LOCKED","Собери <COUNT> трофеев, чтобы сражаться здесь!"
"TID_GAMEROOMS_PLAYERS_ONLINE","ДРУЗЕЙ В СЕТИ: <count>"
"TID_ARTILLERY_DUDE_SHORT_DESC","СТРЕЛОК"
"TID_HAMMER_DUDE_SHORT_DESC","ТЯЖЕЛОВЕС"
"TID_HAMMER_DUDE_DESC","Взмах молота Фрэнка порождает взрывную волну. Его неимоверно мощный Супер оглушает противников!"
"TID_HAMMER_DUDE_WEAPON","УДАР МОЛОТА"
"TID_HAMMER_DUDE_WEAPON_DESC","Фрэнку нужно время, чтобы как следует размахнуться, но его удар настолько силён, что порождает взрывную волну."
"TID_HAMMER_DUDE_ULTI","ОШЕЛОМЛЯЮЩИЙ УДАР"
"TID_HAMMER_DUDE_ULTI_DESC","Грандиозный удар Фрэнка порождает взрывную волну, которая уничтожает укрытия и на время оглушает противников."
"TID_SPEC_ABI_STEAL_SOULS2","Похищение силы"
"TID_SPEC_ABI_STEAL_SOULS2_DESC","Фрэнк забирает силу поверженного врага, добавляя к своему урону <c00cc00><VALUE1> %</c> на <VALUE2> с.!"
"TID_ONLINE_FRIENDS_TITLE","ИГРОКИ В СЕТИ"
"TID_BATTLE_ROYALE_TEAM_INTRO_TEXT","Останьтесь последней в живых командой!"
"TID_VS_TEAM_SHOWDOWN","Все команды друг против друга!"
"TID_FIRST_WIN","ЗВЁЗДНЫЙ ЖЕТОН"
"TID_BATTLE_END_TEAM_DEATHMATCH_VICTORY","Твоя команда лучше всех!"
"TID_HOMESCREEN_MODE_LOCKED_INFO","Разблокируется после получения <count> трофеев"
"TID_HOMESCREEN_LEAGUE_BUTTON_TITLE","ПУТЬ К СЛАВЕ"
"TID_HOMESCREEN_LEAGUE_BUTTON_COLLECT","ЗАБРАТЬ"
"TID_STAR_POWER_INFO","Звёздная сила: <cde9700><NAME></c>\n<DESC>"
"TID_STAR_POWERS_TITLE","ЗВЁЗДНЫЕ СИЛЫ"
"TID_ACCESSORIES_TITLE","ГАДЖЕТЫ"
"TID_ACCESSORY_TITLE","ГАДЖЕТ"
"TID_ACCESSORIES_INFO","Гаджет: <cde9700><NAME></c>\n<DESC>"
"TID_STAR_POWER_STATUS_1_1","<c00ff00>ВЫБРАНО</c>"
"TID_STAR_POWER_STATUS_0_0","У тебя нет этой звёздной силы"
"TID_ACESSORIES_STATUS_0_0","У тебя нет этого гаджета"
"TID_STAR_POWERS_PICK","ВЫБРАТЬ"
"TID_LEAGUE_NAME_0","ДЕРЕВЯННАЯ"
"TID_LEAGUE_NAME_1","БРОНЗОВАЯ"
"TID_LEAGUE_NAME_2","СЕРЕБРЯНАЯ"
"TID_LEAGUE_NAME_3","ЗОЛОТАЯ"
"TID_LEAGUE_NAME_4","АЛМАЗНАЯ"
"TID_LEAGUE_NAME_5","МАСТЕРСКАЯ"
"TID_LEAGUE_NAME_6","ЭЛИТНАЯ"
"TID_LEAGUE_NAME_7","ЗВЁЗДНАЯ"
"TID_SPECIAL_EVENTS","СОБЫТИЕ ДНЯ"
"TID_SPECIAL_EVENT","Особое событие"
"TID_SPECIAL_EVENT_DESC","Заходи каждый день, чтобы принять участие в событии дня!"
"TID_SPECIAL_EVENTS_MOD","ОСОБОЕ СОБЫТИЕ"
"TID_SPECIAL_EVENT_MOD_DESC","Следи за появлением особых событий дня!"
"TID_PLAYING_AGAIN","Играть снова <c11ee11><NUMBER>/<NUMBER2></c>"
"TID_PLAYING_AGAIN_NO_PLAYERS","Играть снова"
"TID_BRAWL_BOX_INFO_TITLE_1","СВЕДЕНИЯ О БОЛЬШОМ ЯЩИКЕ"
"TID_GATCHA_ERROR_NOT_ENOUGH_WINS","Собери 10 звёздных жетонов, чтобы открыть большой ящик!"
"TID_KEY_BAR_INFO","<c33a5d7>Жетоны</c>, которые можно заработать в боях.\n\nЖетоны нужны, чтобы открывать ящики."
"TID_KEY_BAR_INFO_DOUBLE_TOKEN_EVENT","СОБЫТИЕ С УДВОЕННЫМИ ЖЕТОНАМИ\nЗарабатывай вдвое больше <c33a5d7>жетонов</c> в обычных боях.\n\nЖетоны нужны, чтобы открывать ящики."
"TID_KEY_BAR_INFO_COIN_SHOWER_EVENT","СОБЫТИЕ С ЛАВИНОЙ МОНЕТ\nЗарабатывай <cff8E1b>монеты</c> в боях!\n\nК каждому жетону, полученному в обычном бою, прилагается бонусная монета — в том числе и к жетонам, полученным с помощью удвоителя жетонов!\n\nМонеты нужны для улучшения бойцов."
"TID_NEW_ONLINE_FRIEND","ИГРОК В СЕТИ"
"TID_NEW_GAME_ROOM","НОВАЯ КОМАНДА"
"TID_KEY_BAR_TITLE","ЖЕТОНЫ, КОТОРЫЕ МОЖНО ДОБЫТЬ В БОЮ"
"TID_PLAYAGAIN_QUIT","ВЫЙТИ"
"TID_BATTLE_END_WAITING","Ждём остальных"
"TID_ERROR_REPLAY_WAITING","Ждём начала повтора"
"TID_ERROR_REPLAY_NOT_POSSIBLE","Повтор недоступен"
"TID_ERROR_SPECTATE_WAITING","Ждём начала наблюдения"
"TID_ERROR_SPECTATE_NOT_POSSIBLE","Игрок сейчас не сражается"
"TID_BRAWL_TV_STARTING","Загрузка BrawlTV..."
"TID_ERROR_BRAWL_TV_WAITING","Ожидание включения BrawlTV"
"TID_BRAWL_TV_QUIT","Канал <NUM> BrawlTV"
"TID_ERROR_BRAWL_TV_TUNE_FAILED","Ничего на канале <NUM> BrawlTV — переключаем"
"TID_BRAWL_TV_BATTLE_END_RETURN_HOME","Следующий через <NUM> с."
"TID_BRAWL_TV_BATTLE_END_RETURN_HOME_SOON","Автовоспроизведение"
"TID_BRAWL_TV_OFF_RETURN_HOME","Выключить TV"
"TID_FIRST_WIN_INFO_SURVIVAL","Получи <cff8E1b>звёздный жетон</c> за первый бой против других игроков, в котором ты попадёшь в четверку лидеров."
"TID_TEAM_POPOVER_YOUR_ROOM","Это твоя команда"
"TID_ERROR_SPECTATE_NOT_POSSIBLE_TEAM","Команда сейчас не сражается"
"TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_THIS_TEAM","Нельзя вступить. Ты уже в этой команде."
"TID_TEAM_AD_JOIN_FAIL_FULL","Нельзя вступить, команда уже набрана."
"TID_HOMESCREEN_NOT_ENOUGH_TICKETS","Невозможно начать игру. Не хватает билетов."
"TID_HOMESCREEN_TEAMS_NOT_SUPPORTED","В этом событии командная игра не поддерживается."
"TID_GAME_MODE_UNLOCKED","РАЗБЛОКИРОВАНО"
"TID_ERROR_SPECTATE_DISABLED","Наблюдение временно отключено по техническим причинам."
"TID_SPECTATE_FOLLOW","Нажми для привязки:"
"TID_SPECTATE_FOLLOWING","Отслеживаю:"
"TID_FIRST_WIN_INFO_TICKETED_EVENT","Получи <cff8E1b>звёздный жетон</c> в своём первом бою."
"TID_FIRST_WIN_INFO_TEAM_SURVIVAL","Получи <cff8E1b>звёздный жетон</c> за свой первый бой против других игроков, в котором твоя команда попадёт в двойку лидеров."
"TID_FIRST_WIN_INFO_SURVIVAL_COMBINED","Чтобы получить <cff8E1b>звёздный жетон</c>, попади в четвёрку лидеров в одиночном режиме или в двойку — в парном."
"TID_CONNECTING_WAIT_FOR_SPECTATE","Ожидание включения..."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS","СМОТРЕТЬ РЕКЛАМУ ДЛЯ\nУДВОЕНИЯ ОДНОЙ НАГРАДЫ!\nСегодня доступно ещё <VIEWCOUNTREM> просмотра."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW","СМОТРЕТЬ РЕКЛАМУ ДЛЯ\nУДВОЕНИЯ ОДНОЙ НАГРАДЫ!\nСегодня доступен ещё <VIEWCOUNTREM> просмотр."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS_CHOISELESS","ПОЛУЧИ ЕЩЁ БОЛЬШЕ НАГРАД!\nСегодня доступно ещё <VIEWCOUNTREM> просмотра."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW_CHOISELESS","ПОЛУЧИ ЕЩЁ БОЛЬШЕ НАГРАД!\nСегодня доступен ещё <VIEWCOUNTREM> просмотр."
"TID_CANNON_DAMAGE","Урон пушки"
"TID_CANNON_HEALTH","Здоровье пушки"
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_OTHER","У этого игрока слишком много запросов на дружбу, ожидающих ответа. Попробуй позже."
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_YOU","Тобой отправлено слишком много предложений дружить. Удали одно и попробуй снова."
"TID_ADD_FRIEND_ERROR_GENERIC","Не удалось отправить предложение дружить. Попробуй позже."
"TID_ADD_FRIEND_ERROR_DOES_NOT_EXIST","Игрока, которого ты пытаешься добавить, не существует."
"TID_ADD_FRIEND_ERROR_OWN_AVATAR","Отправить предложение дружить себе же нельзя!"
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_OTHER","У твоего друга слишком много друзей. Попробуй позже."
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_YOU","У тебя слишком много друзей. Удали кого-нибудь, чтобы добавить нового друга."
"TID_HINT_26","Пенни может нанести значительный урон разрывной атакой, когда все цели выстроены в ряд."
"TID_HINT_27","Собрав команду перед боем, можно обсудить план и подобрать выгодную комбинацию бойцов."
"TID_HINT_28","Попробуй сыграть дружескую игру, чтобы потренироваться перед событиями, провести дружеское соревнование и повеселиться!"
"TID_HINT_29","После хорошей игры с новыми товарищами по команде можно нажать «Играть снова», чтобы сыграть вместе ещё раз!"
"TID_HINT_30","В дружеских боях можно выбрать любой режим и карту. Кроме того, бойцы будут полностью улучшены!"
"TID_HINT_31","Фрэнк перестаёт атаковать и использовать Супер, что позволяет его противникам отойти на безопасное расстояние."
"TID_EXPERIENCE","ОПЫТ"
"TID_HINT_32","В событиях по билетам не расходуются жетоны, но для игры в них тебе понадобятся билеты."
"TID_HINT_33","Можно предложить дружить участникам клуба на странице участников клуба."
"TID_HINT_34","Можно предложить дружить участникам команды, в которой ты находишься."
"TID_HINT_35","После пары-другой хороших игр можно предложить дружить товарищу по команде в разделе возможных друзей."
"TID_HINT_36","Можно предложить дружить участникам команды, в которой находишься."
"TID_HINT_37","Чтобы сообщить о своей команде друзьям и участникам клуба, воспользуйся кнопкой «Сообщить»."
"TID_COOP_GENERATED","Ревущая арена"
"TID_MECHANIC_KNIGHT_SKIN","ДЖЕССИ-ДРАКОНОБОРЕЦ"
"TID_FRANK_CAVEMAN_SKIN","ПЕЩЕРНЫЙ ФРЭНК"
"TID_SOLO","ОДИНОЧНОЕ"
"TID_DUO","ПАРНОЕ"
"TID_INVITE_FRIEND_TOKEN_ERROR_FRIENDS_FULL","Список друзей заполнен!"
"TID_INVITE_FRIEND_TOKEN_ERROR_TOO_MANY","Слишком много активных приглашений. Попробуй позже."
"TID_INVITE_FRIEND_TOKEN_ERROR","Ошибка при приглашении друзей"
"TID_GOLDRUSH_9","Озеро тьмы"
"TID_TEAM_JOIN_FINISH_TUTORIAL","Пройди обучение, чтобы вступить в команду."
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_TITLE","Войти не удалось"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED","Бета-версия Brawl Stars ещё не доступна в твоей стране. Проверь позже!"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_BUTTON","OK"
"TID_CROW_PHEONIX_SKIN","ВОРОН-ФЕНИКС"
"TID_MECHANIC_SUMMER_SKIN","ЛЕТНЯЯ ДЖЕССИ"
"TID_HERO_SCREEN_DIM_COLOR_MUL","222222"
"TID_GUNSLINGER_ROCKSTAR_SKIN_SHOP","РОК-ЗВЕЗДА\nКОЛЬТ"
"TID_ROCKET_BEACH_SKIN_SHOP","ПЛЯЖНЫЙ\nБРОК"
"TID_CACTUS_PINK_SKIN_SHOP_OLD","РОЗОВЫЙ\nСПАЙК"
"TID_SHAMAN_PANDA_SKIN_SHOP","ПАНДА\nНИТА"
"TID_CROW_WHITE_SKIN_SHOP","БЕЛЫЙ\nВОРОН"
"TID_BULL_HAIR_SKIN_SHOP","ВИКИНГ\nБУЛЛ"
"TID_TRICKSHOT_GOLD_SKIN_SHOP_OLD","ЗОЛОТОЙ МЕДАЛИСТ\nРИКОШЕТ"
"TID_BARKEEP_GOLD_SKIN_SHOP","ЗОЛОТОЙ\nБАРЛИ"
"TID_LUCHADOR_RUDO_SKIN_SHOP","ЭЛЬ РУДО\nПРИМО"
"TID_SHOTGUN_BANDITA_SKIN_SHOP","БАНДИТКА\nШЕЛЛИ"
"TID_LUCHADOR_KING_SKIN_SHOP","ЭЛЬ РЕЙ\nПРИМО"
"TID_MECHANIC_KNIGHT_SKIN_SHOP","ДРАКОНОБОРЕЦ\nДЖЕССИ"
"TID_FRANK_CAVEMAN_SKIN_SHOP","ПЕЩЕРНЫЙ\nФРЭНК"
"TID_MECHANIC_SUMMER_SKIN_SHOP","ЛЕТНЯЯ\nДЖЕССИ"
"TID_CROW_PHEONIX_SKIN_SHOP","ВОРОН-ФЕНИКС\n"
"TID_GOLDRUSH_10","Эхо-камера"
"TID_BANKHEIST_5","Причудливая изгородь"
"TID_BATTLE_ROYALE_D7","Cупершоппинг"
"TID_BATTLE_ROYALE_8","Вторжение на остров"
"TID_BATTLE_ROYALE_6","Штольня"
"TID_CLAN_CHAT_JUMP_TO_NEW","Новые сообщения (<count>)"
"TID_CLAN_CHAT_NEW","НОВОЕ"
"TID_BANKHEIST_6","Расплата"
"TID_GOLDRUSH_11","Затопленная шахта"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_ANDROID","Необходимо скачать Brawl Stars Beta из Google Play Store (игра доступна только в некоторых странах). Устройства с root-правами в настоящее время не поддерживаются. Загляни попозже!"
"TID_RATE_APP_MESSAGE_ANDROID","Пожалуйста, оцени Brawl Stars или оставь отзыв. Для нас очень важно твоё мнение!"
"TID_BIND_TO_NEW_GOOGLE_SERVICE_ACCOUNT_TITLE","Новая учётная запись Google Play"
"TID_BIND_TO_NEW_GOOGLE_SERVICE_ACCOUNT","Хочешь сохранить свою игру в этой учётной записи Google Play?"
"TID_SHOWDOWN_END","СТОЛКНОВЕНИЕ!"
"TID_SETTINGS_FIXES_JOYSTICK","ЗАБЛОКИРОВАТЬ ОБЛАСТЬ УПРАВЛЕНИЯ"
"TID_SETTINGS_SC_ID","SUPERCELL ID"
"TID_LANGUAGE_LOCALIZED_NAME","Русский"
"TID_POPUP_CHANGE_LANGUAGE_TITLE","Изменить язык?"
"TID_POPUP_CHANGE_LANGUAGE","Точно хочешь изменить язык?"
"TID_SKIN_RARITY_1","<cffffff>Обычный</c>"
"TID_SKIN_RARITY_2","<c0070dd>Редкий</c>"
"TID_SKIN_RARITY_3","<ca335ee>Эпический</c>"
"TID_SKIN_RARITY_4","<cff8000>Легендарный</c>"
"TID_BANKHEIST_7","Кактусный коридор"
"TID_BATTLE_ROYALE_9","Западный ветер"
"TID_BATTLE_ROYALE_10","Дрифт в дюнах"
"TID_NO_FRIENDS_GO_TO_FRIENDS","В раздел «Друзья»"
"TID_EVENT_MODIFIER_1","ЭНЕРГЕТИЧЕСКИЙ НАПИТОК"
"TID_EVENT_MODIFIER_2","ЗЛОЙ РОБОТ"
"TID_EVENT_MODIFIER_3","МЕТЕОРИТНЫЙ ДОЖДЬ"
"TID_EVENT_MODIFIER_4","НОЧНОЙ ДОЗОР"
"TID_EVENT_MODIFIER_DESC_1","Если возле тебя никого нет, рядом может появиться энергетический напиток. Выпей его, чтобы на короткое время увеличить скорость и урон!"
"TID_EVENT_MODIFIER_DESC_2","Злой робот будет внезапно появляться и атаковать ближайшего бойца. Берегись!"
"TID_EVENT_MODIFIER_DESC_3","Это точно не тот метеоритный дождь, которым захочется любоваться. Берегись огромных падающих с неба камней!"
"TID_BALL_4","Зловредные поля"
"TID_EVENT_MODIFIER_DESC_4","Ты постоянно теряешь здоровье, но можешь частично восстанавливать его, нанося урон вражеским бойцам. Победа над другим бойцом восстановит твое здоровье полностью! Эффект всех исцеляющих способностей понижен."
"TID_BALL_5","Форт ББ"
"TID_BALL_6","Суперстадион"
"TID_BALL_7","Прыжки по лужам"
"TID_BANKHEIST_8","Костяной туннель"
"TID_EVENT_MODIFIER_DESC_3_SD","Находиться рядом с друзьями опасно, когда с неба валятся огромные камни!"
"TID_DEFEATED_SHOWDOWN","Поражение"
"TID_OFFER_WATCH_AD","СМОТРЕТЬ"
"TID_ERROR_REPLAY_DISABLED","Повтор недоступен"
"TID_WANTED_9","Гранд-канал"
"TID_HOOK","ДЖИН"
"TID_STAR_KEY_INFO_EXTENSION","\n\nЗвёздные жетоны нужны, чтобы открывать большие ящики."
"TID_TEAM_OWNER_TEXT","Команда игрока <NAME>"
"TID_SPECTATE_AUTO","Автоматически"
"TID_BATTLE_ROYALE_11","Вау-фактор"
"TID_FRIEND_POPOVER_INVITE","ПРИГЛАСИТЬ В КОМАНДУ"
"TID_TEAM_ERROR_ALREADY_IN_ROOM","Игрок уже в твоей команде!"
"TID_TEAM_ERROR_ALREADY_INVITED","Игрок уже приглашён!"
"TID_BATTLE_ROYALE_D2","Ветреная долина"
"TID_UNDERTAKER_GREASER_SKIN","РОКАБИЛЬЩИК МОРТИС"
"TID_COMMUNITY_PROPS","Карта сообщества!\n\nИдея:\n<cff8000><CREDIT></c>"
"TID_BATTLE_ROYALE_12","Знойный лабиринт"
"TID_TEAM_INVITE_ALREADY_IN_TEAM","Игрок уже в команде!"
"TID_HINT_38","Вращающийся синий круг под бойцом означает, что его Супер готов!"
"TID_HINT_39","Вращающийся жёлтый круг под бойцом означает, что его Супер наводится на цель!"
"TID_EVENT_NOT_AVAILABLE","Событий нет"
"TID_SHOP_OFFER_PURCHASE_AD_NOT_AVAILABLE","Нет доступных видео. Загляни попозже!"
"TID_SHOP_NOT_AVAILABLE","недоступно"
"TID_UNDERTAKER_GREASER_SKIN_SHOP","РОКАБИЛЬЩИК\nМОРТИС"
"TID_HINT_40","Подключись к Supercell ID в настройках, чтобы защитить свою учётную запись и иметь возможность играть на разных устройствах. В придачу ты получишь бесплатный скин!"
"TID_GACHA_VIDEO_REWARD_RECEIVED","Добавлена дополнительная награда!"
"TID_BUTTON_NAVI_SHOP","МАГАЗИН"
"TID_BUTTON_NAVI_SOCIAL","ОБЩЕНИЕ"
"TID_BUTTON_NAVI_BRAWLERS","БОЙЦЫ"
"TID_BRAWL_TICKETS_BUTTON","ИГРАТЬ"
"TID_HOME_SCREEN_INVITE","ПРИГЛАСИТЬ"
"TID_HINT_41","Твои трофеи складываются из трофеев всех твоих бойцов."
"TID_GOAL","<name> забивает гол!"
"TID_EVENT_MODIFIER_5","ЦЕЛЕБНЫЕ ГРИБЫ"
"TID_EVENT_MODIFIER_DESC_5","Целебные грибы появляются тут и там! В течение некоторого времени они исцеляют всё, что находится поблизости."
"TID_EVENT_MODIFIER_DESC_5_SD","Целебные грибы появляются тут и там! Грибы перестают расти, когда ты находишься рядом с друзьями."
"TID_NINJA","ЛЕОН"
"TID_ROSA","РОЗА"
"TID_HINT_42","Если твой боец не атакует и не получает урон, он начинает восстанавливать здоровье."
"TID_HOOK_SHORT_DESC","ПОДДЕРЖКА"
"TID_HOOK_DESC","Джин выпускает из своей волшебной лампы разделяющиеся снаряды. Его Супер — волшебная рука, которая хватает и притягивает к нему врагов!"
"TID_SPEC_ABI_HOOK","Волшебный туман"
"TID_SPEC_ABI_HOOK_DESC","Джин лечит всех союзников поблизости, восстанавливая им <c00cc00><VALUE1></c> очков здоровья в секунду."
"TID_HOOK_WEAPON","ДЫМОВАЯ АТАКА"
"TID_HOOK_ULTI","ВОЛШЕБНАЯ РУКА"
"TID_HOOK_WEAPON_DESC","Джин стреляет из лампы плотным шаром волшебного дыма. Если шар не попадает в цель, то превращается в наносящий урон конус."
"TID_HOOK_ULTI_DESC","Джин выпускает из лампы волшебную руку. Если рука достигает врага, то подтаскивает его прямо к Джину!"
"TID_NINJA_SHORT_DESC","СКРЫТНЫЙ УБИЙЦА"
"TID_NINJA_DESC","Леон поражает цель роем метательных клинков. Его Супер — дымовая бомба, делающая его невидимым на некоторое время!"
"TID_SPEC_ABI_SPEED_INVISIBLE","След дыма"
"TID_SPEC_ABI_SPEED_INVISIBLE_DESC","Активировав Супер, Леон движется на <c00cc00><VALUE1> %</c> быстрее, пока действует его невидимость."
"TID_NINJA_WEAPON","КРУТЯЩИЕСЯ ЛЕЗВИЯ"
"TID_NINJA_ULTI","ДЫМОВАЯ БОМБА"
"TID_NINJA_WEAPON_DESC","Лёгким движением руки Леон отправляет вперёд четыре крутящихся лезвия. Чем дольше они летят, тем ниже урон."
"TID_NINJA_ULTI_DESC","Леон может на <time> с. стать невидимым, но атаковав, он выдаст себя. Если враги подойдут к Леону слишком близко, то смогут его заметить."
"TID_ROSA_SHORT_DESC","ТЯЖЕЛОВЕС"
"TID_ROSA_DESC","Эта боксёрша-ботаник крепко стоит на ногах и не боится ближнего боя! Супер оплетает её прочной и стопроцентно веганской бронёй."
"TID_SPEC_ABI_HEAL_FOREST","Отдых на природе"
"TID_SPEC_ABI_HEAL_FOREST_DESC","Находясь в кустах, Роза восстанавливает <c00cc00><VALUE1></c> очков здоровья в секунду."
"TID_ROSA_WEAPON","КАМЕННЫЕ РУКИ"
"TID_ROSA_ULTI","СИЛА ПРИРОДЫ"
"TID_ROSA_WEAPON_DESC","Роза обрушивает на противника серию мощных техничных ударов!"
"TID_ROSA_ULTI_DESC","На <time> с. у Розы появляется растительная броня, уменьшающая получаемый Розой урон на <num> %."
"TID_STAT_DAMAGE_PER_CLUSTER","Урон от кассеты"
"TID_STAT_DAMAGE_PER_SHURIKEN","Урон от клинка вблизи"
"TID_STAT_INVISIBLE","Дымовая бомба"
"TID_STAT_SHIELD","Щит"
"TID_SELECT_HERO_INFO_RAID_BOSS","<c2288ff>Игроки против босса</c>"
"TID_EVENT_POPUP_GMV_LABEL_RAID_BOSS","Три игрока против БОССА"
"TID_GAME_MODE_10","БОЙ С БОССОМ"
"TID_RAID_BOSS_INTRO_TEXT","Одолей босса"
"TID_RAID_1","Арена робобосса"
"TID_GAME_MODE_10_DESC","Сможешь ли ты одолеть грозного робобосса? Действуй сообща с товарищами по команде, чтобы уложить этого монстра. Ты сможешь возвращаться в бой, пока будет жив хоть один товарищ по команде. Если все падут, игре конец!\n\nУровень испытания — от нормального до безумного — определяет его сложность и повышается, когда ты побеждаешь босса."
"TID_TEAM_MATE_GONE","<ccccc00>Товарищ по команде пал!</c>"
"TID_ALL_TEAM_MATES_GONE","<cee0000>Оба товарища по команде пали!</c>"
"TID_RAID_BOSS_ENRAGE_1","<c99bb22bb>Босс ЗЛИТСЯ!</c>"
