"TID","NL"
"TID_CLAN_RESPONSE_44","Aansluiten mislukt: je bent al lid van een club."
"TID_SHOTGUN_GIRL_SHORT_DESC","VECHTER"
"TID_GUNSLINGER_SHORT_DESC","SCHERPSCHUTTER"
"TID_BULL_DUDE_SHORT_DESC","ZWAARGEWICHT"
"TID_ROCKET_GIRL_SHORT_DESC","SCHERPSCHUTTER"
"TID_TNT_DUDE_SHORT_DESC","WERPER"
"TID_LUCHADOR_SHORT_DESC","ZWAARGEWICHT"
"TID_TRICKSHOT_DUDE_SHORT_DESC","SCHERPSCHUTTER"
"TID_CACTUS_SHORT_DESC","SCHERPSCHUTTER"
"TID_BARKEEP_SHORT_DESC","WERPER"
"TID_MECHANIC_SHORT_DESC","VECHTER"
"TID_SHAMAN_SHORT_DESC","VECHTER"
"TID_UNDERTAKER_SHORT_DESC","SPRINTENDE AANVALLER"
"TID_CROW_SHORT_DESC","GIFTIGE AANVALLER"
"TID_DEAD_MARIACHI_SHORT_DESC","HELPER"
"TID_BOW_DUDE_SHORT_DESC","VECHTER"
"TID_SNIPER_SHORT_DESC","SCHERPSCHUTTER"
"TID_MINIGUN_DUDE_SHORT_DESC","HELPER"
"TID_BLACK_HOLE_SHORT_DESC","VECHTER"
"TID_BARREL_BOT_SHORT_DESC","ZWAARGEWICHT"
"TID_CLAN_INTRO_SUGGESTED_CLANS","BESTE CLUBS VOOR JOU"
"TID_CLAN_INTRO_CREATE_TITLE","BEGIN JE EIGEN CLUB"
"TID_CLAN_INTRO_HEADER","CLUBS"
"TID_CLAN_INFO_TITLE","CLUB-INFO"
"TID_CLAN_INFO_NO_DESCRIPTION","GEEN CLUBBESCHRIJVING"
"TID_EVENT_POPUP_TITLE","TIJD OM TE VECHTEN"
"TID_GOLDRUSH_8","Saffiervelden"
"TID_USE_AUTOFIRE_TUTORIAL","Tik op de <ccc0033>rode joystick</c> om op de dichtstbijzijnde vijand te schieten!"
"TID_BRAWL_BOX_INFO_1","Een grote doos bevat evenveel beloningen als drie knokdozen. De krachtpunten zijn echter verdeeld over minder knokkers.\n\nDe doos bevat drie trekkingen en de waarschijnlijkheden voor de beloningen in elke trekking zijn:"
"TID_BRAWL_BOX_INFO_2","Elke knokdoos bevat een van de volgende items: een nieuwe knokker, krachtpunten + munten of een sterrenkracht. Je kunt ook tokenverdubbelaars als bonus krijgen.\n\nDe waarschijnlijkheden voor de beloningen zijn:"
"TID_BRAWL_BOX_INFO_3","Een megadoos bevat evenveel beloningen als tien knokdozen. De krachtpunten zijn echter verdeeld over minder knokkers.\n\nDe doos bevat tien trekkingen en de waarschijnlijkheden voor de beloningen in elke trekking zijn:"
"TID_BRAWL_BOX_INFO_CATEGORIES","\n\n<CATEGORY1>: <NUM1>%\nZeldzame knokker: <NUM2>%<GAR_HERO_1>\nSuperzeldzame knokker: <NUM3>%<GAR_HERO_2>\nEpische knokker: <NUM4>%<GAR_HERO_3>\nMythische knokker: <NUM5>%<GAR_HERO_4>\nLegendarische knokker: <NUM6>%<GAR_HERO_5>\nSterrenkracht: <NUM7>%<GAR_STAR_POWER>\nGadget: <NUM8>%<GAR_ACCESSORY>"
"TID_BRAWL_BOX_INFO_FOOTER","\n\nElke trekking geeft je ook 9% kans op edelstenen en 3% kans op een tokenverdubbelaar. Let op: sterrenkrachten zijn alleen beschikbaar voor knokkers die level 9 hebben bereikt. Als je alle beloningen van een bepaald type hebt ontgrendeld, bijvoorbeeld zeldzame knokkers, dan neemt de kans op de andere beloningen toe. Geluk: om het openen van knokdozen eerlijker te maken, is er een gelukssysteem dat de kans op legendarische knokkers beïnvloedt. Voor elke trekking die je geen nieuwe knokker oplevert, neemt je geluksfactor toe. Elke keer dat je een nieuwe knokker krijgt, neemt je geluksfactor af gebaseerd op de zeldzaamheid van de knokker. Als je geluksfactor hoog genoeg is, maak je veel kans op een legendarische knokker, maar als je geluksfactor laag is, betekent dit dat het lastiger is om een nieuwe legendarische knokker te krijgen. De inhoud van knokdozen in het begin van het spel zijn vooraf bepaald om te zorgen dat het spel eerlijk is voor nieuwe spelers."
"TID_BRAWL_BOX_INFO_POWER_POINTS_AND_COINS","Krachtpunten + munten"
"TID_BRAWL_BOX_INFO_COINS","Munten"
"TID_BRAWL_BOX_INFO_GUARANTEED_HERO_IN","(gegarandeerd bij <DRAWS> trekkingen)"
"TID_BRAWL_BOX_INFO_GUARANTEED_STARPOWER_IN","(gegarandeerd bij <DRAWS> trekkingen)"
"TID_BRAWL_BOX_INFO_GUARANTEED_ACCESSORY_IN","(gegarandeerd bij <DRAWS> trekkingen)"
"TID_POWER_DROP_VALUE","+<VALUE>"
"TID_COLLECT","VERZAMELEN"
"TID_PAGE_FRIENDS_TITLE","VRIENDEN"
"TID_PAGE_FRIENDS_TITLE2","Vecht met je vrienden!"
"TID_PAGE_FRIENDS_ADD_FRIENDS","VRIENDEN TOEVOEGEN"
"TID_PAGE_FRIENDS_NO_FRIENDS_NO_LOGIN","Verbind je spel met Facebook of vind vrienden in het spel om mee te spelen."
"TID_PAGE_FRIENDS_NO_FRIENDS","Verbind je spel met Facebook of vind vrienden in het spel om mee te spelen."
"TID_FRIENDS_TITLE","<COUNT> vrienden"
"TID_FRIENDS_TAB_1","VRIENDEN"
"TID_FRIENDS_TAB_2","AANBEVOLEN"
"TID_FRIENDS_TAB_3","UITNODIGINGEN"
"TID_TOTAL","TOTAAL"
"TID_BRAWL_BOX_INFO_TITLE_2","KNOKDOOSINFO"
"TID_BRAWL_BOX_INFO_TITLE_3","MEGADOOSINFO"
"TID_OFFER_ALSO_INCLUDES","AANBIEDING BEVAT OOK"
"TID_OFFER_VALUE_TITLE","VOORDEEL"
"TID_OFFER_VALUE","+<VALUE>%"
"TID_SHOP_OFFER_COUNTDOWN","<TIME>"
"TID_USE_ULTI_TUTORIAL","Sleep de <cff9900>gele joystick</c> om te richten."
"TID_HERO_STATS_TITLE","KNOKKERSTATISTIEKEN"
"TID_GATCHA_SCREEN_ITEMS_REMAINING","RESTERENDE ITEMS:"
"TID_GATCHA_SCREEN_BONUS_ITEMS_REMAINING","RESTERENDE BONUSSEN:"
"TID_GATCHA_SCREEN_YOU_GOT","ONTVANGEN:"
"TID_GATCHA_SCREEN_BONUSES","BONUSITEMS:"
"TID_GATCHA_SCREEN_SUMMARY_UNLOCKED","ONTGRENDELD!"
"TID_HERO_LIST_ITEM_UPGRADE","UPGRADE"
"TID_SHOP_CLAMIMED","Opgehaald"
"TID_SHOP_OFFER_PURCHASE_ERROR_CLAIMED","Dit item is al opgehaald."
"TID_ONLINE","ONLINE"
"TID_LEADERBOARD","KLASSEMENT"
"TID_NOT_ENOUGH_TICKETS_INFO","\n\nJe tickets zijn op!"
"TID_HERO_LIST_NEW","NIEUW"
"TID_HAMMER_DUDE","FRANK"
"TID_HOLD_PHONE_LIKE_THIS","HOU JE APPARAAT OP DEZE MANIER VAST"
"TID_HINT_FINGER_TAP_TAP","TIK! TIK!"
"TID_HINT_FINGER_DRAG","SLEEP OM TE RICHTEN"
"TID_MOVE_HERE","Verplaats je hierheen"
"TID_HINT_HEADER","TIP:"
"TID_HINT_0","Je kunt op de <ccc0033>rode joystick</c> tikken om snel te vuren op de dichtstbijzijnde vijand."
"TID_HINT_1","Je kunt op de <cff9900>gele joystick</c> tikken om snel te vuren met je super op de dichtstbijzijnde vijand."
"TID_HINT_2","Je kunt de <ccc0033>rode joystick</c> slepen om je aanval te richten."
"TID_HINT_3","Je kunt de <cff9900>gele joystick</c> slepen om je super te richten."
"TID_HINT_4","Je kunt een gerichte aanval annuleren door de joystick terug naar het midden te slepen."
"TID_HINT_5","De koppelprocedure is gebaseerd op het aantal trofeeën van de knokker waarmee je vecht. Zo kun je makkelijker trofeeën verdienen met een pas ontgrendelde knokker."
"TID_HINT_6","Door meer knokkers te vinden, kun je makkelijker meer trofeeën in totaal en beloningen krijgen."
"TID_HINT_7","Pipers schoten richten meer schade aan naarmate ze een langere afstand afleggen."
"TID_HINT_8","Barley's super is vooral krachtig op de korte afstand, omdat de flessen in een klein gebied landen."
"TID_HINT_9","Telkens als Rico's kogels kaatsen, leggen ze een langere afstand af."
"TID_HINT_10","Je kunt de <ccc0033>rode joystick</c> overal aanzetten aan de rechterkant van het scherm om te schieten."
"TID_HINT_11","Zowel je aanval als je super heeft twee schietstanden: tikken om snel te schieten en slepen om te richten."
"TID_HINT_12","Het richten van aanvallen is handig om bewegende doelwitten te raken."
"TID_HINT_13","SNELVUREN is handig voor snelle reactieschoten als je niet weet waar je moet richten."
"TID_HINT_14","SNELVUREN werkt goed op de dichtstbijzijnde vijanden."
"TID_HINT_15","Als je je verschuilt in de bosjes, kunnen vijanden je nog spotten als ze dichtbij komen."
"TID_HINT_16","Met SNELVUREN schiet je recht op de dichtstbijzijnde vijand en wordt er geen rekening gehouden met de bewegingen van een vijand."
"TID_HINT_17","Je aanvallen richten is goed om in de bosjes te schieten om verscholen vijanden te vinden."
"TID_HINT_18","SNELVUREN werkt goed op stilstaande vijanden."
"TID_HINT_19","SNELVUREN werkt goed voor vijanden die recht op je afkomen of van je weg rennen."
"TID_HINT_20","Als je je verschuilt in de bosjes, kunnen vijanden je zien als je aanvalt of schade oploopt."
"TID_HINT_21","Je kunt je in de bosjes verschuilen voor vijanden."
"TID_HINT_22","Als je SNELVUREN gebruikt, zal je wapen vuren zelfs als er geen vijanden binnen bereik zijn."
"TID_VS_TUTORIAL","Verzamel alle <ce662f9>edelstenen</c>."
"TID_USE_MANUAL_FIRE_TUTORIAL","Sleep de <ccc0033>rode joystick</c> om te richten."
"TID_TUTORIAL_GOOD_JOB_2","Goed gespeeld! De <cff6633>oranje balken</c> laten je munitie zien. Ik zal zo snel mogelijk herladen."
"TID_TUTORIAL_GOOD_JOB_3","Goed gespeeld! Door vijanden aan te vallen, laad je je <cff9900>superaanval</c> op."
"TID_TUTORIAL_GOOD_JOB_4","Goed gedaan!"
"TID_SPECTATE_PLAYER_BUTTON","Toekijken"
"TID_SPECTATE_FAILED","Toekijken mislukt"
"TID_ACCOUNT_DISABLED_TEXT","Account opgeheven"
"TID_ACCOUNT_DELETED_ON_REQUEST_TEXT","Dit account is opgeheven naar aanleiding van een verwijderingsverzoek en kan niet meer worden hersteld."
"TID_ACCOUNT_DELETED_DUE_INACTIVITY_TEXT","Dit account is opgeheven wegens inactiviteit en kan niet meer worden hersteld."
"TID_ACCOUNT_DELETION_WARNING_TITLE","Waarschuwing verwijderen account"
"TID_ACCOUNT_DELETION_WARNING_TEXT","Overeenkomstig je verzoek wordt je account binnenkort gedeactiveerd. Als je van gedachten bent veranderd, neem dan zo snel mogelijk contact op met onze Hulp en ondersteuning om je verzoek te annuleren."
"TID_ACCOUNT_DELETION_WARNING_TEXT_PAST","Overeenkomstig je verzoek wordt je account binnenkort gedeactiveerd. Als je van gedachten bent veranderd, neem dan zo snel mogelijk contact op met onze Hulp en ondersteuning om je verzoek te annuleren."
"TID_CLAN_JOIN_FAILED_ALREADY_IN_THIS_CLAN","Je bent al lid van deze club!"
"TID_CONFIRM_CHANGE_CLAN_TITLE","Van club veranderen?"
"TID_CONFIRM_CHANGE_CLAN","Je zit al bij een club! Wil je echt van club veranderen?"
"TID_CONFIRM_CLAN_FULL_TITLE","De club zit vol!"
"TID_CONFIRM_CLAN_FULL","Je kunt je niet aansluiten bij <clan>. De club zit vol."
"TID_BUTTON_CHANGE","Wijzigen"
"TID_CLAN_JOIN_FAILED_IN_TUTORIAL","Voltooi de tutorial om je bij een club aan te sluiten."
"TID_CLAN_INTRO_INVITE","UITNODIGING DELEN"
"TID_INVITE_CLAN_TOKEN_ERROR","Fout bij genereren uitnodiging"
"TID_ALLIANCE_INVITE_FAILED_NO_RIGHTS","Alleen clubvoorzitters kunnen nieuwe leden uitnodigen."
"TID_FRIENDS_FACEBOOK_CONNECT","Verbinding maken"
"TID_FRIENDS_PAGE_INVITE","UITNODIGING DELEN"
"TID_SHARE_GAME_ROOM_POST_MESSAGE","Tik op deze link om je aan te sluiten bij een Brawl Stars-team met <name>!"
"TID_SHARE_GAME_ROOM_POST_TITLE","Uitnodigen voor team"
"TID_ROOM_CODE_COPIED_TO_CLIPBOARD","Team-ID naar klembord gekopieerd!"
"TID_ROOM_CODE_COPIED_TO_CLIPBOARD_CONFIRM","OK"
"TID_TEAM_INVITE_BUTTON_LABEL","CODE DELEN"
"TID_TEAM_INVITE_EXPIRED","Uitnodiging van <NAME> is verlopen."
"TID_TEAM_INVITATION_POPUP_TITLE","TEAMUITNODIGING"
"TID_TEAM_INVITATION_POPUP_ACCEPT","ACCEPTEREN"
"TID_TEAM_INVITATION_POPUP_REJECT","AFWIJZEN"
"TID_TEAM_INVITATION_POPUP_MUTE","<NAME> VERBERGEN\nGEDURENDE DE VOLGENDE 10 MIN"
"TID_TEAM_INVITATION_POPUP_SYSTEM_INVITE","TOERNOOIGEVECHT"
"TID_TEAM_INVITATION_POPUP_MUTE_SYSTEM","VERBERGEN\nGEDURENDE DE VOLGENDE 10 MIN"
"TID_BATTLE_ROYALE_5","Zure meren"
"TID_DAILY_COINS_COLLECTED_END_SCREEN","Tokens\nop"
"TID_SHOP_REAL_MONEY_PURCHASES_DISABLED_SPECIAL_BUILD","Je kunt geen aankopen doen met echt geld in deze versie van het spel."
"TID_SHOP_CHINA_WARNING","Waarschuwing: geniet met mate"
"TID_GATCHA_AD_STATUS_VIEW","ADVERTENTIE BEKIJKEN OM\nEEN BELONING TE VERDUBBELEN"
"TID_GATCHA_AD_STATUS_VIEW_CHOISELESS","KRIJG MEER BELONINGEN!"
"TID_GATCHA_AD_STATUS_OUT_OF_VIEWS","Dagelijkse advertenties opgebruikt"
"TID_GATCHA_AD_STATUS_NO_VIDEO","Geen video beschikbaar"
"TID_GATCHA_AD_CONTINUE_BUTTON_TITLE","DOORGAAN"
"TID_AD_DOUBLER_TITLE","KIES BELONING OM TE VERDUBBELEN"
"TID_AD_DOUBLER_CONTINUE","DOORGAAN"
"TID_GATCHA_CONTINUE","DOORGAAN"
"TID_HINT_23","Sommige knokkers presteren beter op bepaalde kaarten en bij bepaalde evenementen dan andere."
"TID_HINT_24","Langeafstandsknokkers doen het over het algemeen beter op kaarten met een open terrein."
"TID_HINT_25","Korteafstandsknokkers doen het over het algemeen beter op kaarten met meer beschutting en bosjes."
"TID_SPEC_ABI_SELF_DESTRUCT","Laatste klap"
"TID_SPEC_ABI_SELF_DESTRUCT_DESC","Als Penny's kanon wordt vernietigd, schiet het een laatste reeks van <VALUE2> bommen af op vijanden in de buurt, die elk <c00cc00><VALUE1></c> schade aanrichten."
"TID_EVENT_LIST_BRAWL","SPELEN"
"TID_INVITE_COPIED_TO_CLIPBOARD","Uitnodigingslink naar klembord gekopieerd."
"TID_INVITE_COPIED_TO_CLIPBOARD_CONFIRM","OK"
"TID_FRIEND_INVITE_POST_MESSAGE","Tik op deze link om <friend> toe te voegen als vriend in Brawl Stars."
"TID_FRIEND_INVITE_POST_TITLE","Nodig een vriend uit!"
"TID_ALLIANCE_JOIN_POST_MESSAGE","Tik op deze link om je aan te sluiten bij mijn club in Brawl Stars!"
"TID_ALLIANCE_JOIN_POST_TITLE","Nodig een vriend uit om zich aan te sluiten bij je club!"
"TID_HOMESCREEN_MODE_LOCKED","Behaal in totaal <COUNT> trofeeën om hier te vechten."
"TID_GAMEROOMS_PLAYERS_ONLINE","<count> VRIENDEN ONLINE"
"TID_ARTILLERY_DUDE_SHORT_DESC","SCHERPSCHUTTER"
"TID_HAMMER_DUDE_SHORT_DESC","ZWAARGEWICHT"
"TID_HAMMER_DUDE_DESC","Frank zwaait met zijn hamer naar vijanden waardoor hij een schokgolf voortbrengt. Zijn superaanval is een krachtige klap die vijanden verdooft."
"TID_HAMMER_DUDE_WEAPON","HAMERSLAG"
"TID_HAMMER_DUDE_WEAPON_DESC","Het duurt even voor Frank zijn hamer klaar heeft, maar de klap is zo hard, dat hij een schokgolf voortbrengt."
"TID_HAMMER_DUDE_ULTI","VERDOVENDE KLAP"
"TID_HAMMER_DUDE_ULTI_DESC","Franks zwaarste klap brengt een schokgolf voort die alles eromheen vernietigt en vijanden tijdelijk verdooft."
"TID_SPEC_ABI_STEAL_SOULS2","Machtsgreep"
"TID_SPEC_ABI_STEAL_SOULS2_DESC","Frank steelt de kracht van knokkers die hij verslaat en vergroot zijn schade hierdoor <VALUE2> seconden lang met <c00cc00><VALUE1>%</c>!"
"TID_ONLINE_FRIENDS_TITLE","SPELERS ONLINE"
"TID_BATTLE_ROYALE_TEAM_INTRO_TEXT","Blijf als laatste team over!"
"TID_VS_TEAM_SHOWDOWN","Alle teams tegen elkaar!"
"TID_FIRST_WIN","STERTOKEN"
"TID_BATTLE_END_TEAM_DEATHMATCH_VICTORY","Jouw team is nummer 1!"
"TID_HOMESCREEN_MODE_LOCKED_INFO","Ontgrendelt over <count> trofeeën"
"TID_HOMESCREEN_LEAGUE_BUTTON_TITLE","TROFEEËNPAD"
"TID_HOMESCREEN_LEAGUE_BUTTON_COLLECT","VERZAMELEN"
"TID_STAR_POWER_INFO","Sterrenkracht: <cde9700><NAME></c>\n<DESC>"
"TID_STAR_POWERS_TITLE","STERRENKRACHTEN"
"TID_ACCESSORIES_TITLE","GADGETS"
"TID_ACCESSORY_TITLE","GADGET"
"TID_ACCESSORIES_INFO","Gadget: <cde9700><NAME></c>\n<DESC>"
"TID_STAR_POWER_STATUS_1_1","<c00ff00>GESELECTEERD</c>"
"TID_STAR_POWER_STATUS_0_0","Je hebt deze sterrenkracht niet"
"TID_ACESSORIES_STATUS_0_0","Je hebt deze gadget niet."
"TID_STAR_POWERS_PICK","KIEZEN"
"TID_LEAGUE_NAME_0","HOUT"
"TID_LEAGUE_NAME_1","BRONS"
"TID_LEAGUE_NAME_2","ZILVER"
"TID_LEAGUE_NAME_3","GOUD"
"TID_LEAGUE_NAME_4","DIAMANT"
"TID_LEAGUE_NAME_5","MEESTER"
"TID_LEAGUE_NAME_6","ELITE"
"TID_LEAGUE_NAME_7","ALL-STAR"
"TID_SPECIAL_EVENTS","DAGELIJKS EVENEMENT"
"TID_SPECIAL_EVENT","Speciaal evenement:"
"TID_SPECIAL_EVENT_DESC","Kom elke dag terug om het dagelijkse evenement te spelen!"
"TID_SPECIAL_EVENTS_MOD","SPECIAAL EVENEMENT"
"TID_SPECIAL_EVENT_MOD_DESC","Kom regelmatig terug voor het speciale evenement van de dag!"
"TID_PLAYING_AGAIN","Opnieuw spelen <c11ee11><NUMBER>/<NUMBER2></c>"
"TID_PLAYING_AGAIN_NO_PLAYERS","Opnieuw spelen"
"TID_BRAWL_BOX_INFO_TITLE_1","GROTE-DOOSINFO"
"TID_GATCHA_ERROR_NOT_ENOUGH_WINS","Verzamel 10 stertokens om een grote doos te krijgen!"
"TID_KEY_BAR_INFO","Aantal <c33a5d7>tokens</c> dat je kunt verdienen met gevechten.\n\nJe kunt tokens gebruiken om knokdozen te openen."
"TID_KEY_BAR_INFO_DOUBLE_TOKEN_EVENT","DUBBELTOKENEVENEMENT\nVerdien dubbel zoveel <c33a5d7>tokens</c> tijdens normale gevechten.\n\nTokens worden gebruikt om knokdozen te openen."
"TID_KEY_BAR_INFO_COIN_SHOWER_EVENT","MUNTENREGENEVENEMENT\nVerdien <cff8E1b>munten</c> door te vechten!\n\nJe krijgt een bonusmunt voor elke token die je verzamelt in een normaal gevecht, inclusief de tokens van tokenverdubbelaars!\n\nMunten worden gebruikt om knokkers te upgraden."
"TID_NEW_ONLINE_FRIEND","SPELER ONLINE"
"TID_NEW_GAME_ROOM","NIEUW TEAM"
"TID_KEY_BAR_TITLE","BESCHIKBARE TOKENS VAN GEVECHT"
"TID_PLAYAGAIN_QUIT","SLUITEN"
"TID_BATTLE_END_WAITING","Wachten op anderen..."
"TID_ERROR_REPLAY_WAITING","Herhaling al in behandeling"
"TID_ERROR_REPLAY_NOT_POSSIBLE","Herhaling niet beschikbaar"
"TID_ERROR_SPECTATE_WAITING","Toekijken al in behandeling"
"TID_ERROR_SPECTATE_NOT_POSSIBLE","Speler vecht op dit moment niet"
"TID_BRAWL_TV_STARTING","BrawlTV laadt..."
"TID_ERROR_BRAWL_TV_WAITING","BrawlTV al in behandeling"
"TID_BRAWL_TV_QUIT","BrawlTV #<NUM>"
"TID_ERROR_BRAWL_TV_TUNE_FAILED","Niets op BrawlTV #<NUM>. Zappen..."
"TID_BRAWL_TV_BATTLE_END_RETURN_HOME","Volgende over <NUM>s"
"TID_BRAWL_TV_BATTLE_END_RETURN_HOME_SOON","AutoNext"
"TID_BRAWL_TV_OFF_RETURN_HOME","TV afsluiten"
"TID_FIRST_WIN_INFO_SURVIVAL","Verdien een <cff8E1b>stertoken</c> voor je eerste keer in de top vier tegen andere spelers."
"TID_TEAM_POPOVER_YOUR_ROOM","Dit is je team"
"TID_ERROR_SPECTATE_NOT_POSSIBLE_TEAM","Het team vecht op dit moment niet"
"TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_THIS_TEAM","Je kunt je niet bij dit team aansluiten. Je zit al in dit team."
"TID_TEAM_AD_JOIN_FAIL_FULL","Je kunt je niet bij dit team aansluiten. Het team zit vol."
"TID_HOMESCREEN_NOT_ENOUGH_TICKETS","Kan gevecht niet beginnen. Niet genoeg tickets."
"TID_HOMESCREEN_TEAMS_NOT_SUPPORTED","Je kunt dit evenement niet in teams spelen."
"TID_GAME_MODE_UNLOCKED","ONTGRENDELD"
"TID_ERROR_SPECTATE_DISABLED","Toekijken is tijdelijk uitgeschakeld wegens technische redenen."
"TID_SPECTATE_FOLLOW","Tik om te volgen:"
"TID_SPECTATE_FOLLOWING","Volgend:"
"TID_FIRST_WIN_INFO_TICKETED_EVENT","Verdien een <cff8E1b>stertoken</c> van je eerste gevecht."
"TID_FIRST_WIN_INFO_TEAM_SURVIVAL","Verdien een <cff8E1b>stertoken</c> voor je eerste keer in de top twee tegen andere spelers."
"TID_FIRST_WIN_INFO_SURVIVAL_COMBINED","Speel tegen andere spelers en eindig in de top vier in solo-modus, of in de top twee in de duo-modus om een <cff8E1b>stertoken</c> te verdienen."
"TID_CONNECTING_WAIT_FOR_SPECTATE","Wachten om toe te kijken..."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS","BEKIJK ADVERTENTIE OM\nÉÉN BELONING TE VERDUBBELEN!\nJe hebt nog <VIEWCOUNTREM> advertenties over vandaag."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW","BEKIJK ADVERTENTIE OM\nÉÉN BELONING TE VERDUBBELEN!\nJe hebt nog <VIEWCOUNTREM> advertentie over vandaag."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS_CHOISELESS","HAAL MEER BELONINGEN!\n<VIEWCOUNTREM> advertenties over vandaag"
"TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW_CHOISELESS","HAAL MEER BELONINGEN!\n<VIEWCOUNTREM> advertentie over vandaag"
"TID_CANNON_DAMAGE","Kanonnenschade"
"TID_CANNON_HEALTH","Kanonnengezondheid"
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_OTHER","Deze speler heeft te veel vriendenverzoeken uitstaan. Probeer het later opnieuw."
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_YOU","Je hebt te veel vriendenverzoeken verstuurd. Verwijder er een en probeer het opnieuw."
"TID_ADD_FRIEND_ERROR_GENERIC","Vriendenverzoek versturen mislukt. Probeer het later opnieuw."
"TID_ADD_FRIEND_ERROR_DOES_NOT_EXIST","De speler die je probeert toe te voegen, bestaat niet."
"TID_ADD_FRIEND_ERROR_OWN_AVATAR","Je kunt jezelf niet uitnodigen als vriend!"
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_OTHER","Je vriend heeft te veel vrienden. Probeer het later opnieuw."
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_YOU","Je hebt te veel vrienden. Verwijder er een als je nieuwe vrienden wilt toevoegen."
"TID_HINT_26","Penny kan veel schade aanrichten met haar gebiedsaanval als haar doelwitten in een rij staan."
"TID_HINT_27","Door een team samen te stellen voor een gevecht, kun je een strategie bespreken met je teamgenoten en samen knokkers kiezen."
"TID_HINT_28","Speel vriendschappelijke gevechten om voor evenementen te trainen, vriendschappelijke toernooien op te zetten en meer!"
"TID_HINT_29","Na een goed gevecht met nieuwe teamgenoten kun je op 'Opnieuw spelen' tikken om nog een gevecht met hen te spelen."
"TID_HINT_30","Voor vriendschappelijke gevechten kun je alle evenementen en kaarten kiezen. Je knokkers zijn ook helemaal geüpgraded."
"TID_HINT_31","Frank stopt om zijn aanval en super uit te voeren. Hierdoor hebben zijn tegenstanders de tijd om buiten zijn bereik te raken."
"TID_EXPERIENCE","ERVARING"
"TID_HINT_32","Ticketevenementen maken geen gebruik van de tokenbalk, maar vereisen tickets om te spelen."
"TID_HINT_33","Je kunt je clubleden uitnodigen om vrienden te worden via de clubledenlijst."
"TID_HINT_34","Je kunt teamgenoten uitnodigen om vrienden te worden."
"TID_HINT_35","Na een paar goede gevechten met iemand, kun je hem of haar uitnodigen om vrienden te worden via de lijst met voorgestelde vrienden."
"TID_HINT_36","Je kunt teamgenoten uitnodigen om vrienden te worden."
"TID_HINT_37","Je kunt de knop Adverteren gebruiken om je team te adverteren bij je vrienden en je clubleden."
"TID_COOP_GENERATED","Rommelarena"
"TID_MECHANIC_KNIGHT_SKIN","DRAKENRIDDER-JESSIE"
"TID_FRANK_CAVEMAN_SKIN","HOLBEWONER-FRANK"
"TID_SOLO","SOLO"
"TID_DUO","DUO"
"TID_INVITE_FRIEND_TOKEN_ERROR_FRIENDS_FULL","Vriendenlijst is vol!"
"TID_INVITE_FRIEND_TOKEN_ERROR_TOO_MANY","Te veel actieve uitnodigingen. Probeer het later opnieuw."
"TID_INVITE_FRIEND_TOKEN_ERROR","Fout bij uitnodigen van vrienden."
"TID_GOLDRUSH_9","Duister meer"
"TID_TEAM_JOIN_FINISH_TUTORIAL","Voltooi de tutorial om je bij een team aan te sluiten."
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_TITLE","Aanmelden mislukt"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED","De bètaversie van Brawl Stars is nog niet beschikbaar in jouw land. Kom later terug."
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_BUTTON","OK"
"TID_CROW_PHEONIX_SKIN","FENIKS-CROW"
"TID_MECHANIC_SUMMER_SKIN","ZOMER-JESSIE"
"TID_HERO_SCREEN_DIM_COLOR_MUL","222222"
"TID_GUNSLINGER_ROCKSTAR_SKIN_SHOP","ROCKSTER-\nCOLT"
"TID_ROCKET_BEACH_SKIN_SHOP","STRAND-\nBROCK"
"TID_CACTUS_PINK_SKIN_SHOP_OLD","ROZE\nSPIKE"
"TID_SHAMAN_PANDA_SKIN_SHOP","PANDA\n-NITA"
"TID_CROW_WHITE_SKIN_SHOP","WITTE\nCROW"
"TID_BULL_HAIR_SKIN_SHOP","VIKING-\nBULL"
"TID_TRICKSHOT_GOLD_SKIN_SHOP_OLD","GOUDEN\nRICOCHET"
"TID_BARKEEP_GOLD_SKIN_SHOP","GOUDEN\nBARLEY"
"TID_LUCHADOR_RUDO_SKIN_SHOP","EL RUDO\nPRIMO"
"TID_SHOTGUN_BANDITA_SKIN_SHOP","BANDITA-\nSHELLY"
"TID_LUCHADOR_KING_SKIN_SHOP","EL REY\nPRIMO"
"TID_MECHANIC_KNIGHT_SKIN_SHOP","DRAKENRIDDER-\nJESSIE"
"TID_FRANK_CAVEMAN_SKIN_SHOP","HOLBEWONER-\nFRANK"
"TID_MECHANIC_SUMMER_SKIN_SHOP","ZOMER-\nJESSIE"
"TID_CROW_PHEONIX_SKIN_SHOP","FENIKS-\nCROW"
