"TID","PT"
"TID_HINT_6","Quanto mais Brawlers tiver, mais fácil fica aumentar o total de troféus e conseguir mais recompensas."
"TID_HINT_7","Os disparos da Piper causam mais dano ao atingirem longas distâncias."
"TID_HINT_8","O Super do Barley é muito poderoso, sobretudo próximo ao inimigo, pois as garrafas caem próximas a ele."
"TID_HINT_9","A balas do Rico ganham mais impulso e vão mais longe a cada ricochete."
"TID_HINT_10","Você pode ativar o <ccc0033>controle vermelho</c> em qualquer lugar do lado direito da tela para atirar."
"TID_HINT_11","Tanto o ataque regular quanto o Super contam com dois modos: TOCAR para TIRO RÁPIDO e ARRASTAR para MIRAR."
"TID_HINT_12","Mirar seus disparos favorece o acerto nos alvos em movimento"
"TID_HINT_13","TIRO RÁPIDO é uma boa opção para quando não se tem tempo de mirar."
"TID_HINT_14","TIRO RÁPIDO funciona melhor em inimigos próximos."
"TID_HINT_15","Os inimigos podem te ver escondido nos arbustos, quando se aproximam o bastante."
"TID_HINT_16","TIRO RÁPIDO vai de encontro ao inimigo mais próximo e não leva movimento em consideração."
"TID_HINT_17","Mirar é uma boa opção para atirar nos arbustos em busca de inimigos escondidos."
"TID_HINT_18","TIRO RÁPIDO funciona bem em inimigos que ficam parados."
"TID_HINT_19","TIRO RÁPIDO funciona bem nos inimigos vindo na sua direção ou nos que se afastam de você."
"TID_HINT_20","Inimigos podem ver se você ataca ou recebe dano, mesmo que você esteja escondido num arbusto."
"TID_HINT_21","Use os arbustos para se esconder dos inimigos."
"TID_HINT_22","Ao usar TIRO RÁPIDO, você dispara a sua arma, mesmo que não tenha inimigos por perto."
"TID_VS_TUTORIAL","Colete todas as <ce662f9>GEMAS</c>"
"TID_USE_MANUAL_FIRE_TUTORIAL","ARRASTE o <ccc0033>controle vermelho</c> para mirar!"
"TID_TUTORIAL_GOOD_JOB_2","Boa jogada! As <cff6633>BARRAS ALARANJADAS</c> mostram a sua munição. Vou recarregar o mais rápido possível!"
"TID_TUTORIAL_GOOD_JOB_3","Bom trabalho! Você carrega o seu <cff9900>SUPER</c> atacando os inimigos!"
"TID_TUTORIAL_GOOD_JOB_4","Assim que se faz!"
"TID_SPECTATE_PLAYER_BUTTON","Assistir"
"TID_SPECTATE_FAILED","Falha ao assistir"
"TID_ACCOUNT_DISABLED_TEXT","Conta desativada"
"TID_ACCOUNT_DELETED_ON_REQUEST_TEXT","Esta conta foi desativada devido a uma solicitação de exclusão e não pode mais ser recuperada."
"TID_ACCOUNT_DELETED_DUE_INACTIVITY_TEXT","Esta conta foi desativada por inatividade e não pode mais ser recuperada."
"TID_ACCOUNT_DELETION_WARNING_TITLE","Aviso de exclusão da conta"
"TID_ACCOUNT_DELETION_WARNING_TEXT","Atendendo ao seu pedido, sua conta será desativada em breve. Caso tenha mudado de ideia, entre em contato com Ajuda e Suporte o mais rápido possível para cancelar a solicitação."
"TID_ACCOUNT_DELETION_WARNING_TEXT_PAST","Atendendo ao seu pedido, sua conta será desativada em breve. Caso tenha mudado de ideia, entre em contato com Ajuda e Suporte o mais rápido possível para cancelar a solicitação."
"TID_CLAN_JOIN_FAILED_ALREADY_IN_THIS_CLAN","Você já faz parte do clube!"
"TID_CONFIRM_CHANGE_CLAN_TITLE","Trocar de clube?"
"TID_CONFIRM_CHANGE_CLAN","Você já está em um clube. Deseja mesmo mudar?"
"TID_CONFIRM_CLAN_FULL_TITLE","Clube cheio!"
"TID_CONFIRM_CLAN_FULL","O clube <clan> está cheio e não é possível entrar nele."
"TID_BUTTON_CHANGE","Alterar"
"TID_CLAN_JOIN_FAILED_IN_TUTORIAL","Conclua o tutorial para entrar em um clube."
"TID_CLAN_INTRO_INVITE","CONVIDAR"
"TID_INVITE_CLAN_TOKEN_ERROR","Erro ao gerar convite"
"TID_ALLIANCE_INVITE_FAILED_NO_RIGHTS","Só o presidente do clube pode convidar novos integrantes."
"TID_FRIENDS_FACEBOOK_CONNECT","Conectar"
"TID_FRIENDS_PAGE_INVITE","CONVIDAR"
"TID_SHARE_GAME_ROOM_POST_MESSAGE","Acesse este link para entrar numa equipe com <name> no Brawl Stars!"
"TID_SHARE_GAME_ROOM_POST_TITLE","Convidar para a equipe"
"TID_ROOM_CODE_COPIED_TO_CLIPBOARD","ID da equipe copiada para a área de transferência!"
"TID_ROOM_CODE_COPIED_TO_CLIPBOARD_CONFIRM","Ok"
"TID_TEAM_INVITE_BUTTON_LABEL","COMPARTILHAR CÓDIGO"
"TID_TEAM_INVITE_EXPIRED","O convite de <NAME> expirou."
"TID_TEAM_INVITATION_POPUP_TITLE","CONVITE PARA EQUIPE"
"TID_TEAM_INVITATION_POPUP_ACCEPT","ACEITAR"
"TID_TEAM_INVITATION_POPUP_REJECT","RECUSAR"
"TID_TEAM_INVITATION_POPUP_MUTE","SILENCIAR <NAME>\nPELOS PRÓXIMOS 10 MINUTOS"
"TID_TEAM_INVITATION_POPUP_SYSTEM_INVITE","PARTIDA DE TORNEIO"
"TID_TEAM_INVITATION_POPUP_MUTE_SYSTEM","SILENCIAR\nPOR 10 MINUTOS"
"TID_BATTLE_ROYALE_5","Lagos ácidos"
"TID_DAILY_COINS_COLLECTED_END_SCREEN","Fichas de batalha\nse esgotaram."
"TID_SHOP_REAL_MONEY_PURCHASES_DISABLED_SPECIAL_BUILD","Compras com dinheiro real não estão disponíveis nessa versão."
"TID_SHOP_CHINA_WARNING","Aviso: aprecie com moderação!"
"TID_GATCHA_AD_STATUS_VIEW","ASSISTA AO ANÚNCIO\nE DUPLIQUE UMA RECOMPENSA!"
"TID_GATCHA_AD_STATUS_VIEW_CHOISELESS","GANHE MAIS RECOMPENSAS!"
"TID_GATCHA_AD_STATUS_OUT_OF_VIEWS","Visualizações diárias usadas"
"TID_GATCHA_AD_STATUS_NO_VIDEO","Sem vídeo disponível"
"TID_GATCHA_AD_CONTINUE_BUTTON_TITLE","CONTINUAR"
"TID_AD_DOUBLER_TITLE","DUPLIQUE UMA RECOMPENSA"
"TID_AD_DOUBLER_CONTINUE","CONTINUAR"
"TID_GATCHA_CONTINUE","AVANÇAR"
"TID_HINT_23","Alguns Brawlers são melhores em certos modos e mapas do que outros."
"TID_HINT_24","Brawlers com ataques de longa distância são melhores em mapas descampados."
"TID_HINT_25","Brawlers com ataques de proximidade são melhores em mapas com esconderijos e arbustos."
"TID_SPEC_ABI_SELF_DESTRUCT","Explosão final"
"TID_SPEC_ABI_SELF_DESTRUCT_DESC","Ao ser destruído, o canhão da Penny lança uma série de <VALUE2> bombas que atacam inimigos próximos. Cada bomba inflige <c00cc00><VALUE1></c> pontos de dano."
"TID_EVENT_LIST_BRAWL","JOGAR"
"TID_INVITE_COPIED_TO_CLIPBOARD","Link do convite copiado para a área de transferência."
"TID_INVITE_COPIED_TO_CLIPBOARD_CONFIRM","Ok"
"TID_FRIEND_INVITE_POST_MESSAGE","Clique neste link para começar uma amizade com <friend> no Brawl Stars!"
"TID_FRIEND_INVITE_POST_TITLE","Convide um amigo!"
"TID_ALLIANCE_JOIN_POST_MESSAGE","Clique neste link para entrar no meu clube em Brawl Stars!"
"TID_ALLIANCE_JOIN_POST_TITLE","Convide um amigo para entrar no seu clube!"
"TID_HOMESCREEN_MODE_LOCKED","Obtenha <COUNT> troféus para entrar nessa luta!"
"TID_GAMEROOMS_PLAYERS_ONLINE","<count> AMIGOS ON-LINE"
"TID_ARTILLERY_DUDE_SHORT_DESC","TIRO PRECISO"
"TID_HAMMER_DUDE_SHORT_DESC","PESO-PESADO"
"TID_HAMMER_DUDE_DESC","Frank branda seu martelo contra os inimigos, criando uma onda de choque. Seu Super é um golpe tão forte que atordoa os inimigos!"
"TID_HAMMER_DUDE_WEAPON","MARTELADA"
"TID_HAMMER_DUDE_WEAPON_DESC","Frank leva um tempinho para desferir sua martelada, mas não se assuste com o furor e propagação do impacto!"
"TID_HAMMER_DUDE_ULTI","MARTELO DE MARTE"
"TID_HAMMER_DUDE_ULTI_DESC","O ataque mais forte do Frank cria uma onda de choque que destrói tudo e atordoa temporariamente os inimigos."
"TID_SPEC_ABI_STEAL_SOULS2","Pilhagem"
"TID_SPEC_ABI_STEAL_SOULS2_DESC","Frank rouba o poder do Brawler derrotado, aumentando o dano que inflige em <c00cc00><VALUE1>%</c> por <VALUE2> segundos!"
"TID_ONLINE_FRIENDS_TITLE","JOGADORES ON-LINE"
"TID_BATTLE_ROYALE_TEAM_INTRO_TEXT","Seja a última equipe a sobreviver!"
"TID_VS_TEAM_SHOWDOWN","Todas as equipes se enfrentando!"
"TID_FIRST_WIN","FICHA ESTRELA"
"TID_BATTLE_END_TEAM_DEATHMATCH_VICTORY","Sua equipe é a número 1!"
"TID_HOMESCREEN_MODE_LOCKED_INFO","Desbloqueie com <count> troféus"
"TID_HOMESCREEN_LEAGUE_BUTTON_TITLE","CAMINHO DE TROFÉUS"
"TID_HOMESCREEN_LEAGUE_BUTTON_COLLECT","COLETAR"
"TID_STAR_POWER_INFO","Poder de estrela: <cde9700><NAME></c>\n<DESC>"
"TID_STAR_POWERS_TITLE","PODERES DE ESTRELA"
"TID_ACCESSORIES_TITLE","ACESSÓRIOS"
"TID_ACCESSORY_TITLE","ACESSÓRIO"
"TID_ACCESSORIES_INFO","Acessório: <cde9700><NAME></c>\n<DESC>"
"TID_STAR_POWER_STATUS_1_1","<c00ff00>SELECIONADO</c>"
"TID_STAR_POWER_STATUS_0_0","Você não tem este poder de estrela."
"TID_ACESSORIES_STATUS_0_0","Você não tem este acessório."
"TID_STAR_POWERS_PICK","ESCOLHER"
"TID_LEAGUE_NAME_0","MADEIRA"
"TID_LEAGUE_NAME_1","BRONZE"
"TID_LEAGUE_NAME_2","PRATA"
"TID_LEAGUE_NAME_3","OURO"
"TID_LEAGUE_NAME_4","DIAMANTE"
"TID_LEAGUE_NAME_5","MESTRE"
"TID_LEAGUE_NAME_6","ELITE"
"TID_LEAGUE_NAME_7","ALL-STAR"
"TID_SPECIAL_EVENTS","EVENTO DO DIA"
"TID_SPECIAL_EVENT","Evento especial:"
"TID_SPECIAL_EVENT_DESC","Confira sempre para jogar o evento do dia!"
"TID_SPECIAL_EVENTS_MOD","EVENTO ESPECIAL"
"TID_SPECIAL_EVENT_MOD_DESC","Fique de olho no evento especial do dia!"
"TID_PLAYING_AGAIN","Jogar de novo <c11ee11><NUMBER>/<NUMBER2></c>"
"TID_PLAYING_AGAIN_NO_PLAYERS","Jogar de novo"
"TID_BRAWL_BOX_INFO_TITLE_1","DETALHES DA CAIXA GRANDE"
"TID_GATCHA_ERROR_NOT_ENOUGH_WINS","Junte 10 fichas estrela para abrir uma Caixa Grande!"
"TID_KEY_BAR_INFO","A quantidade de <c33a5d7>fichas</c> que você pode obter em batalhas.\n\nVocê pode abrir Caixas Brawl com essas fichas."
"TID_KEY_BAR_INFO_DOUBLE_TOKEN_EVENT","EVENTO COM DOBRO DE FICHAS\nGanhe o dobro de <c33a5d7>fichas</c> nas batalhas.\n\nElas servem para abrir Caixas Brawl."
"TID_KEY_BAR_INFO_COIN_SHOWER_EVENT","EVENTO CHUVA DE MOEDAS\nGanhe <cff8E1b>moedas</c> nas batalhas!\n\nCada ficha conquistada nas batalhas vem com uma moeda extra, inclusive as fichas obtidas com o duplicador de fichas!\n\nUse as moedas para melhorar os Brawlers."
"TID_NEW_ONLINE_FRIEND","JOGADOR ON-LINE"
"TID_NEW_GAME_ROOM","NOVA EQUIPE"
"TID_KEY_BAR_TITLE","FICHAS DISPONÍVEIS DA BATALHA"
"TID_PLAYAGAIN_QUIT","SAIR"
"TID_BATTLE_END_WAITING","Esperando os demais"
"TID_ERROR_REPLAY_WAITING","Replay pendente"
"TID_ERROR_REPLAY_NOT_POSSIBLE","Replay indisponível"
"TID_ERROR_SPECTATE_WAITING","Solicitação para assistir pendente"
"TID_ERROR_SPECTATE_NOT_POSSIBLE","O jogador não está em batalha agora"
"TID_BRAWL_TV_STARTING","Carregando BrawlTV..."
"TID_ERROR_BRAWL_TV_WAITING","BrawlTV em espera"
"TID_BRAWL_TV_QUIT","BrawlTV nº <NUM>"
"TID_ERROR_BRAWL_TV_TUNE_FAILED","Nada na BrawlTV nº <NUM> - alternar"
"TID_BRAWL_TV_BATTLE_END_RETURN_HOME","Próximo em <NUM>s"
"TID_BRAWL_TV_BATTLE_END_RETURN_HOME_SOON","Reprodução automática"
"TID_BRAWL_TV_OFF_RETURN_HOME","Sair da TV"
"TID_FIRST_WIN_INFO_SURVIVAL","Ganhe uma <cff8E1b>ficha estrela</c> na primeira vez que terminar entre os quatro melhores contra outros jogadores."
"TID_TEAM_POPOVER_YOUR_ROOM","Esta é sua equipe"
"TID_ERROR_SPECTATE_NOT_POSSIBLE_TEAM","A equipe não está em batalha agora"
"TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_THIS_TEAM","Impossível participar. Você já está nesta equipe."
"TID_TEAM_AD_JOIN_FAIL_FULL","Não é possível entrar. Equipe lotada."
"TID_HOMESCREEN_NOT_ENOUGH_TICKETS","Ingressos insuficientes. Impossível iniciar a partida."
"TID_HOMESCREEN_TEAMS_NOT_SUPPORTED","Este evento não permite que se jogue em equipe."
"TID_GAME_MODE_UNLOCKED","DESBLOQUEADO"
"TID_ERROR_SPECTATE_DISABLED","A opção de assistir está indisponível no momento por motivos técnicos."
"TID_SPECTATE_FOLLOW","Toque para seguir:"
"TID_SPECTATE_FOLLOWING","Seguindo:"
"TID_FIRST_WIN_INFO_TICKETED_EVENT","Ganhe uma <cff8E1b>ficha estrela</c> pela sua primeira batalha."
"TID_FIRST_WIN_INFO_TEAM_SURVIVAL","Ganhe uma <cff8E1b>ficha estrela</c> na primeira vez que terminar entre os dois melhores contra outros jogadores."
"TID_FIRST_WIN_INFO_SURVIVAL_COMBINED","Encare outros jogadores e termine entre os quatro melhores no modo sozinho ou entre os dois melhores no modo duplas para ganhar uma <cff8E1b>ficha estrela</c>."
"TID_CONNECTING_WAIT_FOR_SPECTATE","Aguardando para assistir..."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS","ASSISTA AO ANÚNCIO\nE DUPLIQUE UMA RECOMPENSA!\n<VIEWCOUNTREM> visualizações restantes hoje."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW","ASSISTA AO ANÚNCIO\nE DUPLIQUE UMA RECOMPENSA!\n<VIEWCOUNTREM> visualizações restantes hoje."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS_CHOISELESS","GANHE MAIS RECOMPENSAS!\n<VIEWCOUNTREM> visualizações restantes hoje."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW_CHOISELESS","GANHE MAIS RECOMPENSAS!\n<VIEWCOUNTREM> visualizações restantes hoje."
"TID_CANNON_DAMAGE","Dano do canhão"
"TID_CANNON_HEALTH","Saúde do canhão"
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_OTHER","Este jogador tem muitos pedidos de amizade pendentes. Tente de novo mais tarde."
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_YOU","Você já enviou muitos pedidos de amizade. Remova um e tente de novo."
"TID_ADD_FRIEND_ERROR_GENERIC","Não foi possível enviar o pedido de amizade. Tente de novo mais tarde."
"TID_ADD_FRIEND_ERROR_DOES_NOT_EXIST","O jogador que você tentou adicionar não existe."
"TID_ADD_FRIEND_ERROR_OWN_AVATAR","Não é possível adicionar a si mesmo como amigo!"
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_OTHER","Seu amigo tem muitos amigos. Tente de novo mais tarde."
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_YOU","Você tem amigos demais. Remova alguns se quiser adicionar outros."
"TID_HINT_26","Penny inflige um grande dano com seu ataque pulverizador se os alvos estiverem alinhados."
"TID_HINT_27","Montar uma equipe antes da partida permite que vocês se planejem e escolham uma boa combinação de Brawlers."
"TID_HINT_28","Tente jogar em partidas amistosas em eventos de treino, monte competições amistosas e muito mais!"
"TID_HINT_29","Após boas partidas com novos aliados, você pode escolher a opção Jogar Novamente para iniciar outra partida com eles."
"TID_HINT_30","Partidas amistosas permitem que você escolha quaisquer eventos e mapas. Os Brawlers também serão melhorados ao máximo!"
"TID_HINT_31","Frank precisa parar para realizar seu ataque regular e o Super, possibilitando a fuga dos adversários."
"TID_EXPERIENCE","EXPERIÊNCIA"
"TID_HINT_32","Eventos restritos não consomem a barra de fichas, mas é preciso ter ingressos para jogar."
"TID_HINT_33","Você pode enviar pedidos de amizade acessando a lista de integrantes do clube."
"TID_HINT_34","Você pode enviar uma solicitação de amizade aos seus colegas de equipe."
"TID_HINT_35","Após algumas partidas com outro jogador, você pode lhe enviar um pedido de amizade na lista de sugestões de amizade."
"TID_HINT_36","Você pode enviar uma solicitação de amizade aos seus colegas de equipe."
"TID_HINT_37","Você pode usar o botão de anunciar para divulgar a sua equipe aos seus amigos e colegas de clube."
"TID_COOP_GENERATED","Arena caótica"
"TID_MECHANIC_KNIGHT_SKIN","JESSIE AMAZONA"
"TID_FRANK_CAVEMAN_SKIN","FRANK DAS CAVERNAS"
"TID_SOLO","SOZINHO"
"TID_DUO","DUPLO"
"TID_INVITE_FRIEND_TOKEN_ERROR_FRIENDS_FULL","A lista de amigos está cheia."
"TID_INVITE_FRIEND_TOKEN_ERROR_TOO_MANY","Há muitos convites ativos. Tente novamente mais tarde."
"TID_INVITE_FRIEND_TOKEN_ERROR","Erro ao convidar amigos"
"TID_GOLDRUSH_9","Transação sigilosa"
"TID_TEAM_JOIN_FINISH_TUTORIAL","Conclua o tutorial para entrar no clube."
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_TITLE","Falha no login"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED","A versão beta de Brawl Stars não está disponível no seu país. Confira de novo mais tarde!"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_BUTTON","OK"
"TID_CROW_PHEONIX_SKIN","CORVO FÊNIX"
"TID_MECHANIC_SUMMER_SKIN","JESSIE TROPICAL"
"TID_HERO_SCREEN_DIM_COLOR_MUL","222222"
"TID_GUNSLINGER_ROCKSTAR_SKIN_SHOP","COLT\nROQUEIRO"
"TID_ROCKET_BEACH_SKIN_SHOP","BROCK\nPRAIANO"
"TID_CACTUS_PINK_SKIN_SHOP_OLD","SPIKE\nROSA"
"TID_SHAMAN_PANDA_SKIN_SHOP","NITA\nPANDA"
"TID_CROW_WHITE_SKIN_SHOP","CORVO\nBRANCO"
"TID_BULL_HAIR_SKIN_SHOP","BULL\nVIKING"
"TID_TRICKSHOT_GOLD_SKIN_SHOP_OLD","RICOCHET\nMEDALHISTA DE OURO"
"TID_BARKEEP_GOLD_SKIN_SHOP","BARLEY\nDOURADO"
"TID_LUCHADOR_RUDO_SKIN_SHOP","PRIMO\nEL RUDO"
"TID_SHOTGUN_BANDITA_SKIN_SHOP","SHELLY\nBANDIDA"
"TID_LUCHADOR_KING_SKIN_SHOP","EL REY\nPRIMO"
"TID_MECHANIC_KNIGHT_SKIN_SHOP","JESSIE\nAMAZONA"
"TID_FRANK_CAVEMAN_SKIN_SHOP","FRANK\nDAS CAVERNAS"
"TID_MECHANIC_SUMMER_SKIN_SHOP","JESSIE\nTROPICAL"
"TID_CROW_PHEONIX_SKIN_SHOP","CORVO\nFÊNIX"
"TID_GOLDRUSH_10","Câmara do ruído"
"TID_BANKHEIST_5","Cercado irado"
"TID_BATTLE_ROYALE_D7","Comprador compulsivo"
"TID_BATTLE_ROYALE_8","Invasão da ilha"
"TID_BATTLE_ROYALE_6","Caverna convulsiva"
"TID_CLAN_CHAT_JUMP_TO_NEW","<count> mensagens novas!"
"TID_CLAN_CHAT_NEW","NOVO"
"TID_BANKHEIST_6","Atacar!"
"TID_GOLDRUSH_11","Mina inundada"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_ANDROID","Você pode baixar Brawl Stars Beta (disponível apenas em alguns países) na loja da Google Play. Versão indisponível para dispositivos com as configurações de fábrica alteradas. Confira de novo no futuro!"
"TID_RATE_APP_MESSAGE_ANDROID","Avalie ou comente sobre o Brawl Stars no Google Play. Seu feedback é valioso para nós!"
"TID_BIND_TO_NEW_GOOGLE_SERVICE_ACCOUNT_TITLE","Novo login no Google Play"
"TID_BIND_TO_NEW_GOOGLE_SERVICE_ACCOUNT","Quer salvar o seu jogo atual nesta conta do Google Play?"
"TID_SHOWDOWN_END","COMBATE!"
"TID_SETTINGS_FIXES_JOYSTICK","CONTROLE DE MOVIMENTO TRAVADO"
"TID_SETTINGS_SC_ID","SUPERCELL ID"
"TID_LANGUAGE_LOCALIZED_NAME","Português"
"TID_POPUP_CHANGE_LANGUAGE_TITLE","Alterar o idioma?"
"TID_POPUP_CHANGE_LANGUAGE","Deseja mesmo alterar o idioma?"
"TID_SKIN_RARITY_1","<cffffff>Comum</c>"
"TID_SKIN_RARITY_2","<c0070dd>Raro</c>"
"TID_SKIN_RARITY_3","<ca335ee>Épico</c>"
"TID_SKIN_RARITY_4","<cff8000>Lendário</c>"
"TID_BANKHEIST_7","Corredor de cactos"
"TID_BATTLE_ROYALE_9","Vento do oeste"
"TID_BATTLE_ROYALE_10","Duna movediça"
"TID_NO_FRIENDS_GO_TO_FRIENDS","Buscar amigos"
"TID_EVENT_MODIFIER_1","ENERGÉTICO"
"TID_EVENT_MODIFIER_2","IRA CIBERNÉTICA"
"TID_EVENT_MODIFIER_3","CHUVA DE METEOROS"
"TID_EVENT_MODIFIER_4","CEMITÉRIO"
"TID_EVENT_MODIFIER_DESC_1","Caso você esteja sozinho, um energético pode aparecer por perto. Pegue-o para aumentar o dano e a velocidade do seu Brawler por um breve período!"
"TID_EVENT_MODIFIER_DESC_2","Um robô irritado vai aparecer do nada e atacar o Brawler mais perto. Cuidado!"
"TID_EVENT_MODIFIER_DESC_3","Esta não é a típica chuva de meteoros para ser admirada. Fique ligado nos pedregulhos caindo do céu!"
"TID_BALL_4","Campos ardilosos"
"TID_EVENT_MODIFIER_DESC_4","Você perde pontos de vida gradativamente, mas, ao atacar os inimigos, você restaura parcialmente a saúde. Ao derrotar um Brawler, você readquire toda a saúde! As habilidades de cura dos Brawlers são reduzidas."
"TID_BALL_5","Forte-bol"
"TID_BALL_6","Superestádio"
"TID_BALL_7","Poça gotejante"
"TID_BANKHEIST_8","Túnel de osso"
"TID_EVENT_MODIFIER_DESC_3_SD","Formar grupinhos com os amigos pode ser perigoso quando as pedras começarem a cair do céu!"
"TID_DEFEATED_SHOWDOWN","Derrotado"
"TID_OFFER_WATCH_AD","ASSISTIR"
"TID_ERROR_REPLAY_DISABLED","Replay indisponível"
"TID_WANTED_9","Canal grande"
"TID_HOOK","EUGÊNIO"
"TID_STAR_KEY_INFO_EXTENSION","\n\nFichas estrela servem para abrir Caixas Grandes."
"TID_TEAM_OWNER_TEXT","Equipe de <NAME>"
"TID_SPECTATE_AUTO","Automático"
"TID_BATTLE_ROYALE_11","Au Au"
"TID_FRIEND_POPOVER_INVITE","CONVIDAR PARA A EQUIPE"
"TID_TEAM_ERROR_ALREADY_IN_ROOM","O jogador já está na sua equipe!"
"TID_TEAM_ERROR_ALREADY_INVITED","O jogador já foi convidado!"
"TID_BATTLE_ROYALE_D2","Planície de dunas"
"TID_UNDERTAKER_GREASER_SKIN","MORTIS GALÃ"
"TID_COMMUNITY_PROPS","Mapa feito pela comunidade!\n\nConcepção de:\n<cff8000><CREDIT></c>"
"TID_BATTLE_ROYALE_12","Labirinto infernal"
"TID_TEAM_INVITE_ALREADY_IN_TEAM","O jogador já está em uma equipe!"
"TID_HINT_38","Um círculo azul girando abaixo de um Brawler indica que o Super está carregado!"
"TID_HINT_39","Um círculo amarelo girando abaixo de um Brawler indica que ele está mirando o Super!"
"TID_EVENT_NOT_AVAILABLE","Sem evento"
"TID_SHOP_OFFER_PURCHASE_AD_NOT_AVAILABLE","Sem vídeo disponível. Confira de novo mais tarde!"
"TID_SHOP_NOT_AVAILABLE","Indisponível"
"TID_UNDERTAKER_GREASER_SKIN_SHOP","MORTIS\nGALÃ"
"TID_HINT_40","Conecte-se ao Supercell ID nas configurações para jogar em vários dispositivos e manter sua conta segura, além de ganhar um visual grátis!"
"TID_GACHA_VIDEO_REWARD_RECEIVED","Recompensas extras disponíveis!"
"TID_BUTTON_NAVI_SHOP","LOJA"
"TID_BUTTON_NAVI_SOCIAL","SOCIAL"
"TID_BUTTON_NAVI_BRAWLERS","BRAWLERS"
"TID_BRAWL_TICKETS_BUTTON","JOGAR"
"TID_HOME_SCREEN_INVITE","CONVIDAR"
"TID_HINT_41","O seu total de troféus é a soma de todos os troféus de cada Brawler."
"TID_GOAL","<name> marcou um gol!"
"TID_EVENT_MODIFIER_5","COGUMELOS CURATIVOS"
"TID_EVENT_MODIFIER_DESC_5","Os cogumelos curativos aparecem aleatoriamente. Eles restauram aqueles que estiverem próximos por um determinado período!"
"TID_EVENT_MODIFIER_DESC_5_SD","Os cogumelos curativos aparecem aleatoriamente. Formar grupinhos com seus amigos impede que eles apareçam!"
"TID_NINJA","LEON"
"TID_ROSA","ROSA"
"TID_HINT_42","Por um certo período, seu Brawler recupera pontos de vida quando não ataca ou é golpeado."
"TID_HOOK_SHORT_DESC","SUPORTE"
"TID_HOOK_DESC","Com sua lâmpada mágica, Eugênio atira um projétil que se fragmenta. Seu Super é uma mão mágica que agarra e puxa os inimigos para perto!"
"TID_SPEC_ABI_HOOK","Sopro mágico"
"TID_SPEC_ABI_HOOK_DESC","Eugênio restaura <c00cc00><VALUE1></c> pontos de saúde por segundo dos aliados próximos."
"TID_HOOK_WEAPON","EXPLOSÃO DE FUMAÇA"
"TID_HOOK_ULTI","MÃO MÁGICA"
"TID_HOOK_WEAPON_DESC","Eugênio dispara uma esfera mágica de fumaça da lâmpada. Caso a esfera não acerte o alvo, ela se divide e causa dano em um cone."
"TID_HOOK_ULTI_DESC","Eugênio lança uma mão mágica da sua lâmpada que puxa o inimigo até ele, caso acerte!"
"TID_NINJA_SHORT_DESC","ASSASSINO FURTIVO"
"TID_NINJA_DESC","Leon dispara uma salva de lâminas contra o alvo. O seu Super é uma bomba de fumaça que o deixa temporariamente invisível!"
"TID_SPEC_ABI_SPEED_INVISIBLE","Sinal de fumaça"
"TID_SPEC_ABI_SPEED_INVISIBLE_DESC","Ao usar o Super, a velocidade de movimento de Leon aumenta em <c00cc00><VALUE1>%</c> durante a invisibilidade."
"TID_NINJA_WEAPON","SHURIKEN"
"TID_NINJA_ULTI","BOMBA DE FUMAÇA"
"TID_NINJA_WEAPON_DESC","Com um movimento de punho, Leon dispara quatro shurikens. As lâminas causam menos dano quanto maior for a distância."
"TID_NINJA_ULTI_DESC","Leon fica invisível por <time> segundos, expondo-se ao atacar. Os inimigos próximos conseguem vê-lo."
"TID_ROSA_SHORT_DESC","PESO-PESADO"
"TID_ROSA_DESC","Essa boxeadora botânica planta soco para colher nocaute. O Super dela a envolve em uma armadura vegetal."
"TID_SPEC_ABI_HEAL_FOREST","Vida vegetal"
"TID_SPEC_ABI_HEAL_FOREST_DESC","Rosa recupera <c00cc00><VALUE1></c> pontos de saúde por segundo nos arbustos."
"TID_ROSA_WEAPON","MÃO DE PEDRA"
"TID_ROSA_ULTI","FERTILIZANTE"
"TID_ROSA_WEAPON_DESC","Rosa desfere uma série de socos fortes com técnica perfeita!"
"TID_ROSA_ULTI_DESC","Rosa ganha uma segunda pele de vinhas resistentes por <time> segundos, reduzindo todo o dano recebido em <num>% pela duração da habilidade."
"TID_STAT_DAMAGE_PER_CLUSTER","Dano por aglomerado"
"TID_STAT_DAMAGE_PER_SHURIKEN","Dano por shuriken de perto"
"TID_STAT_INVISIBLE","Bomba de fumaça"
"TID_STAT_SHIELD","Escudo"
