"TID","IT"
"TID_PLAYER_ALREADY_REPORTED","Questo giocatore è già stato segnalato!"
"TID_STARTER_PACK_4","PACCHETTO LIV. 35"
"TID_NEED_HERO","Impossibile acquistare la skin, perché prima devi sbloccare il brawler."
"TID_EVENT_ENDING","<GAMEMODE> sta per terminare!"
"TID_TEAM_DISPLAY_TITLE_CLAN","SQUADRE DEL CLUB"
"TID_TEAM_DISPLAY_TITLE_FRIENDS","SQUADRE DI AMICI"
"TID_TICKETS_REVEIVED","Hai ricevuto <AMOUNT> biglietti degli eventi!"
"TID_TUTORIAL_12","Abbiamo le GEMME, quindi direi che possiamo andarcene!"
"TID_NO_TARGET_HINT","Nessun bersaglio in vista per il COLPO RAPIDO!"
"TID_CAN_NOT_AUTOSHOOT","COLPO RAPIDO non disponibile per questa super"
"TID_VS","VS"
"TID_VS_SHOWDOWN","Ognuno per sé!"
"TID_HAS_LASER_BALL_HINT","COLPO RAPIDO non utilizzabile quando hai la palla"
"TID_CLAN_RESPONSE_44","Impossibile entrare. Sei già in un club."
"TID_SHOTGUN_GIRL_SHORT_DESC","COMBATTENTE"
"TID_GUNSLINGER_SHORT_DESC","TIRATORE"
"TID_BULL_DUDE_SHORT_DESC","TANK"
"TID_ROCKET_GIRL_SHORT_DESC","TIRATORE"
"TID_TNT_DUDE_SHORT_DESC","LANCIATORE"
"TID_LUCHADOR_SHORT_DESC","TANK"
"TID_TRICKSHOT_DUDE_SHORT_DESC","TIRATORE"
"TID_CACTUS_SHORT_DESC","TIRATORE"
"TID_BARKEEP_SHORT_DESC","LANCIATORE"
"TID_MECHANIC_SHORT_DESC","COMBATTENTE"
"TID_SHAMAN_SHORT_DESC","COMBATTENTE"
"TID_UNDERTAKER_SHORT_DESC","SICARIO VELOCE"
"TID_CROW_SHORT_DESC","SICARIO TOSSICO"
"TID_DEAD_MARIACHI_SHORT_DESC","SUPPORTO"
"TID_BOW_DUDE_SHORT_DESC","COMBATTENTE"
"TID_SNIPER_SHORT_DESC","TIRATRICE"
"TID_MINIGUN_DUDE_SHORT_DESC","SUPPORTO"
"TID_BLACK_HOLE_SHORT_DESC","COMBATTENTE"
"TID_BARREL_BOT_SHORT_DESC","TANK"
"TID_CLAN_INTRO_SUGGESTED_CLANS","CLUB MIGLIORI PER TE"
"TID_CLAN_INTRO_CREATE_TITLE","CREANE UNO TU"
"TID_CLAN_INTRO_HEADER","CLUB"
"TID_CLAN_INFO_TITLE","INFO SUL CLUB"
"TID_CLAN_INFO_NO_DESCRIPTION","NESSUNA DESCRIZIONE DEL CLUB"
"TID_EVENT_POPUP_TITLE","COMBATTIAMO!"
"TID_GOLDRUSH_8","Piane di zaffiro"
"TID_USE_AUTOFIRE_TUTORIAL","TOCCA la <ccc0033>levetta rossa</c> per attaccare il nemico più vicino!"
"TID_BRAWL_BOX_INFO_1","In termini di contenuti, aprire una cassa enorme equivale ad aprire tre casse brawl, con l'unica differenza che i punti energia sono distribuiti a un numero inferiore di brawler.\n\nCi sono tre estrazioni e ogni contenuto appare con le seguenti probabilità:"
"TID_BRAWL_BOX_INFO_2","Le casse brawl contengono un nuovo brawler o punti energia e monete oppure un'abilità stellare. In più puoi anche trovare dei raddoppiagettoni come bonus.\n\nOgni contenuto appare con le seguenti probabilità:"
"TID_BRAWL_BOX_INFO_3","In termini di contenuti, aprire una mega cassa equivale ad aprire dieci casse brawl, con l'unica differenza che i punti energia sono distribuiti a un numero inferiore di brawler.\n\nCi sono dieci estrazioni e ogni contenuto appare con le seguenti probabilità:"
"TID_BRAWL_BOX_INFO_CATEGORIES","\n\n<NUM1>% per <CATEGORY1>\n<NUM2>% per i brawler rari <GAR_HERO_1>\n<NUM3>% per i brawler super rari <GAR_HERO_2>\n<NUM4>% per i brawler epici <GAR_HERO_3>\n<NUM5>% per i brawler mitici <GAR_HERO_4>\n<NUM6>% per i brawler leggendari <GAR_HERO_5>\n<NUM7>% per le abilità stellari <GAR_STAR_POWER>\n<NUM8>% per i gadget <GAR_ACCESSORY>"
"TID_BRAWL_BOX_INFO_FOOTER","\n\nIn più, hai il 9% di trovare gemme e il 3% di ottenere un raddoppiagettoni. Le abilità stellari sono disponibili solo per i brawler che hanno raggiunto il livello 9. Quando hai sbloccato tutti i premi di un certo tipo (per esempio, tutti i brawler rari), le probabilità di ottenere gli altri premi aumentano. Inoltre, al fine di garantire un'esperienza più equilibrata, il gioco usa un sistema basato sulla fortuna che gestisce le probabilità di ricevere i brawler leggendari. Funziona così: ogni volta che non trovi un nuovo brawler, la fortuna aumenta, mentre se ne trovi uno, la fortuna diminuisce a seconda della rarità del personaggio ottenuto. Ciò significa che con valori di fortuna elevati, hai più possibilità di ricevere un brawler leggendario, mentre con valori bassi, le probabilità sono minori. Le prime estrazioni sono prestabilite così da garantire una partenza più equilibrata per tutti i giocatori."
"TID_BRAWL_BOX_INFO_POWER_POINTS_AND_COINS","punti energia e monete"
"TID_BRAWL_BOX_INFO_COINS","le monete"
"TID_BRAWL_BOX_INFO_GUARANTEED_HERO_IN","(ne ottieni uno ogni <DRAWS> estrazioni)"
"TID_BRAWL_BOX_INFO_GUARANTEED_STARPOWER_IN","(ne ottieni una ogni <DRAWS> estrazioni)"
"TID_BRAWL_BOX_INFO_GUARANTEED_ACCESSORY_IN","(ne ottieni uno ogni <DRAWS> estrazioni)"
"TID_POWER_DROP_VALUE","+<VALUE>"
"TID_COLLECT","PRENDI"
"TID_PAGE_FRIENDS_TITLE","AMICI"
"TID_PAGE_FRIENDS_TITLE2","Gioca con gli amici!"
"TID_PAGE_FRIENDS_ADD_FRIENDS","AGGIUNGI AMICI"
"TID_PAGE_FRIENDS_NO_FRIENDS_NO_LOGIN","Connettiti a Facebook per giocare con gli amici o trovane di nuovi in gioco!"
"TID_PAGE_FRIENDS_NO_FRIENDS","Connettiti a Facebook per giocare con gli amici o trovane di nuovi in gioco!"
"TID_FRIENDS_TITLE","Amici: <COUNT>"
"TID_FRIENDS_TAB_1","AMICI"
"TID_FRIENDS_TAB_2","CONSIGLIATI"
"TID_FRIENDS_TAB_3","INVITI"
"TID_TOTAL","TOTALE"
"TID_BRAWL_BOX_INFO_TITLE_2","INFORMAZIONI SULLA CASSA BRAWL"
"TID_BRAWL_BOX_INFO_TITLE_3","INFORMAZIONI SULLA MEGA CASSA"
"TID_OFFER_ALSO_INCLUDES","L'OFFERTA INCLUDE ANCHE"
"TID_OFFER_VALUE_TITLE","VALORE"
"TID_OFFER_VALUE","+<VALUE>%"
"TID_SHOP_OFFER_COUNTDOWN","<TIME>"
"TID_USE_ULTI_TUTORIAL","TRASCINA la <cff9900>levetta gialla</c> per mirare."
"TID_HERO_STATS_TITLE","STATISTICHE BRAWLER"
"TID_GATCHA_SCREEN_ITEMS_REMAINING","OGGETTI RIMASTI:"
"TID_GATCHA_SCREEN_BONUS_ITEMS_REMAINING","BONUS RIMASTI:"
"TID_GATCHA_SCREEN_YOU_GOT","RICEVI:"
"TID_GATCHA_SCREEN_BONUSES","OGGETTI BONUS:"
"TID_GATCHA_SCREEN_SUMMARY_UNLOCKED","SBLOCCATO!"
"TID_HERO_LIST_ITEM_UPGRADE","MIGLIORA"
"TID_SHOP_CLAMIMED","Riscattato"
"TID_SHOP_OFFER_PURCHASE_ERROR_CLAIMED","Oggetto già riscattato"
"TID_ONLINE","ONLINE"
"TID_LEADERBOARD","CLASSIFICA"
"TID_NOT_ENOUGH_TICKETS_INFO","\n\nHai terminato i biglietti!"
"TID_HERO_LIST_NEW","NUOVO"
"TID_HAMMER_DUDE","FRANK"
"TID_HOLD_PHONE_LIKE_THIS","TIENI IL DISPOSITIVO IN MANO COSÌ"
"TID_HINT_FINGER_TAP_TAP","TOCCA QUI!"
"TID_HINT_FINGER_DRAG","TRASCINA PER MIRARE"
"TID_MOVE_HERE","Spostati qui"
"TID_HINT_HEADER","DRITTA"
"TID_HINT_0","TOCCA la <ccc0033>levetta rossa</c> per COLPIRE RAPIDAMENTE il nemico più vicino."
"TID_HINT_1","TOCCA la <cff9900>levetta gialla</c> per COLPIRE RAPIDAMENTE il nemico più vicino con la super."
"TID_HINT_2","TRASCINA la <ccc0033>levetta rossa</c> per MIRARE i colpi."
"TID_HINT_3","TRASCINA la <cff9900>levetta gialla</c> per MIRARE la super."
"TID_HINT_4","Se non vuoi attaccare quando hai già preso la mira, trascina la levetta alla posizione iniziale."
"TID_HINT_5","Il matchmaking si basa sul numero di trofei vinti con il brawler in uso, il che rende più facile ottenere trofei utilizzando brawler sbloccati di recente."
"TID_HINT_6","Trova nuovi brawler per aumentare il numero totale dei trofei più facilmente e ottenere più premi."
"TID_HINT_7","I colpi di Piper provocano più danni se percorrono lunghe distanze."
"TID_HINT_8","La super di Bombardino causa un sacco di danni se usata da vicino, perché le bottiglie coprono un'area più ristretta."
"TID_HINT_9","I proiettili di Stecca percorrono maggiori distanze quando rimbalzano."
"TID_HINT_10","La <ccc0033>levetta rossa</c> è attivabile in qualsiasi punto del lato destro dello schermo."
"TID_HINT_11","Che tu stia usando un attacco base o una super, TOCCA la levetta corrispondente per un COLPO RAPIDO e TRASCINALA per MIRARE."
"TID_HINT_12","Prendere la mira è ideale, se il bersaglio è in movimento."
"TID_HINT_13","Il COLPO RAPIDO è perfetto in situazioni in cui serve più reattività e non hai tempo per mirare."
"TID_HINT_14","Il COLPO RAPIDO funziona alla grande coi nemici vicini."
"TID_HINT_15","Se ti nascondi in un cespuglio, ricordati che i nemici possono vederti, se si avvicinano abbastanza."
"TID_HINT_16","Il COLPO RAPIDO bersaglia il nemico più vicino, ma non tiene in considerazione il suo movimento."
"TID_HINT_17","Usare i colpi mirati è consigliabile, se vuoi scovare i nemici nascosti nei cespugli."
"TID_HINT_18","Il COLPO RAPIDO funziona alla grande coi nemici immobili."
"TID_HINT_19","Il COLPO RAPIDO funziona alla grande coi nemici che si muovono direttamente verso di te o provano a sfuggirti."
"TID_HINT_20","Se attacchi o ricevi danni mentre sei in un cespuglio, i nemici ti possono vedere."
"TID_HINT_21","Usa i cespugli per nasconderti."
"TID_HINT_22","Col COLPO RAPIDO sferri un attacco anche se non ci sono nemici nei paraggi."
"TID_VS_TUTORIAL","Prendi tutte le <ce662f9>GEMME</c>!"
"TID_USE_MANUAL_FIRE_TUTORIAL","TRASCINA la <ccc0033>levetta rossa</c> per mirare."
"TID_TUTORIAL_GOOD_JOB_2","Bel lavoro! Gli <cff6633>INDICATORI ARANCIONI</c> mostrano le munizioni. Sarò un lampo a ricaricare, non temere!"
"TID_TUTORIAL_GOOD_JOB_3","Grande! Quando colpisci i nemici, l'indicatore della <cff9900>SUPER</c> si ricarica!"
"TID_TUTORIAL_GOOD_JOB_4","Bel lavoro!"
"TID_SPECTATE_PLAYER_BUTTON","Osserva"
"TID_SPECTATE_FAILED","Osservazione fallita"
"TID_ACCOUNT_DISABLED_TEXT","Account disattivato"
"TID_ACCOUNT_DELETED_ON_REQUEST_TEXT","Questo account è stato disattivato in seguito a una richiesta e non può essere più recuperato."
"TID_ACCOUNT_DELETED_DUE_INACTIVITY_TEXT","Questo account è stato disattivato per inattività e non può essere più recuperato."
"TID_ACCOUNT_DELETION_WARNING_TITLE","Avviso eliminazione account"
"TID_ACCOUNT_DELETION_WARNING_TEXT","In seguito alla tua richiesta, l'account sarà disattivato a breve. Se vuoi annullare l'operazione, contatta l'assistenza il prima possibile."
"TID_ACCOUNT_DELETION_WARNING_TEXT_PAST","In seguito alla tua richiesta, l'account sarà disattivato a breve. Se vuoi annullare l'operazione, contatta l'assistenza il prima possibile."
"TID_CLAN_JOIN_FAILED_ALREADY_IN_THIS_CLAN","Sei già in questo club!"
"TID_CONFIRM_CHANGE_CLAN_TITLE","Vuoi cambiare club?"
"TID_CONFIRM_CHANGE_CLAN","Fai già parte di un club! Vuoi davvero cambiarlo?"
"TID_CONFIRM_CLAN_FULL_TITLE","Club pieno!"
"TID_CONFIRM_CLAN_FULL","Impossibile entrare in <clan>. Il club è al completo!"
"TID_BUTTON_CHANGE","Cambia"
"TID_CLAN_JOIN_FAILED_IN_TUTORIAL","Completa il tutorial per entrare in un club"
"TID_CLAN_INTRO_INVITE","CONDIVIDI INVITO"
"TID_INVITE_CLAN_TOKEN_ERROR","Errore creazione invito"
"TID_ALLIANCE_INVITE_FAILED_NO_RIGHTS","Solo i presidenti dei club possono invitare nuovi soci"
"TID_FRIENDS_FACEBOOK_CONNECT","Connetti"
"TID_FRIENDS_PAGE_INVITE","CONDIVIDI INVITO"
"TID_SHARE_GAME_ROOM_POST_MESSAGE","Tocca questo link per far parte di un club assieme a <name> in Brawl Stars!"
"TID_SHARE_GAME_ROOM_POST_TITLE","Invita nella squadra"
"TID_ROOM_CODE_COPIED_TO_CLIPBOARD","ID della squadra memorizzato"
"TID_ROOM_CODE_COPIED_TO_CLIPBOARD_CONFIRM","OK"
"TID_TEAM_INVITE_BUTTON_LABEL","CONDIVIDI CODICE"
"TID_TEAM_INVITE_EXPIRED","L'invito di <NAME> è scaduto"
"TID_TEAM_INVITATION_POPUP_TITLE","INVITO ALLA SQUADRA"
"TID_TEAM_INVITATION_POPUP_ACCEPT","ACCETTA"
"TID_TEAM_INVITATION_POPUP_REJECT","RIFIUTA"
"TID_TEAM_INVITATION_POPUP_MUTE","ZITTISCI <NAME>\nPER I PROSSIMI 10 MINUTI"
"TID_TEAM_INVITATION_POPUP_SYSTEM_INVITE","INCONTRO DEL TORNEO"
"TID_TEAM_INVITATION_POPUP_MUTE_SYSTEM","ZITTISCI\nPER I PROSSIMI 10 MINUTI"
"TID_BATTLE_ROYALE_5","Laghi acidi"
"TID_DAILY_COINS_COLLECTED_END_SCREEN","Gettoni dalle battaglie\nesauriti"
"TID_SHOP_REAL_MONEY_PURCHASES_DISABLED_SPECIAL_BUILD","Gli acquisti con valuta reale non sono stati attivati in questa versione"
"TID_SHOP_CHINA_WARNING","Gioca responsabile"
"TID_GATCHA_AD_STATUS_VIEW","GUARDA L'ANNUNCIO\nE RADDOPPIA UN PREMIO!"
"TID_GATCHA_AD_STATUS_VIEW_CHOISELESS","OTTIENI ALTRI PREMI!"
"TID_GATCHA_AD_STATUS_OUT_OF_VIEWS","Visualizzazioni giornaliere esaurite"
"TID_GATCHA_AD_STATUS_NO_VIDEO","Nessun video disponibile"
"TID_GATCHA_AD_CONTINUE_BUTTON_TITLE","CONTINUA"
"TID_AD_DOUBLER_TITLE","SCEGLI IL PREMIO DA RADDOPPIARE"
"TID_AD_DOUBLER_CONTINUE","CONTINUA"
"TID_GATCHA_CONTINUE","PROCEDI"
"TID_HINT_23","Alcuni brawler se la cavano meglio di altri in alcuni eventi e mappe."
"TID_HINT_24","I brawler che attaccano dalla lunga distanza sono ideali in mappe con spazi aperti."
"TID_HINT_25","I brawler con attacchi a corto raggio sono i migliori nelle mappe con ostacoli e cespugli."
"TID_SPEC_ABI_SELF_DESTRUCT","Vendetta esplosiva"
"TID_SPEC_ABI_SELF_DESTRUCT_DESC","Quando il mortaio di Penny è distrutto, spara <VALUE2> bombe che colpiscono i brawler nelle vicinanze e provocano <c00cc00><VALUE1></c> punti danno ognuna."
"TID_EVENT_LIST_BRAWL","GIOCA"
"TID_INVITE_COPIED_TO_CLIPBOARD","Link di invito memorizzato"
"TID_INVITE_COPIED_TO_CLIPBOARD_CONFIRM","OK"
"TID_FRIEND_INVITE_POST_MESSAGE","Tocca questo link per aggiungere <friend> tra gli amici in Brawl Stars!"
"TID_FRIEND_INVITE_POST_TITLE","Invita un amico!"
"TID_ALLIANCE_JOIN_POST_MESSAGE","Tocca questo link per far parte del mio club in Brawl Stars!"
"TID_ALLIANCE_JOIN_POST_TITLE","Invita un amico a unirsi al club!"
"TID_HOMESCREEN_MODE_LOCKED","Ottieni un totale di <COUNT> trofei per combattere qui!"
"TID_GAMEROOMS_PLAYERS_ONLINE","AMICI ONLINE: <count>"
"TID_ARTILLERY_DUDE_SHORT_DESC","TIRATRICE"
"TID_HAMMER_DUDE_SHORT_DESC","TANK"
"TID_HAMMER_DUDE_DESC","Frank ama colpire il suolo col suo martello gigante e provocare onde sismiche. Con la super ci mette così tanto impegno che le vittime rimangono paralizzate."
"TID_HAMMER_DUDE_WEAPON","MARTELLATA"
"TID_HAMMER_DUDE_WEAPON_DESC","Sarà anche un po' lento a sferrare il colpo, ma Frank ci mette così tanta forza da causare un terremoto."
"TID_HAMMER_DUDE_ULTI","PARALISI SISMICA"
"TID_HAMMER_DUDE_ULTI_DESC","La madre di tutte le martellate: l'onda sismica sbriciola ogni ostacolo e lascia i nemici paralizzati per qualche secondo."
"TID_SPEC_ABI_STEAL_SOULS2","Furto energetico"
"TID_SPEC_ABI_STEAL_SOULS2_DESC","Frank ruba la forza dei brawler che elimina, aumentando i propri danni del <c00cc00><VALUE1>%</c> per <VALUE2> secondi!"
"TID_ONLINE_FRIENDS_TITLE","GIOCATORI ONLINE"
"TID_BATTLE_ROYALE_TEAM_INTRO_TEXT","Siate l'ultima squadra a sopravvivere!"
"TID_VS_TEAM_SHOWDOWN","Ogni squadra per sé!"
"TID_FIRST_WIN","GETTONE STELLA"
"TID_BATTLE_END_TEAM_DEATHMATCH_VICTORY","La tua squadra ha vinto!"
"TID_HOMESCREEN_MODE_LOCKED_INFO","Si sblocca con altri <count> trofei"
"TID_HOMESCREEN_LEAGUE_BUTTON_TITLE","IL CAMMINO DEI TROFEI"
"TID_HOMESCREEN_LEAGUE_BUTTON_COLLECT","PRENDI"
"TID_STAR_POWER_INFO","Abilità stellare: <cde9700><NAME></c>\n<DESC>"
"TID_STAR_POWERS_TITLE","ABILITÀ STELLARI"
"TID_ACCESSORIES_TITLE","GADGET"
"TID_ACCESSORY_TITLE","GADGET"
"TID_ACCESSORIES_INFO","Gadget: <cde9700><NAME></c>\n<DESC>"
"TID_STAR_POWER_STATUS_1_1","<c00ff00>SELEZIONATA</c>"
"TID_STAR_POWER_STATUS_0_0","Non possiedi questa abilità stellare."
"TID_ACESSORIES_STATUS_0_0","Non possiedi questo gadget."
"TID_STAR_POWERS_PICK","SCEGLI"
"TID_LEAGUE_NAME_0","LEGNO"
"TID_LEAGUE_NAME_1","BRONZO"
"TID_LEAGUE_NAME_2","ARGENTO"
"TID_LEAGUE_NAME_3","ORO"
"TID_LEAGUE_NAME_4","DIAMANTE"
"TID_LEAGUE_NAME_5","CAMPIONI"
"TID_LEAGUE_NAME_6","ÉLITE"
"TID_LEAGUE_NAME_7","ALL-STAR"
"TID_SPECIAL_EVENTS","EVENTO DEL GIORNO"
"TID_SPECIAL_EVENT","Evento speciale:"
"TID_SPECIAL_EVENT_DESC","Torna ogni giorno per giocare a un nuovo evento!"
"TID_SPECIAL_EVENTS_MOD","EVENTO SPECIALE"
"TID_SPECIAL_EVENT_MOD_DESC","Controlla ogni giorno la presenza di eventi speciali!"
"TID_PLAYING_AGAIN","Rigiocano: <c11ee11><NUMBER>/<NUMBER2></c>"
"TID_PLAYING_AGAIN_NO_PLAYERS","Gioca ancora"
"TID_BRAWL_BOX_INFO_TITLE_1","INFORMAZIONI SULLA CASSA ENORME"
"TID_GATCHA_ERROR_NOT_ENOUGH_WINS","Raccogli 10 gettoni stella per ricevere una cassa enorme!"
"TID_KEY_BAR_INFO","Indica la quantità di <c33a5d7>gettoni</c> che puoi vincere in battaglia.\n\nI gettoni servono ad aprire le casse brawl."
"TID_KEY_BAR_INFO_DOUBLE_TOKEN_EVENT","EVENTO DOPPI GETTONI\nGuadagna il doppio dei <c33a5d7>gettoni</c> dalle battaglie normali.\n\nI gettoni servono ad aprire le casse brawl."
"TID_KEY_BAR_INFO_COIN_SHOWER_EVENT","EVENTO PIOGGIA DI MONETE\nGuadagna <cff8E1b>monete</c> dalle battaglie!\n\nPer ogni gettone vinto da una normale battaglia (inclusi quelli ottenuti dai raddoppiagettoni) riceverai una moneta bonus.\n\nUsa le monete per migliorare i brawler."
"TID_NEW_ONLINE_FRIEND","GIOCATORE ONLINE"
"TID_NEW_GAME_ROOM","NUOVA SQUADRA"
"TID_KEY_BAR_TITLE","GETTONI OTTENIBILI DALLA BATTAGLIA"
"TID_PLAYAGAIN_QUIT","ESCI"
"TID_BATTLE_END_WAITING","In attesa degli altri"
"TID_ERROR_REPLAY_WAITING","Replay in sospeso"
"TID_ERROR_REPLAY_NOT_POSSIBLE","Replay non disponibile"
"TID_ERROR_SPECTATE_WAITING","Richiesta osservazione in sospeso"
"TID_ERROR_SPECTATE_NOT_POSSIBLE","Il giocatore non sta combattendo"
"TID_BRAWL_TV_STARTING","Caricamento di Brawl TV..."
"TID_ERROR_BRAWL_TV_WAITING","Accesso a Brawl TV in corso"
"TID_BRAWL_TV_QUIT","Brawl TV n. <NUM>"
"TID_ERROR_BRAWL_TV_TUNE_FAILED","Brawl TV n. <NUM> - non trovato. Ricerca alternativa in corso."
"TID_BRAWL_TV_BATTLE_END_RETURN_HOME","Prossimo tra <NUM>s"
"TID_BRAWL_TV_BATTLE_END_RETURN_HOME_SOON","Ripr. automatica"
"TID_BRAWL_TV_OFF_RETURN_HOME","Indietro"
"TID_FIRST_WIN_INFO_SURVIVAL","Classificati tra i primi quattro per la prima volta e ricevi un <cff8E1b>gettone stella</c>."
"TID_TEAM_POPOVER_YOUR_ROOM","La tua squadra"
"TID_ERROR_SPECTATE_NOT_POSSIBLE_TEAM","La squadra non sta combattendo"
"TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_THIS_TEAM","Impossibile entrare. Sei già in questa squadra."
"TID_TEAM_AD_JOIN_FAIL_FULL","Impossibile entrare. La squadra è piena."
"TID_HOMESCREEN_NOT_ENOUGH_TICKETS","Impossibile iniziare la partita. I biglietti non bastano."
"TID_HOMESCREEN_TEAMS_NOT_SUPPORTED","Questo evento non prevede la presenza di squadre."
"TID_GAME_MODE_UNLOCKED","SBLOCCATO!"
"TID_ERROR_SPECTATE_DISABLED","Impossibile osservare le altre partite per motivi tecnici."
"TID_SPECTATE_FOLLOW","Tocca per osservare:"
"TID_SPECTATE_FOLLOWING","Visuale su"
"TID_FIRST_WIN_INFO_TICKETED_EVENT","Ricevi un <cff8E1b>gettone stella</c> dalla tua prima battaglia."
"TID_FIRST_WIN_INFO_TEAM_SURVIVAL","Classificati tra i primi due per la prima volta e ricevi un <cff8E1b>gettone stella</c>."
"TID_FIRST_WIN_INFO_SURVIVAL_COMBINED","Gioca contro gli altri giocatori e ricevi il <cff8E1b>gettone stella</c> piazzandoti tra i primi quattro in singolo o tra i primi due in coppia."
"TID_CONNECTING_WAIT_FOR_SPECTATE","In attesa di osservare..."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS","GUARDA L'ANNUNCIO\nE RADDOPPIA UN PREMIO! Oggi hai altre\n<VIEWCOUNTREM> visualizzazioni."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW","GUARDA L'ANNUNCIO\nE RADDOPPIA UN PREMIO!\nOggi hai ancora <VIEWCOUNTREM> visualizzazione."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS_CHOISELESS","RICEVI ALTRI PREMI!\nOggi hai altre <VIEWCOUNTREM> visualizzazioni disponibili."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW_CHOISELESS","RICEVI ALTRI PREMI!\nOggi hai ancora <VIEWCOUNTREM> visualizzazione disponibili."
"TID_CANNON_DAMAGE","Danni mortaio"
"TID_CANNON_HEALTH","Salute mortaio"
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_OTHER","Il giocatore ha troppe richieste di amicizia in sospeso. Riprova più tardi."
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_YOU","Hai spedito troppe richieste di amicizia. Rimuovine una e riprova."
"TID_ADD_FRIEND_ERROR_GENERIC","Impossibile inviare la richiesta di amicizia. Riprova più tardi."
"TID_ADD_FRIEND_ERROR_DOES_NOT_EXIST","Il giocatore che hai cercato di aggiungere non esiste."
"TID_ADD_FRIEND_ERROR_OWN_AVATAR","Non puoi chiedere l'amicizia a te stesso."
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_OTHER","Il tuo amico ha troppi amici. Riprova più tardi."
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_YOU","Hai troppi amici. Rimuovine uno se ne vuoi aggiungere di nuovi."
"TID_HINT_26","Penny può causare un sacco di danni aggiuntivi con le monete, se i nemici sono allineati."
"TID_HINT_27","Creare una squadra ti consente di pianificare la partita e scegliere il gruppo di brawler ideale."
"TID_HINT_28","Gioca alle partite amichevoli per far pratica negli eventi, giocare con gli amici e tanto altro ancora."
"TID_HINT_29","Se hai fatto una bella partita in squadra con altri giocatori, puoi continuare a giocare con loro toccando il pulsante \qGIOCA ANCORA\q."
"TID_HINT_30","Nelle amichevoli, puoi scegliere qualsiasi mappa ed evento e giocare con brawler potenziati al massimo!"
"TID_HINT_31","Prima di qualsiasi attacco, Frank si ferma per un istante, dando così agli avversari la possibilità di allontanarsi."
"TID_EXPERIENCE","ESPERIENZA"
"TID_HINT_32","Gli eventi accessibili coi biglietti non svuotano l'indicatore dei gettoni, ma richiedono biglietti per essere giocati."
"TID_HINT_33","Puoi mandare una richiesta di amicizia ai soci del club dalla lista dei soci."
"TID_HINT_34","Puoi mandare una richiesta di amicizia ai membri della squadra."
"TID_HINT_35","Se hai giocato delle belle partite con altri giocatori, questi compariranno tra le amicizie consigliate."
"TID_HINT_36","Puoi mandare una richiesta di amicizia ai membri della squadra."
"TID_HINT_37","Usa il tasto \qPUBBLICIZZA\q per far sapere agli amici e ai soci del club che hai creato una squadra."
"TID_COOP_GENERATED","Arena roboante"
"TID_MECHANIC_KNIGHT_SKIN","JESSIE DRAGHIERA"
"TID_FRANK_CAVEMAN_SKIN","FRANK CAVERNICOLO"
"TID_SOLO","SINGOLO"
"TID_DUO","IN DUE"
"TID_INVITE_FRIEND_TOKEN_ERROR_FRIENDS_FULL","La lista degli amici è al completo."
"TID_INVITE_FRIEND_TOKEN_ERROR_TOO_MANY","Troppi inviti attivi. Riprova più tardi."
"TID_INVITE_FRIEND_TOKEN_ERROR","Errore durante l'invio di inviti agli amici."
"TID_GOLDRUSH_9","Pozza oscura"
"TID_TEAM_JOIN_FINISH_TUTORIAL","Completa il tutorial per entrare in una squadra"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_TITLE","Accesso non riuscito"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED","La beta di Brawl Stars non è ancora disponibile nel tuo Paese. Controlla in futuro!"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_BUTTON","OK"
"TID_CROW_PHEONIX_SKIN","CORVO FENICE"
"TID_MECHANIC_SUMMER_SKIN","JESSIE ESTIVA"
"TID_HERO_SCREEN_DIM_COLOR_MUL","222222"
"TID_GUNSLINGER_ROCKSTAR_SKIN_SHOP","COLT\nROCKSTAR"
"TID_ROCKET_BEACH_SKIN_SHOP","BROCK\nVACANZIERO"
"TID_CACTUS_PINK_SKIN_SHOP_OLD","SPIKE\nROSA"
"TID_SHAMAN_PANDA_SKIN_SHOP","NITA\nPANDA"
"TID_CROW_WHITE_SKIN_SHOP","CORVO\nBIANCO"
"TID_BULL_HAIR_SKIN_SHOP","BULL\nVICHINGO"
"TID_TRICKSHOT_GOLD_SKIN_SHOP_OLD","STECCA\nD'ORO"
"TID_BARKEEP_GOLD_SKIN_SHOP","BOMBARDINO\nD'ORO"
"TID_LUCHADOR_RUDO_SKIN_SHOP","EL PRIMO\nOSCURO"
"TID_SHOTGUN_BANDITA_SKIN_SHOP","SHELLY\nBANDITA"
"TID_LUCHADOR_KING_SKIN_SHOP","EL PRIMO\nREGALE"
"TID_MECHANIC_KNIGHT_SKIN_SHOP","JESSIE\nDRAGHIERA"
