"TID","FI"
"TID_HINT_9","Ricon luodit lentävät pidemmälle jokaisella ponnahduksella."
"TID_HINT_10","Voit aktivoida <ccc0033>punaisen ohjaimen</c> missä tahansa kohtaa näytön oikeaa reunaa, kun haluat ampua."
"TID_HINT_11","Hyökkäyksellä ja superilla on kaksi ampumistapaa: pikatulitus napauttamalla ja tähtäys vetämällä."
"TID_HINT_12","Laukausten tähtääminen sopii hyvin ennakon ottamiseen liikkuvaa kohdetta ammuttaessa."
"TID_HINT_13","Pikatulitusta on kätevä käyttää tilanteissa, joissa sinulla ei ole aikaa tähdätä."
"TID_HINT_14","Pikatulitus tehoaa hyvin lähellä oleviin vastustajiin."
"TID_HINT_15","Kun olet piilossa pensaassa, tarpeeksi lähelle tuleva vastustaja voi huomata sinut."
"TID_HINT_16","Pikatulitus ampuu suoraan kohti lähintä vastustajaa, mutta ei ota huomioon vastustajan liikkeitä."
"TID_HINT_17","Laukausten tähtääminen pensaaseen on hyvä tapa tarkistaa, onko siellä vastustajia."
"TID_HINT_18","Pikatulitus tehoaa hyvin paikallaan pysyviin vastustajiin."
"TID_HINT_19","Pikatulitus tehoaa hyvin vastustajiin, jotka kulkevat suoraan sinua kohti tai sinusta pois päin."
"TID_HINT_20","Kun olet pensaassa, vastustaja voi nähdä sinut, jos hyökkäät tai vahingoitut."
"TID_HINT_21","Voit käyttää pensaita vastustajalta piiloutumiseen."
"TID_HINT_22","Kun käytät pikatulitusta, aseesi ampuu, vaikka sen kantamalla ei olisi vastustajia."
"TID_VS_TUTORIAL","Kerää kaikki <ce662f9>jalokivet</c>."
"TID_USE_MANUAL_FIRE_TUTORIAL","Tähtää vetämällä <ccc0033>punaista ohjainta</c>!"
"TID_TUTORIAL_GOOD_JOB_2","Hyvin menee! <cff6633>Oranssi palkki</c> näyttää ammuksesi. Lataan niin nopeasti, kuin pystyn!"
"TID_TUTORIAL_GOOD_JOB_3","Loistavaa! Hyökkääminen lataa <cff9900>supervoimasi</c>!"
"TID_TUTORIAL_GOOD_JOB_4","Hienosti toimittu!"
"TID_SPECTATE_PLAYER_BUTTON","Katsele"
"TID_SPECTATE_FAILED","Katselu epäonnistui."
"TID_ACCOUNT_DISABLED_TEXT","Tili poistettu käytöstä"
"TID_ACCOUNT_DELETED_ON_REQUEST_TEXT","Tämä tili on poistettu käytöstä poistopyynnön vuoksi, eikä sitä voida enää palauttaa."
"TID_ACCOUNT_DELETED_DUE_INACTIVITY_TEXT","Tämä tili on poistettu käytöstä epäaktiivisuuden vuoksi, eikä sitä voida enää palauttaa."
"TID_ACCOUNT_DELETION_WARNING_TITLE","Tilin poistovaroitus"
"TID_ACCOUNT_DELETION_WARNING_TEXT","Vastaanotimme pyyntösi ja tilisi poistetaan pian. Jos olet muuttanut mieltäsi ja haluatkin peruuttaa pyynnön, ota meihin yhteyttä niin pian kuin mahdollista Ohje ja tuki -valikon kautta."
"TID_ACCOUNT_DELETION_WARNING_TEXT_PAST","Vastaanotimme pyyntösi ja tilisi poistetaan pian. Jos olet muuttanut mieltäsi ja haluatkin peruuttaa pyynnön, ota meihin yhteyttä niin pian kuin mahdollista Ohje ja tuki -valikon kautta."
"TID_CLAN_JOIN_FAILED_ALREADY_IN_THIS_CLAN","Olet jo tämän jengin jäsen!"
"TID_CONFIRM_CHANGE_CLAN_TITLE","Haluatko vaihtaa jengiä?"
"TID_CONFIRM_CHANGE_CLAN","Olet jo jengissä. Haluatko varmasti vaihtaa jengiä?"
"TID_CONFIRM_CLAN_FULL_TITLE","Jengi on täynnä!"
"TID_CONFIRM_CLAN_FULL","Liittyminen jengiin <clan> epäonnistui. Jengi on täynnä!"
"TID_BUTTON_CHANGE","Muuta"
"TID_CLAN_JOIN_FAILED_IN_TUTORIAL","Suorita opastus loppuun, niin voit liittyä jengiin."
"TID_CLAN_INTRO_INVITE","JAA KUTSU"
"TID_INVITE_CLAN_TOKEN_ERROR","Kutsun luomisessa tapahtui virhe."
"TID_ALLIANCE_INVITE_FAILED_NO_RIGHTS","Vain jengin puheenjohtajat voivat kutsua uusia jäseniä."
"TID_FRIENDS_FACEBOOK_CONNECT","Yhdistä"
"TID_FRIENDS_PAGE_INVITE","JAA KUTSU"
"TID_SHARE_GAME_ROOM_POST_MESSAGE","Liity Brawl Stars -joukkueeseen pelaajan <name> kanssa napauttamalla tätä linkkiä!"
"TID_SHARE_GAME_ROOM_POST_TITLE","Kutsu joukkueeseen"
"TID_ROOM_CODE_COPIED_TO_CLIPBOARD","Joukkuetunnus kopioitu leikepöydälle."
"TID_ROOM_CODE_COPIED_TO_CLIPBOARD_CONFIRM","OK"
"TID_TEAM_INVITE_BUTTON_LABEL","JAA KOODI"
"TID_TEAM_INVITE_EXPIRED","Kutsu pelaajalta <NAME> on vanhentunut."
"TID_TEAM_INVITATION_POPUP_TITLE","JOUKKUEKUTSU"
"TID_TEAM_INVITATION_POPUP_ACCEPT","HYVÄKSY"
"TID_TEAM_INVITATION_POPUP_REJECT","HYLKÄÄ"
"TID_TEAM_INVITATION_POPUP_MUTE","MYKISTÄ <NAME>\nSEURAAVAN 10 MINUUTIN AJAKSI"
"TID_TEAM_INVITATION_POPUP_SYSTEM_INVITE","TURNAUSOTTELU"
"TID_TEAM_INVITATION_POPUP_MUTE_SYSTEM","MYKISTÄ\n10 MINUUTIN AJAKSI"
"TID_BATTLE_ROYALE_5","Happojärvet"
"TID_DAILY_COINS_COLLECTED_END_SCREEN","Ottelupoletteja\nei ole jäljellä."
"TID_SHOP_REAL_MONEY_PURCHASES_DISABLED_SPECIAL_BUILD","Ostaminen oikealla valuutalla ei ole mahdollista tässä peliversiossa."
"TID_SHOP_CHINA_WARNING","Varoitus: nauti kohtuudella."
"TID_GATCHA_AD_STATUS_VIEW","TUPLAA PALKINTO\nKATSOMALLA MAINOS!"
"TID_GATCHA_AD_STATUS_VIEW_CHOISELESS","HANKI LISÄÄ PALKINTOJA!"
"TID_GATCHA_AD_STATUS_OUT_OF_VIEWS","Päivittäisiä katselukertoja käytetty"
"TID_GATCHA_AD_STATUS_NO_VIDEO","Ei videota saatavilla"
"TID_GATCHA_AD_CONTINUE_BUTTON_TITLE","JATKA"
"TID_AD_DOUBLER_TITLE","VALITSE TUPLATTAVA PALKINTO"
"TID_AD_DOUBLER_CONTINUE","JATKA"
"TID_GATCHA_CONTINUE","JATKA"
"TID_HINT_23","Jotkin rämäpäät ovat toisia parempia tietyissä kartoissa ja tapahtumissa."
"TID_HINT_24","Pitkän kantaman rämäpäät ovat yleensä parempia avoimissa kartoissa."
"TID_HINT_25","Lyhyen kantaman rämäpäät ovat yleensä parempia kartoissa, joissa on enemmän suoja- ja piilopaikkoja."
"TID_SPEC_ABI_SELF_DESTRUCT","Viimeinen pamaus"
"TID_SPEC_ABI_SELF_DESTRUCT_DESC","Kun Pennyn tykki tuhotaan, se ampuu vielä viimeisen <VALUE2> pommin sarjan kohti lähimpiä vastustajia. Jokainen pommi tekee <c00cc00><VALUE1></c> pistettä tuhoa."
"TID_EVENT_LIST_BRAWL","PELAA"
"TID_INVITE_COPIED_TO_CLIPBOARD","Kutsulinkki kopioitu leikepöydälle!"
"TID_INVITE_COPIED_TO_CLIPBOARD_CONFIRM","OK"
"TID_FRIEND_INVITE_POST_MESSAGE","Lisää <friend> kaveriksesi Brawl Starsissa napauttamalla tätä linkkiä!"
"TID_FRIEND_INVITE_POST_TITLE","Kutsu kaveri!"
"TID_ALLIANCE_JOIN_POST_MESSAGE","Liity Brawl Stars -jengiini napauttamalla tätä linkkiä!"
"TID_ALLIANCE_JOIN_POST_TITLE","Kutsu kaveri jengiisi!"
"TID_HOMESCREEN_MODE_LOCKED","Kerää <COUNT> pokaalia, niin voit otella täällä!"
"TID_GAMEROOMS_PLAYERS_ONLINE","<count> KAVERIA PAIKALLA"
"TID_ARTILLERY_DUDE_SHORT_DESC","TARKKA-AMPUJA"
"TID_HAMMER_DUDE_SHORT_DESC","RASKASSARJALAINEN"
"TID_HAMMER_DUDE_DESC","Frank mojauttaa vastustajaansa moukarilla aiheuttaen paineaallon. Hänen superinsa on erityisen jykevä moukarinhumaus, joka lamaannuttaa vastustajia."
"TID_HAMMER_DUDE_WEAPON","MOUKARIN MOJAUS"
"TID_HAMMER_DUDE_WEAPON_DESC","Frankin vasaraniskun lataaminen vie tovin, mutta vaikutus on niin raju, että se aiheuttaa paineaallon."
"TID_HAMMER_DUDE_ULTI","TYRMÄÄVÄ TÖMÄYS"
"TID_HAMMER_DUDE_ULTI_DESC","Frankin mahtavin lyönti aiheuttaa paineaallon, joka tuhoaa ympäristöä ja tuuperruttaa vastustajat hetkeksi."
"TID_SPEC_ABI_STEAL_SOULS2","Voimakaappaus"
"TID_SPEC_ABI_STEAL_SOULS2_DESC","Frank varastaa tyrmäämältään rämäpäältä voimaa, ja näin hänen tuhovoimansa kasvaa <c00cc00><VALUE1> %</c> <VALUE2> sekunnin ajaksi."
"TID_ONLINE_FRIENDS_TITLE","PAIKALLAOLEVAT PELAAJAT"
"TID_BATTLE_ROYALE_TEAM_INTRO_TEXT","Olkaa viimeinen hengissä oleva joukkue!"
"TID_VS_TEAM_SHOWDOWN","Kaikki joukkueet toisiaan vastaan!"
"TID_FIRST_WIN","TÄHTIPOLETTI"
"TID_BATTLE_END_TEAM_DEATHMATCH_VICTORY","Joukkueesi on ykkönen!"
"TID_HOMESCREEN_MODE_LOCKED_INFO","Avautuu <count> pokaalin kohdalla."
"TID_HOMESCREEN_LEAGUE_BUTTON_TITLE","POKAALIPOLKU"
"TID_HOMESCREEN_LEAGUE_BUTTON_COLLECT","KERÄÄ"
"TID_STAR_POWER_INFO","Tähtivoima:\n<cde9700><NAME></c>\n<DESC>"
"TID_STAR_POWERS_TITLE","TÄHTIVOIMAT"
"TID_ACCESSORIES_TITLE","VARUSTEET"
"TID_ACCESSORY_TITLE","VARUSTE"
"TID_ACCESSORIES_INFO","Varuste: <cde9700><NAME></c>\n<DESC>"
"TID_STAR_POWER_STATUS_1_1","<c00ff00>VALITTU</c>"
"TID_STAR_POWER_STATUS_0_0","Sinulla ei ole tätä tähtivoimaa."
"TID_ACESSORIES_STATUS_0_0","Sinulla ei ole tätä varustetta!"
"TID_STAR_POWERS_PICK","VALITSE"
"TID_LEAGUE_NAME_0","PUU"
"TID_LEAGUE_NAME_1","PRONSSI"
"TID_LEAGUE_NAME_2","HOPEA"
"TID_LEAGUE_NAME_3","KULTA"
"TID_LEAGUE_NAME_4","TIMANTTI"
"TID_LEAGUE_NAME_5","TAITURI"
"TID_LEAGUE_NAME_6","ELIITTI"
"TID_LEAGUE_NAME_7","TÄHTIPELAAJAT"
"TID_SPECIAL_EVENTS","PÄIVITTÄINEN TAPAHTUMA"
"TID_SPECIAL_EVENT","Erikoistapahtuma:"
"TID_SPECIAL_EVENT_DESC","Palaa joka päivä pelaamaan päivittäistä tapahtumaa!"
"TID_SPECIAL_EVENTS_MOD","ERIKOISTAPAHTUMA"
"TID_SPECIAL_EVENT_MOD_DESC","Kurkkaa säännöllisesti päivän erikoistapahtumat!"
"TID_PLAYING_AGAIN","Pelaa uudelleen <c11ee11><NUMBER>/<NUMBER2></c>"
"TID_PLAYING_AGAIN_NO_PLAYERS","Pelaa uudelleen"
"TID_BRAWL_BOX_INFO_TITLE_1","ISON LIPPAAN TIEDOT"
"TID_GATCHA_ERROR_NOT_ENOUGH_WINS","Kerää 10 tähtipolettia, niin saat ison lippaan!"
"TID_KEY_BAR_INFO","<c33a5d7>Polettien</c> määrä, jonka voit ansaita otteluista.\n\nPoleteilla voi avata rähinälippaita."
"TID_KEY_BAR_INFO_DOUBLE_TOKEN_EVENT","TUPLAPOLETTITAPAHTUMA\nAnsaitse tuplasti <c33a5d7>poletteja</c> tavallisista otteluista.\n\nPoleteilla voi avata rähinälippaita."
"TID_KEY_BAR_INFO_COIN_SHOWER_EVENT","KOLIKKOKUUROTAPAHTUMA\nAnsaitse <cff8E1b>kolikoita</c> otteluista!\n\nJokaisen tavallisesta ottelusta saadun poletin mukana tulee bonuskolikko. Tämä sisältää myös poletintuplaajista saadut poletit!\n\nKolikoita käytetään rämäpäiden päivittämiseen."
"TID_NEW_ONLINE_FRIEND","PELAAJA PAIKALLA"
"TID_NEW_GAME_ROOM","UUSI JOUKKUE"
"TID_KEY_BAR_TITLE","OTTELUSTA SAATAVILLA OLEVAT POLETIT"
"TID_PLAYAGAIN_QUIT","POISTU"
"TID_BATTLE_END_WAITING","Odotetaan muita pelaajia"
"TID_ERROR_REPLAY_WAITING","Uusinta on jo odottamassa."
"TID_ERROR_REPLAY_NOT_POSSIBLE","Uusinta ei ole vielä saatavilla."
"TID_ERROR_SPECTATE_WAITING","Katselupyyntö on jo odottamassa."
"TID_ERROR_SPECTATE_NOT_POSSIBLE","Pelaaja ei ottele tällä hetkellä."
"TID_BRAWL_TV_STARTING","Vai Brawl TV latautuu..."
"TID_ERROR_BRAWL_TV_WAITING","Brawl TV on jo odottamassa."
"TID_BRAWL_TV_QUIT","Brawl TV #<NUM>"
"TID_ERROR_BRAWL_TV_TUNE_FAILED","Ei mitään Braw TV:ssä #<NUM>, selataan..."
"TID_BRAWL_TV_BATTLE_END_RETURN_HOME","Seuraava ajassa <NUM> s"
"TID_BRAWL_TV_BATTLE_END_RETURN_HOME_SOON","Automaattinen toisto"
"TID_BRAWL_TV_OFF_RETURN_HOME","Poistu"
"TID_FIRST_WIN_INFO_SURVIVAL","Ansaitse <cff8E1b>tähtipoletti</c> ensimmäisestä neljän parhaan joukkoon sijoittumisestasi."
"TID_TEAM_POPOVER_YOUR_ROOM","Tämä on joukkueesi."
"TID_ERROR_SPECTATE_NOT_POSSIBLE_TEAM","Joukkue ei ottele tällä hetkellä."
"TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_THIS_TEAM","Ei voi liittyä. Olet jo tässä joukkueessa."
"TID_TEAM_AD_JOIN_FAIL_FULL","Liittyminen ei onnistu. Joukkue on täynnä."
"TID_HOMESCREEN_NOT_ENOUGH_TICKETS","Peliä ei voi aloittaa. Ei tarpeeksi lippuja."
"TID_HOMESCREEN_TEAMS_NOT_SUPPORTED","Tässä tapahtumassa ei voi pelata joukkueessa."
"TID_GAME_MODE_UNLOCKED","AVATTU"
"TID_ERROR_SPECTATE_DISABLED","Katselutila on väliaikaisesti poissa käytöstä teknisten syiden vuoksi."
"TID_SPECTATE_FOLLOW","Napauta seurataksesi:"
"TID_SPECTATE_FOLLOWING","Seurataan:"
"TID_FIRST_WIN_INFO_TICKETED_EVENT","Saat <cff8E1b>tähtipoletin</c> ensimmäisestä ottelustasi."
"TID_FIRST_WIN_INFO_TEAM_SURVIVAL","Ansaitse <cff8E1b>tähtipoletti</c> ensimmäisestä kahden parhaan joukkoon sijoittumisestasi."
"TID_FIRST_WIN_INFO_SURVIVAL_COMBINED","Ottele muita pelaajia vastaan ja sijoitu neljän parhaan joukkoon yksinpelissä tai kahden parhaan joukkoon kaksinpelissä ja saat<cff8E1b>tähtipoletin</c>."
"TID_CONNECTING_WAIT_FOR_SPECTATE","Odotetaan katselua..."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS","KATSO MAINOS JA\nTUPLAA YKSI PALKINNOISTA!\n<VIEWCOUNTREM> katselua jäljellä tänään"
"TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW","KATSO MAINOS JA\nTUPLAA YKSI PALKINNOISTA!\n<VIEWCOUNTREM> katselu jäljellä tänään"
"TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS_CHOISELESS","HANKI LISÄÄ PALKINTOJA!\n<VIEWCOUNTREM> katselua jäljellä tänään"
"TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW_CHOISELESS","HANKI LISÄÄ PALKINTOJA!\n<VIEWCOUNTREM> katselu jäljellä tänään"
"TID_CANNON_DAMAGE","Tykin tuhovoima"
"TID_CANNON_HEALTH","Tykin elinvoima"
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_OTHER","Kaverillasi on liikaa avoimia pyyntöjä. Yritä myöhemmin uudelleen."
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_YOU","Olet lähettänyt liian monta kaveripyyntöä. Poista yksi ja yritä uudelleen."
"TID_ADD_FRIEND_ERROR_GENERIC","Kaveripyynnön lähettäminen epäonnistui. Yritä myöhemmin uudelleen."
"TID_ADD_FRIEND_ERROR_DOES_NOT_EXIST","Pelaajaa, jonka yritit lisätä, ei ole olemassa."
"TID_ADD_FRIEND_ERROR_OWN_AVATAR","Et voi pyytää itseäsi kaveriksesi!"
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_OTHER","Kaverillasi on liikaa kavereita. Yritä myöhemmin uudelleen."
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_YOU","Sinulla on liikaa kavereita. Poista yksi, jos haluat lisätä uuden."
"TID_HINT_26","Penny voi aiheuttaa paljon tuhoa sarjahyökkäyksellään, jos kohteet ovat vierekkäin."
"TID_HINT_27","Joukkueen kokoaminen ennen ottelua antaa mahdollisuuden valmistautua yhdessä ja valita paras rämäpääyhdistelmä."
"TID_HINT_28","Kokeile ystävyysotteluita, joissa voit harjoitella tapahtumia varten ja järjestää rentoja kilpailuja!"
"TID_HINT_29","Jos haluat pelata uuden ottelun uusien hyvien joukkuekavereiden kanssa, napauta Pelaa uudelleen."
"TID_HINT_30","Ystävyysotteluissa voit valita minkä tahansa tapahtuman ja kartan. Rämäpäät ovat niissä myös täysin päivitettyjä!"
"TID_HINT_31","Frank pysähtyy hyökkäystään ja superiaan varten, joten hänen vastustajillaan on mahdollisuus ehtiä pois alta."
"TID_EXPERIENCE","KOKEMUS"
"TID_HINT_32","Lipputapahtumat eivät vaikuta vaikuta polettikiintiöösi. Niissä pelaamiseen käytetään lippuja."
"TID_HINT_33","Voit kutsua jengiläisiäsi kavereiksesi jengin jäsenlistan kautta."
"TID_HINT_34","Voit kutsua joukkueesi pelaajia kaveriksesi."
"TID_HINT_35","Muutaman hyvän yhteisen ottelun jälkeen voit kutsua pelaajan kaveriksesi ehdotettujen kaverien listalta."
"TID_HINT_36","Voit kutsua joukkueesi pelaajia kaveriksesi."
"TID_HINT_37","Voit kertoa kavereillesi ja jengiläisillesi pelihuoneestasi napauttamalla Kerro-painiketta."
"TID_COOP_GENERATED","Ryminärata"
"TID_MECHANIC_KNIGHT_SKIN","RITARI-JESSIE"
"TID_FRANK_CAVEMAN_SKIN","LUOLAMIES-FRANK"
"TID_SOLO","YKSINPELI"
"TID_DUO","KAKSINPELI"
"TID_INVITE_FRIEND_TOKEN_ERROR_FRIENDS_FULL","Kaverilistasi on täynnä!"
"TID_INVITE_FRIEND_TOKEN_ERROR_TOO_MANY","Liian monta aktiivista kutsua. Yritä myöhemmin uudelleen."
"TID_INVITE_FRIEND_TOKEN_ERROR","Kavereiden kutsumisessa tapahtui virhe."
"TID_GOLDRUSH_9","Musta allas"
"TID_TEAM_JOIN_FINISH_TUTORIAL","Suorita opastus loppuun, niin voit liittyä jengiin."
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_TITLE","Kirjautuminen epäonnistui"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED","Brawl Starsin beta-versio ei ole vielä saatavilla maassasi. Tarkista myöhemmin uudelleen!"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_BUTTON","OK"
"TID_CROW_PHEONIX_SKIN","FEENIKS-CROW"
"TID_MECHANIC_SUMMER_SKIN","KESÄ-JESSIE"
"TID_HERO_SCREEN_DIM_COLOR_MUL","222222"
"TID_GUNSLINGER_ROCKSTAR_SKIN_SHOP","ROKKARI-\nCOLT"
"TID_ROCKET_BEACH_SKIN_SHOP","BIITSI-\nBROCK"
"TID_CACTUS_PINK_SKIN_SHOP_OLD","PINKKI\nSPIKE"
"TID_SHAMAN_PANDA_SKIN_SHOP","PANDA-\nNITA"
"TID_CROW_WHITE_SKIN_SHOP","VALKEA\nCROW"
"TID_BULL_HAIR_SKIN_SHOP","VIIKINKI-\nBULL"
"TID_TRICKSHOT_GOLD_SKIN_SHOP_OLD","KULTAPOIKA-\nRICOCHET"
"TID_BARKEEP_GOLD_SKIN_SHOP","KULTAINEN\nBARLEY"
"TID_LUCHADOR_RUDO_SKIN_SHOP","RUJO-\nPRIMO"
"TID_SHOTGUN_BANDITA_SKIN_SHOP","RYÖVÄRI-\nSHELLY"
"TID_LUCHADOR_KING_SKIN_SHOP","PRINSSI-\nPRIMO"
"TID_MECHANIC_KNIGHT_SKIN_SHOP","RITARI-\nJESSIE"
"TID_FRANK_CAVEMAN_SKIN_SHOP","LUOLAMIES-\nFRANK"
"TID_MECHANIC_SUMMER_SKIN_SHOP","KESÄ-\nJESSIE"
"TID_CROW_PHEONIX_SKIN_SHOP","FEENIKS-\nCROW"
"TID_GOLDRUSH_10","Kaikukammio"
"TID_BANKHEIST_5","Astetta paremmat aidat"
"TID_BATTLE_ROYALE_D7","Supershoppailija"
"TID_BATTLE_ROYALE_8","Saaren valloitus"
"TID_BATTLE_ROYALE_6","Luolalinko"
"TID_CLAN_CHAT_JUMP_TO_NEW","Uudet viestit: <count>"
"TID_CLAN_CHAT_NEW","UUSI"
"TID_BANKHEIST_6","Rahat tiskiin"
"TID_GOLDRUSH_11","Tulvinut kaivos"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_ANDROID","Sinun pitää ladata Brawl Starsin beta-versio Google Play Kaupasta (saatavilla vain tietyissä maissa). Rootattuja laitteita ei tällä hetkellä tueta. Tarkista myöhemmin uudelleen!"
"TID_RATE_APP_MESSAGE_ANDROID","Arvostele Brawl Stars Play Kaupassa ja anna meille arvokasta palautetta!"
"TID_BIND_TO_NEW_GOOGLE_SERVICE_ACCOUNT_TITLE","Uusi Google Kaupan kirjautuminen"
"TID_BIND_TO_NEW_GOOGLE_SERVICE_ACCOUNT","Haluatko tallentaa nykyisen pelisi tälle Google Play -tilille?"
"TID_SHOWDOWN_END","SELKKAUS!"
"TID_SETTINGS_FIXES_JOYSTICK","LIIKKUMISOHJAIMEN LUKITUS"
"TID_SETTINGS_SC_ID","SUPERCELL ID"
"TID_LANGUAGE_LOCALIZED_NAME","Suomi"
"TID_POPUP_CHANGE_LANGUAGE_TITLE","Vaihdetaanko kieltä?"
"TID_POPUP_CHANGE_LANGUAGE","Haluatko varmasti muuttaa kieliasetuksiasi?"
"TID_SKIN_RARITY_1","<cffffff>Yleinen</c>"
"TID_SKIN_RARITY_2","<c0070dd>Harvinainen</c>"
"TID_SKIN_RARITY_3","<ca335ee>Eeppinen</c>"
"TID_SKIN_RARITY_4","<cff8000>Legendaarinen</c>"
"TID_BANKHEIST_7","Kaktuskäytävät"
"TID_BATTLE_ROYALE_9","Länsituuli"
"TID_BATTLE_ROYALE_10","Aavikkojuoksu"
"TID_NO_FRIENDS_GO_TO_FRIENDS","Siirry Kaverit-valikkoon"
"TID_EVENT_MODIFIER_1","ENERGIAJUOMA"
"TID_EVENT_MODIFIER_2","VIHAINEN ROBOTTI"
"TID_EVENT_MODIFIER_3","METEORIITTISADE"
"TID_EVENT_MODIFIER_4","HYYTÄVÄ HAUTAUSMAA"
"TID_EVENT_MODIFIER_DESC_1","Jos olet yksinäinen, lähelle saattaa ilmestyä energiajuoma. Siemaise se tehostaaksesi rämäpääsi tuhovoimaa ja nopeutta hetkiseksi!"
"TID_EVENT_MODIFIER_DESC_2","Vihainen robotti voi ilmaantua koska vain ja hyökätä lähimmän rämäpään kimppuun. Ole varuillasi!"
"TID_EVENT_MODIFIER_DESC_3","Tätä meteoriittisadetta et halua jäädä ihastelemaan. Varo suuria putoavia taivaankappaleita!"
"TID_BALL_4","Luihut lehdot"
"TID_EVENT_MODIFIER_DESC_4","Elinvoimasi vähenee jatkuvasti, mutta vastustajien vahingoittaminen palauttaa sitä jonkin verran. Toisen rämäpään kukistaminen palauttaa kaiken elinvoimasi! Rämäpäiden parannustaidot toimivat heikommin."
"TID_BALL_5","BB-linnoitus"
"TID_BALL_6","Superstadioni"
"TID_BALL_7","Lätäkköleikki"
"TID_BANKHEIST_8","Luutunneli"
"TID_EVENT_MODIFIER_DESC_3_SD","Kavereiden kanssa parveilu voi olla vaarallista, jos taivaalta sataa kivenlohkareita!"
"TID_DEFEATED_SHOWDOWN","Tyrmätty"
"TID_OFFER_WATCH_AD","KATSO"
"TID_ERROR_REPLAY_DISABLED","Uusinta ei ole vielä saatavilla."
"TID_WANTED_9","Suuri kanava"
"TID_HOOK","GENE"
"TID_STAR_KEY_INFO_EXTENSION","\n\nTähtipoletteja käytetään isojen lippaiden avaamiseen."
"TID_TEAM_OWNER_TEXT","Pelaajan <NAME> joukkue"
"TID_SPECTATE_AUTO","Automaattinen"
"TID_BATTLE_ROYALE_11","Nuolinäytös"
"TID_FRIEND_POPOVER_INVITE","KUTSU JOUKKUEESEEN"
"TID_TEAM_ERROR_ALREADY_IN_ROOM","Pelaaja on jo joukkueessasi!"
"TID_TEAM_ERROR_ALREADY_INVITED","Pelaaja on jo kutsuttu!"
"TID_BATTLE_ROYALE_D2","Tuuliset tasangot"
"TID_UNDERTAKER_GREASER_SKIN","FIFTARI-MORTIS"
"TID_COMMUNITY_PROPS","Yhteisön tekemä kartta!\n\nSuunnitellut:\n<cff8000><CREDIT></c>"
"TID_BATTLE_ROYALE_12","Tukala labyrintti"
"TID_TEAM_INVITE_ALREADY_IN_TEAM","Pelaaja on jo joukkueessa!"
"TID_HINT_38","Pyörivä sininen kehä rämäpään alla tarkoittaa, että supervoima on valmis."
"TID_HINT_39","Pyörivä keltainen kehä rämäpään alla tarkoittaa, että hän tähtää parhaillaan supervoimaansa."
"TID_EVENT_NOT_AVAILABLE","Ei tapahtumaa"
"TID_SHOP_OFFER_PURCHASE_AD_NOT_AVAILABLE","Ei videota saatavilla. Kurkkaa myöhemmin uudelleen!"
"TID_SHOP_NOT_AVAILABLE","ei saatavilla"
"TID_UNDERTAKER_GREASER_SKIN_SHOP","FIFTARI-\nMORTIS"
"TID_HINT_40","Yhdistä pelisi Supercell ID:hen asetusvalikossa. Näin pidät pelitilisi turvassa ja voit pelata useilla laitteilla. Lisäksi saat ilmaisen asupalkinnon!"
"TID_GACHA_VIDEO_REWARD_RECEIVED","Ylimääräisiä palkintoja lisätty!"
"TID_BUTTON_NAVI_SHOP","KAUPPA"
"TID_BUTTON_NAVI_SOCIAL","PELAAJAT"
"TID_BUTTON_NAVI_BRAWLERS","RÄMÄPÄÄT"
"TID_BRAWL_TICKETS_BUTTON","PELAA"
"TID_HOME_SCREEN_INVITE","KUTSU"
"TID_HINT_41","Pokaalien kokonaismäärä tarkoittaa kaikkien rämäpäidesi pokaaleita yhteensä."
"TID_GOAL","<name> teki maalin!"
"TID_EVENT_MODIFIER_5","PARANTAVAT SIENET"
"TID_EVENT_MODIFIER_DESC_5","Parantavia sieniä ilmestyy sattumanvaraisesti. Hetken ajan ne parantavat kaikkea lähellä olevaa."
"TID_EVENT_MODIFIER_DESC_5_SD","Parantavia sieniä ilmestyy sattumanvaraisesti! Kavereidesi lähellä oleminen kuitenkin estää sieniä kasvamasta."
"TID_NINJA","LEON"
"TID_ROSA","ROSA"
"TID_HINT_42","Kun rämäpääsi ei hyökkää tai vahingoitu hetkeen, se alkaa parantua."
"TID_HOOK_SHORT_DESC","VAHVISTUS"
"TID_HOOK_DESC","Gene ampuu taikalampustaan moneen osaan jakaantuvan ammuksen. Hänen superinsa on lampunhengen taikakäsi, joka nappaa vastustajia ja vetää heidät lähemmäksi."
"TID_SPEC_ABI_HOOK","Tähtisumu"
