"TID","TH"
"TID_KEY_BAR_INFO_COIN_SHOWER_EVENT","อีเวนท์เหรียญโปรยปราย\nรับ<cff8E1b>เหรียญ</c>จากการต่อสู้!\n\nโทเค็นแต่ละชิ้นที่คุณได้รับจากการต่อสู้ทั่วไปจะมาพร้อมกับเหรียญโบนัส ซึ่งรวมถึงโทเค็นที่ได้รับจากแพ็คทวีคูณโทเค็นด้วย!\n\nเหรียญใช้เพื่ออัปเกรดบรอว์เลอร์"
"TID_NEW_ONLINE_FRIEND","ผู้เล่นออนไลน์"
"TID_NEW_GAME_ROOM","ทีมใหม่"
"TID_KEY_BAR_TITLE","โทเค็นที่ได้จากการต่อสู้"
"TID_PLAYAGAIN_QUIT","ออก"
"TID_BATTLE_END_WAITING","กำลังรอผู้เล่นอื่น"
"TID_ERROR_REPLAY_WAITING","รีเพลย์กำลังรอดำเนินการ"
"TID_ERROR_REPLAY_NOT_POSSIBLE","รีเพลย์ใช้งานไม่ได้"
"TID_ERROR_SPECTATE_WAITING","การชมกำลังรอดำเนินการ"
"TID_ERROR_SPECTATE_NOT_POSSIBLE","ผู้เล่นยังไม่ได้ต่อสู้ในตอนนี้"
"TID_BRAWL_TV_STARTING","BrawlTV กำลังโหลด..."
"TID_ERROR_BRAWL_TV_WAITING","BrawlTV กำลังรอดำเนินการ"
"TID_BRAWL_TV_QUIT","BrawlTV #<NUM>"
"TID_ERROR_BRAWL_TV_TUNE_FAILED","ไม่มีอะไรฉายบน BrawlTV #<NUM> - กำลังเปลี่ยนช่อง"
"TID_BRAWL_TV_BATTLE_END_RETURN_HOME","วิดีโอต่อไปใน <NUM> วินาที"
"TID_BRAWL_TV_BATTLE_END_RETURN_HOME_SOON","ชมวิดีโอถัดไปอัตโนมัติ"
"TID_BRAWL_TV_OFF_RETURN_HOME","ปิดทีวี"
"TID_FIRST_WIN_INFO_SURVIVAL","รับ<cff8E1b>โทเค็นดวงดาว</c>เมื่อชนะผู้เล่นอื่นมาอยู่ในสี่อันดับแรกเป็นครั้งแรก"
"TID_TEAM_POPOVER_YOUR_ROOM","นี่คือทีมของคุณ"
"TID_ERROR_SPECTATE_NOT_POSSIBLE_TEAM","ทีมยังไม่ได้ต่อสู้ในตอนนี้"
"TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_THIS_TEAM","ไม่สามารถเข้าร่วมได้ คุณอยู่ในทีมนี้อยู่แล้ว"
"TID_TEAM_AD_JOIN_FAIL_FULL","ไม่สามารถเข้าร่วมได้ ทีมเต็มแล้ว"
"TID_HOMESCREEN_NOT_ENOUGH_TICKETS","ไม่สามารถเริ่มเกมได้ ตั๋วไม่พอ"
"TID_HOMESCREEN_TEAMS_NOT_SUPPORTED","อีเวนท์นี้ไม่รองรับการเล่นเป็นทีม"
"TID_GAME_MODE_UNLOCKED","ปลดล็อคแล้ว"
"TID_ERROR_SPECTATE_DISABLED","การชมถูกปิดการใช้งานชั่วคราวเนื่องจากเหตุผลทางเทคนิค"
"TID_SPECTATE_FOLLOW","กดเพื่อติดตาม:"
"TID_SPECTATE_FOLLOWING","กำลังติตดาม:"
"TID_FIRST_WIN_INFO_TICKETED_EVENT","รับ<cff8E1b>โทเค็นดวงดาว</c>จากการต่อสู้ครั้งแรก"
"TID_FIRST_WIN_INFO_TEAM_SURVIVAL","รับ<cff8E1b>โทเค็นดวงดาว</c>เมื่อชนะผู้เล่นอื่นมาอยู่ในสองอันดับแรกเป็นครั้งแรก"
"TID_FIRST_WIN_INFO_SURVIVAL_COMBINED","เล่นแข่งขันกับผู้เล่นคนอื่นและอยู่ในสี่อันดับแรกในโหมดเล่นคนเดียวหรือสองอันดับแรกในโหมดเล่นเป็นคู่เพื่อรับ<cff8E1b>โทเค็นดวงดาว</c>"
"TID_CONNECTING_WAIT_FOR_SPECTATE","กำลังรอเพื่อเข้าชม..."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS","ชมโฆษณา\nเพื่อเพิ่มหนึ่งรางวัลให้เป็นสองเท่า!\nยังชมได้อีก <VIEWCOUNTREM> ครั้งในวันนี้"
"TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW","ชมโฆษณา\nเพื่อเพิ่มหนึ่งรางวัลให้เป็นสองเท่า!\nยังชมได้อีก <VIEWCOUNTREM> ครั้งในวันนี้"
"TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS_CHOISELESS","รับรางวัลเพิ่มขึ้น!\nรับชมได้อีก <VIEWCOUNTREM> ครั้งในวันนี้"
"TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW_CHOISELESS","รับรางวัลเพิ่มขึ้น!\nรับชมได้อีก <VIEWCOUNTREM> ครั้งในวันนี้"
"TID_CANNON_DAMAGE","พลังโจมตีของปืนใหญ่"
"TID_CANNON_HEALTH","พลังชีวิตปืนใหญ่"
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_OTHER","ผู้เล่นนี้มีคำขอเป็นเพื่อนรออยู่มากเกินไป โปรดลองอีกครั้งในภายหลัง"
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_YOU","คุณได้ส่งคำขอเป็นเพื่อนมากเกินไป ลบคำขอออกหนึ่งรายการแล้วลองอีกครั้ง"
"TID_ADD_FRIEND_ERROR_GENERIC","ไม่สามารถส่งคำเชิญเพื่อนได้ โปรดลองอีกครั้งในภายหลัง"
"TID_ADD_FRIEND_ERROR_DOES_NOT_EXIST","ไม่มีผู้เล่นที่ท่านพยายามเพิ่มเพื่อนอยู่"
"TID_ADD_FRIEND_ERROR_OWN_AVATAR","ไม่สามารถเชิญตัวเองเป็นเพื่อนได้!"
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_OTHER","เพื่อนของคุณมีเพื่อนมากเกินไป โปรดลองอีกครั้งในภายหลัง"
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_YOU","คุณมีเพื่อนมากเกินไป ลบเพื่อนออกสักคนหากต้องการเพิ่มเพื่อนใหม่"
"TID_HINT_26","เพนนีสามารถสร้างความเสียหายอย่างรุนแรงได้ด้วยการโจมตีแบบกระจายหากเป้าหมายของเธอเรียงเป็นแถวตอน"
"TID_HINT_27","การมีทีมจะช่วยให้คุณวางแผนก่อนการต่อสู้และเลือกบรอว์เลอร์ที่เหมาะสมได้"
"TID_HINT_28","ลองเล่นเกมฉันมิตรเพื่อฝึกเล่นในอีเวนท์ต่างๆ จัดการแข่งขันฉันมิตร และอีกมากมาย!"
"TID_HINT_29","หลังการเล่นแมตช์ที่สนุกๆ กับเพื่อนร่วมทีมคนใหม่ คุณสามารถกดเล่นอีกครั้งเพื่อเล่นกับพวกเขาอีก!"
"TID_HINT_30","เกมฉันมิตรจะให้คุณเลือกอีเวนท์และแผนที่ใดก็ได้ และบรอว์เลอร์ก็จะได้รับการอัปเกรดจนเต็ม!"
"TID_HINT_31","แฟรงค์จะหยุดครู่หนึ่งเพื่อโจมตีและใช้ท่าไม้ตาย ทำให้ศัตรูของเขามีโอกาสหนีให้พ้นจากระยะการโจมตีของเขา"
"TID_EXPERIENCE","ประสบการณ์"
"TID_HINT_32","อีเวนท์ที่ได้รับตั๋วจะไม่ใช้แถบโทเค็นในการเล่น แต่จะใช้ตั๋วแทน"
"TID_HINT_33","คุณสามารถเชิญสมาชิกคลับจากรายชื่อสมาชิกคลับมาเป็นเพื่อนของคุณได้"
"TID_HINT_34","คุณสามารถเชิญผู้เล่นจากทีมมาเป็นเพื่อนของคุณได้"
"TID_HINT_35","หลังจากได้เล่นแมตช์ดีๆ กับใครสักคน คุณสามารถเชิญพวกเขาจากรายชื่อเพื่อนที่แนะนำมาเป็นเพื่อนของคุณได้"
"TID_HINT_36","คุณสามารถเชิญผู้เล่นจากทีมมาเป็นเพื่อนของคุณได้"
"TID_HINT_37","คุณสามารถใช้ปุ่มโฆษณาเพื่อโฆษณาทีมของคุณไปยังเพื่อนและสมาชิกคลับได้"
"TID_COOP_GENERATED","อารีน่าตะลุมบอน"
"TID_MECHANIC_KNIGHT_SKIN","อัศวินมังกรเจสซี่"
"TID_FRANK_CAVEMAN_SKIN","คนถ้ำแฟรงค์"
"TID_SOLO","คนเดียว"
"TID_DUO","ทีมคู่"
"TID_INVITE_FRIEND_TOKEN_ERROR_FRIENDS_FULL","รายชื่อเพื่อนเต็ม!"
"TID_INVITE_FRIEND_TOKEN_ERROR_TOO_MANY","มีคำเชิญมากเกินไป โปรดลองอีกครั้งในภายหลัง"
"TID_INVITE_FRIEND_TOKEN_ERROR","การเชิญเพื่อนเกิดข้อผิดพลาด"
"TID_GOLDRUSH_9","สระทมิฬ"
"TID_TEAM_JOIN_FINISH_TUTORIAL","เล่นการฝึกสอนให้เสร็จสิ้นเพื่อเข้าร่วมทีม"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_TITLE","ล็อกอินล้มเหลว"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED","Brawl Stars Beta ยังไม่เปิดให้บริการในประเทศของคุณ โปรดกลับมาตรวจสอบในภายหลัง!"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_BUTTON","ตกลง"
"TID_CROW_PHEONIX_SKIN","ฟีนิกซ์โครว"
"TID_MECHANIC_SUMMER_SKIN","เจสซี่ ชุดฤดูร้อน"
"TID_HERO_SCREEN_DIM_COLOR_MUL","222222"
"TID_GUNSLINGER_ROCKSTAR_SKIN_SHOP","ร็อคสตาร์\nโคลท์"
"TID_ROCKET_BEACH_SKIN_SHOP","บร็อค\nชุดชายหาด"
"TID_CACTUS_PINK_SKIN_SHOP_OLD","สไปค์\nชมพูหวาน"
"TID_SHAMAN_PANDA_SKIN_SHOP","แพนด้า\nนิต้า"
"TID_CROW_WHITE_SKIN_SHOP","ไวท์\nโครว"
"TID_BULL_HAIR_SKIN_SHOP","ไวกิ้ง\nบูล"
"TID_TRICKSHOT_GOLD_SKIN_SHOP_OLD","ริโคเชต์\nจ้าวเหรียญทอง"
"TID_BARKEEP_GOLD_SKIN_SHOP","บาร์ลีย์\nสีทอง"
"TID_LUCHADOR_RUDO_SKIN_SHOP","วายร้าย\nปรีโม่"
"TID_SHOTGUN_BANDITA_SKIN_SHOP","จอมโจร\nเชลลี่"
"TID_LUCHADOR_KING_SKIN_SHOP","ราชันย์\nปริโม่"
"TID_MECHANIC_KNIGHT_SKIN_SHOP","อัศวินมังกร\nเจสซี่"
"TID_FRANK_CAVEMAN_SKIN_SHOP","คนถ้ำ\nแฟรงค์"
"TID_MECHANIC_SUMMER_SKIN_SHOP","เจสซี่\nชุดฤดูร้อน"
"TID_CROW_PHEONIX_SKIN_SHOP","ฟีนิกซ์\nโครว"
"TID_GOLDRUSH_10","โถงเสียงสะท้อน"
"TID_BANKHEIST_5","รั้วหรรษา"
"TID_BATTLE_ROYALE_D7","ซูเปอร์นักช็อป"
"TID_BATTLE_ROYALE_8","รุกล้ำเกาะ"
"TID_BATTLE_ROYALE_6","ถ้ำวกวน"
"TID_CLAN_CHAT_JUMP_TO_NEW","ข้อความใหม่ <count> ข้อความ"
"TID_CLAN_CHAT_NEW","ใหม่"
"TID_BANKHEIST_6","เปย์ให้แหลก"
"TID_GOLDRUSH_11","เหมืองน้ำท่วม"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_ANDROID","คุณต้องดาวน์โหลด Brawl Stars Beta จาก Google Play Store (เปิดให้บริการในบางประเทศ) ไม่รองรับอุปกรณ์ที่รูทในตอนนี้ โปรดกลับมาตรวจสอบในภายหลัง!"
"TID_RATE_APP_MESSAGE_ANDROID","กรุณาให้คะแนนหรือรีวิว Brawl Stars ที่ Play Store เพื่อให้ผลตอบรับอันมีค่ายิ่งแก่เรา!"
"TID_BIND_TO_NEW_GOOGLE_SERVICE_ACCOUNT_TITLE","ล็อกอิน Google Play ใหม่"
"TID_BIND_TO_NEW_GOOGLE_SERVICE_ACCOUNT","คุณต้องการบันทึกเกมปัจจุบันกับบัญชี Google Play นี้หรือไม่?"
"TID_SHOWDOWN_END","ศึกประจันหน้า!"
"TID_SETTINGS_FIXES_JOYSTICK","ล็อคแป้นควบคุมการเคลื่อนไหว"
"TID_SETTINGS_SC_ID","SUPERCELL ID"
"TID_LANGUAGE_LOCALIZED_NAME","ไทย"
"TID_POPUP_CHANGE_LANGUAGE_TITLE","ต้องการเปลี่ยนภาษาหรือไม่?"
"TID_POPUP_CHANGE_LANGUAGE","คุณแน่ใจหรือไม่ว่าต้องการเปลี่ยนภาษา?"
"TID_SKIN_RARITY_1","<cffffff>คอมมอน</c>"
"TID_SKIN_RARITY_2","<c0070dd>แรร์</c>"
"TID_SKIN_RARITY_3","<ca335ee>อีปิค</c>"
"TID_SKIN_RARITY_4","<cff8000>เลเจนดารี</c>"
"TID_BANKHEIST_7","ทางเดินตะบองเพชร"
"TID_BATTLE_ROYALE_9","ลมอัสดง"
"TID_BATTLE_ROYALE_10","เนินสันทราย"
"TID_NO_FRIENDS_GO_TO_FRIENDS","ไปยังเพื่อน"
"TID_EVENT_MODIFIER_1","เครื่องดื่มชูกำลัง"
"TID_EVENT_MODIFIER_2","หุ่นยนต์เกรี้ยวกราด"
"TID_EVENT_MODIFIER_3","ฝนดาวตก"
"TID_EVENT_MODIFIER_4","ตะลุยสุสาน"
"TID_EVENT_MODIFIER_DESC_1","หากไม่มีผู้เล่นอื่นอยู่ใกล้เคียง อาจมีเครื่องดื่มชูกำลังปรากฏอยู่ใกล้ๆ คุณก็ได้ ดื่มเพื่อเพิ่มความเสียหายและความเร็วให้กับบรอว์เลอร์ของคุณเป็นระยะเวลาสั้นๆ!"
"TID_EVENT_MODIFIER_DESC_2","หุ่นยนต์ที่เกรี้ยวกราดจะสุ่มเกิดขึ้นมาและโจมตีบรอว์เลอร์ที่อยู่ใกล้ที่สุด ระวังไว้ให้ดี!"
"TID_EVENT_MODIFIER_DESC_3","นี่ไม่ใช่ฝนดาวตกที่คุณเฝ้ารอแน่นอน จงระวังอุกกาบาตลูกยักษ์ที่จะตกใส่หัวของคุณ!"
"TID_BALL_4","ทุ่งลับลวง"
"TID_EVENT_MODIFIER_DESC_4","คุณจะเสียพลังชีวิตอย่างต่อเนื่อง แต่บรอว์เลอร์ของคุณจะได้พลังชีวิตกลับคืนมาบางส่วนเมื่อสร้างความเสียหายให้กับศัตรูได้ พลังชีวิตของคุณจะฟื้นฟูจนเต็มเมื่อกำจัดบรอว์เลอร์ได้! ประสิทธิภาพของความสามารถในการฟื้นฟูทั้งหมดจะลดลง"
"TID_BALL_5","ป้อม BB"
"TID_BALL_6","ซูเปอร์สเตเดียม"
"TID_BALL_7","แอ่งน้ำกระเซ็น"
"TID_BANKHEIST_8","อุโมงค์กระดูก"
"TID_EVENT_MODIFIER_DESC_3_SD","การอยู่ใกล้กับเพื่อนของคุณอาจเป็นอันตรายได้เมื่อมีอุกกาบาตยักษ์ตกจากฟากฟ้า!"
"TID_DEFEATED_SHOWDOWN","พ่ายแพ้"
"TID_OFFER_WATCH_AD","รับชม"
"TID_ERROR_REPLAY_DISABLED","รีเพลย์ใช้งานไม่ได้"
"TID_WANTED_9","คลองอลังการ"
"TID_HOOK","จีนี่"
"TID_STAR_KEY_INFO_EXTENSION","\n\nโทเค็นดวงดาวใช้สำหรับเปิดกล่องใหญ่"
"TID_TEAM_OWNER_TEXT","ทีมของ <NAME>"
"TID_SPECTATE_AUTO","อัตโนมัติ"
"TID_BATTLE_ROYALE_11","เห่ากังวาล"
"TID_FRIEND_POPOVER_INVITE","เชิญมายังทีม"
"TID_TEAM_ERROR_ALREADY_IN_ROOM","ผู้เล่นอยู่ในทีมของคุณอยู่แล้ว!"
"TID_TEAM_ERROR_ALREADY_INVITED","เชิญผู้เล่นไปแล้ว!"
"TID_BATTLE_ROYALE_D2","ทุ่งโกลาหล"
"TID_UNDERTAKER_GREASER_SKIN","มอร์ติสขาร็อค"
"TID_COMMUNITY_PROPS","แผนที่จากชุมชน!\n\nแนวคิดจาก:\n<cff8000><CREDIT></c>"
"TID_BATTLE_ROYALE_12","เขาวงกตร้อนรุ่ม"
"TID_TEAM_INVITE_ALREADY_IN_TEAM","ผู้เล่นอยู่ในทีมอยู่แล้ว!"
"TID_HINT_38","วงกลมสีฟ้าที่หมุนอยู่ใต้บรอว์เลอร์หมายความว่าท่าไม้ตายพร้อมใช้แล้ว!"
"TID_HINT_39","วงกลมสีเหลืองที่หมุนอยู่ใต้บรอว์เลอร์หมายความว่ากำลังเล็งเป้าท่าไม้ตายอยู่!"
"TID_EVENT_NOT_AVAILABLE","ไม่มีอีเวนท์"
"TID_SHOP_OFFER_PURCHASE_AD_NOT_AVAILABLE","ไม่มีวีดีโอ โปรดกลับมาดูภายหลัง!"
"TID_SHOP_NOT_AVAILABLE","ใช้งานไม่ได้"
"TID_UNDERTAKER_GREASER_SKIN_SHOP","มอร์ติส\nขาร็อค"
"TID_HINT_40","เชื่อมต่อกับ Supercell ID จากหน้าจอการตั้งค่าเพื่อรักษาบัญชีของคุณให้ปลอดภัยและเล่นได้ในหลายอุปกรณ์ คุณยังได้สกินฟรีเมื่อเชื่อมต่ออีกด้วย!"
"TID_GACHA_VIDEO_REWARD_RECEIVED","เพิ่มรางวัลพิเศษแล้ว!"
"TID_BUTTON_NAVI_SHOP","ร้านค้า"
"TID_BUTTON_NAVI_SOCIAL","โซเชียล"
"TID_BUTTON_NAVI_BRAWLERS","บรอว์เลอร์"
"TID_BRAWL_TICKETS_BUTTON","เล่น"
"TID_HOME_SCREEN_INVITE","เชิญ"
"TID_HINT_41","จำนวนถ้วยรางวัลทั้งหมดของคุณคือผลรวมจากถ้วยรางวัลของบรอว์เลอร์แต่ละตัว"
"TID_GOAL","<name> ทำคะแนน!"
"TID_EVENT_MODIFIER_5","เห็ดพยาบาล"
"TID_EVENT_MODIFIER_DESC_5","เห็ดพยาบาลจะสุ่มปรากฏ! เห็ดพวกนี้จะฟื้นฟูทุกอย่างที่อยู่ในระยะเป็นช่วงเวลาหนึ่ง"
"TID_EVENT_MODIFIER_DESC_5_SD","เห็ดพยาบาลจะสุ่มปรากฏ! การอยู่รวมเป็นกลุ่มกับเพื่อนจะทำให้เห็ดไม่เกิด"
"TID_NINJA","ลีออน"
"TID_ROSA","โรซ่า"
"TID_HINT_42","เมื่อไม่ได้โจมตีหรือรับความเสียหายในช่วงระยะเวลาหนึ่ง บรอว์เลอร์ของคุณจะได้รับการฟื้นฟู"
"TID_HOOK_SHORT_DESC","สายสนับสนุน"
"TID_HOOK_DESC","จีนี่ใช้ตะเกียงวิเศษยิงกระจายหลายทิศทาง ท่าไม้ตายของเขาคือมือวิเศษที่สามารถจับและดึงศัตรูเข้ามาใกล้ตัวได้"
"TID_SPEC_ABI_HOOK","หมอกมนตรา"
"TID_SPEC_ABI_HOOK_DESC","จีนี่รักษาบรอว์เลอร์พันธมิตรรอบตัว พวกเขาจะได้พลังชีวิต <c00cc00><VALUE1></c> หน่วยต่อวินาที"
"TID_HOOK_WEAPON","ระเบิดควันโขมง"
"TID_HOOK_ULTI","มือวิเศษ"
"TID_HOOK_WEAPON_DESC","จีนี่ยิงลูกบอลควันวิเศษจากตะเกียงของเขา หากยิงไม่ชนเป้าหมาย ลูกบอลจะแยกตัวและสร้างความเสียหายในลักษณะรูปโคน"
"TID_HOOK_ULTI_DESC","จีนี่ปล่อยมือวิเศษออกจากตะเกียงของเขา หากจับศัตรูได้ มือวิเศษจะดึงศัตรูกลับมายังตำแหน่งที่จีนี่ยืนอยู่"
"TID_NINJA_SHORT_DESC","นักฆ่าอำพราง"
"TID_NINJA_DESC","ลีออนจะปาดาวกระจายไปที่เป้าหมายอย่างรวดเร็ว ท่าไม้ตายของเขาคือระเบิดควันที่จะทำให้เขาหายตัวได้ครู่หนึ่ง!"
"TID_SPEC_ABI_SPEED_INVISIBLE","ร่องรอยควันจาง"
"TID_SPEC_ABI_SPEED_INVISIBLE_DESC","เมื่อลีออนใช้ท่าไม้ตาย เขาจะได้รับบูสต์เพิ่มความเร็วในการเคลื่อนที่ <c00cc00><VALUE1>%</c> เท่ากับระยะเวลาที่หายตัว"
"TID_NINJA_WEAPON","ดาวกระจาย"
"TID_NINJA_ULTI","ระเบิดควัน"
"TID_NINJA_WEAPON_DESC","ลีออนสะบัดข้อมือและปาดาวกระจายออกไปสี่ชิ้น โดยแต่ละชิ้นจะสร้างความเสียหายได้น้อยลงตามระยะทาง"
"TID_NINJA_ULTI_DESC","ลีออนล่องหนเป็นเวลา <time> วินาที เขาจะเผยตัวเมื่อเขาโจมตี ศัตรูที่อยู่ใกล้ลีออนจะมองเห็นเขาได้"
"TID_ROSA_SHORT_DESC","ตัวแทงค์"
"TID_ROSA_DESC","นักพฤกษศาสตร์พร้อมลงสนามด้วยหมัดมวย! ท่าไม้ตายของเธอคือชุดป้องกันวีแกนสุดแข็งแกร่ง"
"TID_SPEC_ABI_HEAL_FOREST","พฤกษาบำบัด"
"TID_SPEC_ABI_HEAL_FOREST_DESC","โรซ่าฟื้นฟูพลังชีวิต <c00cc00><VALUE1></c> หน่วยต่อวินาทีเมื่ออยู่ในพุ่มไม้"
"TID_ROSA_WEAPON","มือศิลา"
"TID_ROSA_ULTI","พลังหนังเหนียว"
"TID_ROSA_WEAPON_DESC","โรซ่าเหวี่ยงหมัดอันทรงพลังด้วยเทคนิคสุดแพรวพราว!"
"TID_ROSA_ULTI_DESC","โรซ่ามีผิวหนังชั้นที่สองที่ทำจากเถาวัลย์อันแข็งแกร่งเป็นเวลา <time> วินาทีซึ่งช่วยลดความเสียหายที่เธอได้รับทั้งหมด <num>% ตลอดระยะเวลาที่มีเถาวัลย์อยู่"
"TID_STAT_DAMAGE_PER_CLUSTER","ความเสียหายต่อกระจุก"
"TID_STAT_DAMAGE_PER_SHURIKEN","ความเสียหายต่อใบมีดในระยะใกล้"
"TID_STAT_INVISIBLE","ระเบิดควัน"
"TID_STAT_SHIELD","โล่ป้องกัน"
"TID_SELECT_HERO_INFO_RAID_BOSS","<c2288ff>ผู้เล่น vs บอส</c>"
"TID_EVENT_POPUP_GMV_LABEL_RAID_BOSS","ผู้เล่น 3 คน vs หุ่นยนต์บอส"
"TID_GAME_MODE_10","ศึกปะทะบอส"
"TID_RAID_BOSS_INTRO_TEXT","เอาชนะบอส"
"TID_RAID_1","อารีน่าหุ่นยนต์บอส"
"TID_GAME_MODE_10_DESC","คุณจะปราบหุ่นยนต์บอสอันน่าเกรงขามได้หรือไม่? ผนึกกำลังกับเพื่อนร่วมทีมอีก 2 คนแล้วโค่นเจ้าสัตว์ประหลาดตัวนี้ คุณสามารถกลับมาสู้ได้ตลอดตราบเท่าที่เพื่อนร่วมทีมอย่างน้อย 1 คนยังมีชีวิตอยู่ ถ้าทุกคนพ่ายแพ้ก็เท่ากับเกมโอเวอร์!\n\nศึกปะทะบอสจะเพิ่มความท้าทายขึ้นจากธรรมดาไปจนถึงบ้าคลั่ง ทุกครั้งที่คุณเอาชนะบอสได้"
"TID_TEAM_MATE_GONE","<ccccc00>เพื่อนร่วมทีมพ่ายแพ้!</c>"
"TID_ALL_TEAM_MATES_GONE","<cee0000>เพื่อนร่วมทีมทั้งสองพ่ายแพ้!</c>"
"TID_RAID_BOSS_ENRAGE_1","<c99bb22bb>บอสโกรธแล้ว!</c>"
"TID_RAID_BOSS_ENRAGE_2","<c99bb2222>บอสเกรี้ยวกราดแล้ว!</c>"
"TID_RAID_BOSS_ENRAGE_3","<c99bbbb22>บอสบ้าคลั่งแล้ว!</c>"
"TID_RAID_BOSS_DIFFICULTY_0","ปานกลาง"
"TID_RAID_BOSS_DIFFICULTY_1","ยาก"
"TID_RAID_BOSS_DIFFICULTY_2","เชี่ยวชาญ"
"TID_RAID_BOSS_DIFFICULTY_3","ยอดฝีมือ"
"TID_RAID_BOSS_DIFFICULTY_4","บ้าคลั่ง"
"TID_RAID_BOSS_DIFFICULTY_5","บ้าคลั่ง 2"
"TID_RAID_BOSS_DIFFICULTY_6","บ้าคลั่ง 3"
"TID_RAID_BOSS_DIFFICULTY_7","บ้าคลั่ง 4"
"TID_RAID_BOSS_DIFFICULTY_8","บ้าคลั่ง 5"
"TID_RAID_BOSS_DIFFICULTY_9","บ้าคลั่ง 6"
"TID_RAID_BOSS_DIFFICULTY_10","บ้าคลั่ง 7"
"TID_RAID_BOSS_DIFFICULTY_11","บ้าคลั่ง 8"
"TID_RAID_BOSS_DIFFICULTY_12","บ้าคลั่ง 9"
"TID_RAID_BOSS_DIFFICULTY_13","บ้าคลั่ง 10"
"TID_RAID_BOSS_DIFFICULTY_14","บ้าคลั่ง 11"
"TID_RAID_BOSS_DIFFICULTY_15","บ้าคลั่ง 12"
"TID_RAID_BOSS_DIFFICULTY_16","บ้าคลั่ง 13"
"TID_RAID_BOSS_DIFFICULTY_17","บ้าคลั่ง 14"
"TID_RAID_BOSS_DIFFICULTY_18","บ้าคลั่ง 15"
"TID_RAID_BOSS_DIFFICULTY_19","บ้าคลั่ง 16"
"TID_RAID_BOSS_DIFFICULTY_20","เจ๋งมากพวก!"
"TID_MODES_NEW_EVENT","อีเวนท์ใหม่!"
"TID_MODES_NEW_EVENTS","อีเวนท์ใหม่!"
"TID_TEAM_MEMBER_STATUS_NEW_0","<c999999>ออฟไลน์</c>"
"TID_TEAM_MEMBER_STATUS_NEW_1","กำลังต่อสู้"
"TID_TEAM_MEMBER_STATUS_NEW_2","ไม่อยู่"
"TID_TEAM_MEMBER_STATUS_NEW_3","<EMPTY>"
"TID_TEAM_MEMBER_STATUS_NEW_4","จับคู่"
"TID_TEAM_MEMBER_STATUS_NEW_5","หน้าจอตอนจบ"
"TID_TEAM_MEMBER_STATUS_NEW_6","<c999999>ออฟไลน์</c>"
"TID_TEAM_MEMBER_STATUS_NEW_7","กำลังชม"
"TID_TEAM_MEMBER_STATUS_NEW_8","กำลังฝึกฝน"
"TID_TEAM_MEMBER_STATUS_NEW_9","กำลังพิมพ์..."
"TID_TEAM_MEMBER_STATUS_NEW_10","กำลังเลือกบรอว์เลอร์"
"TID_TEAM_MEMBER_STATUS_NEW_11","กำลังค้นดูอีเวนท์"
"TID_TEAM_MEMBER_STATUS_NEW_12","กำลังค้นหาสมาชิก"
"TID_TEAM_MEMBER_STATUS_NEW_READY","พร้อม"
"TID_BUTTON_SPECTATE","ชม"
"TID_NEW_EVENT_IN","อีเวนท์ใหม่ใน: <TIME>"
"TID_NEW_EVENT_NOW","อีเวนท์ใหม่พร้อมแล้ว!"
"TID_SHOP_TITLE","ร้านค้า"
"TID_SELECT_EVENT_TITLE","เลือกอีเวนท์"
"TID_HERO_LIST_LABEL_NEW","บรอว์เลอร์ <c53C5F7><COUNT>/<TOTAL></c>"
"TID_KEY_COUNTER","<VALUE><c7984a8>/<MAX></c>"
"TID_ONLINE_TAB_1","ผู้เล่นออนไลน์"
"TID_ONLINE_TAB_2","แชตทีม"
"TID_ONLINE_TAB_3","แชตคลับ"
"TID_ALLIANCE_CHAT_TAB_NOT_IN_ALLIANCE","เข้าร่วมคลับเพื่อเข้าถึงแชตคลับ"
"TID_TEAM_CHAT_TAB_NOT_IN_TEAM","จัดทีมกับผู้เล่นอื่นเพื่อเข้าถึงแชตทีม"
"TID_NO_BAND_GO_TO_BANDS","ไปยังคลับ"
"TID_SHARE_TEAM_CODE_NO_CODE","รอให้รหัสสร้างเสร็จก่อนถึงแชร์ได้!"
"TID_TEAM_TEAMCODE_YOURS","รหัสทีมของคุณ"
"TID_BACK_BUTTON","ออกจากทีม"
"TID_BARLEY_WIZARD_SKIN","พ่อมดบาร์ลีย์"
"TID_EVENT_LOCKED_TROPHIES","เก็บถ้วยรางวัลเพิ่มเพื่อปลดล็อคอีเวนท์"
