"TID","PL"
"TID_WAVE_APPROACHING","Fala <number>"
"TID_TEAMS_LEFT","Pozostało drużyn: <num>"
"TID_TEAM_MATE_RESPAWNING","Członek drużyny wróci za: <num>"
"TID_BOSS_APPROACHING","Fala <number>: <ccc0000>Nadchodzi wielki robot!</c>"
"TID_COOP_2","Stalowe rozstaje"
"TID_BOSS_2","Sala króla kretów"
"TID_BEAR_DAMAGE","Obrażenia niedźwiedzia"
"TID_BEAR_HEALTH","PŻ niedźwiedzia"
"TID_EVENT_POPUP_GMV_LABEL_BATTLE_ROYALE_TEAM","Drużyny dwuosobowe"
"TID_SPEC_ABI_PUSHBACK_SELF","Dyna-skok"
"TID_VIEW_PROFILE_BUTTON","Zobacz profil"
"TID_REPORT_PLAYER_BUTTON","ZGŁOŚ"
"TID_CHAT_REPORT_CONFIRMATION_TITLE","Zgłosić gracza <name>?"
"TID_CHAT_REPORT_CONFIRMATION","\n\nCzy na pewno chcesz zgłosić gracza <name> z powodu niewłaściwego zachowania?"
"TID_PLAYER_ALREADY_REPORTED","Gracz został już zgłoszony!"
"TID_STARTER_PACK_4","Pakiet 35. poziomu"
"TID_NEED_HERO","Nie można kupić przebrania. Należy najpierw odblokować Zadymiarza."
"TID_EVENT_ENDING","<GAMEMODE> wkrótce się skończy!"
"TID_TEAM_DISPLAY_TITLE_CLAN","DRUŻYNY KLUBOWE"
"TID_TEAM_DISPLAY_TITLE_FRIENDS","DRUŻYNY ZNAJOMYCH"
"TID_TICKETS_REVEIVED","Otrzymano <AMOUNT> biletów na wydarzenia!"
"TID_TUTORIAL_12","Mamy KLEJNOTY, ruszajmy w stronę wyjścia!"
"TID_NO_TARGET_HINT","Brak celu dla SZYBKIEGO STRZAŁU!"
"TID_CAN_NOT_AUTOSHOOT","SZYBKI STRZAŁ dla tego superataku nie jest dostępny"
"TID_VS","KONTRA"
"TID_VS_SHOWDOWN","Każdy Zadymiarz walczy za siebie!"
"TID_HAS_LASER_BALL_HINT","Będąc przy piłce, nie można wykonać SZYBKIEGO STRZAŁU"
"TID_CLAN_RESPONSE_44","Dołączenie nie powiodło się: jesteś już w klubie"
"TID_SHOTGUN_GIRL_SHORT_DESC","WOJOWNIK"
"TID_GUNSLINGER_SHORT_DESC","STRZELEC"
"TID_BULL_DUDE_SHORT_DESC","WAGA CIĘŻKA"
"TID_ROCKET_GIRL_SHORT_DESC","STRZELEC"
"TID_TNT_DUDE_SHORT_DESC","MIOTACZ"
"TID_LUCHADOR_SHORT_DESC","WAGA CIĘŻKA"
"TID_TRICKSHOT_DUDE_SHORT_DESC","STRZELEC"
"TID_CACTUS_SHORT_DESC","STRZELEC"
"TID_BARKEEP_SHORT_DESC","MIOTACZ"
"TID_MECHANIC_SHORT_DESC","WOJOWNIK"
"TID_SHAMAN_SHORT_DESC","WOJOWNIK"
"TID_UNDERTAKER_SHORT_DESC","DZIARSKI ZABÓJCA"
"TID_CROW_SHORT_DESC","TOKSYCZNY ZABÓJCA"
"TID_DEAD_MARIACHI_SHORT_DESC","WSPARCIE"
"TID_BOW_DUDE_SHORT_DESC","WOJOWNIK"
"TID_SNIPER_SHORT_DESC","STRZELEC"
"TID_MINIGUN_DUDE_SHORT_DESC","WSPARCIE"
"TID_BLACK_HOLE_SHORT_DESC","WOJOWNIK"
"TID_BARREL_BOT_SHORT_DESC","WAGA CIĘŻKA"
"TID_CLAN_INTRO_SUGGESTED_CLANS","NAJLEPSZE KLUBY DLA CIEBIE"
"TID_CLAN_INTRO_CREATE_TITLE","STWÓRZ SWÓJ WŁASNY KLUB"
"TID_CLAN_INTRO_HEADER","KLUBY"
"TID_CLAN_INFO_TITLE","INFORMACJE O KLUBIE"
"TID_CLAN_INFO_NO_DESCRIPTION","BRAK OPISU KLUBU"
"TID_EVENT_POPUP_TITLE","CZAS NA BITWĘ!"
"TID_GOLDRUSH_8","Szafirowe równiny"
"TID_USE_AUTOFIRE_TUTORIAL","STUKNIJ <ccc0033>czerwony przycisk</c>, aby strzelić do najbliższego wroga!"
"TID_BRAWL_BOX_INFO_1","Jedna duża skrzynka zawiera nagrody równoważne trzem skrzynkom Zadymiarza. Jednak punkty mocy rozdzielone zostają wśród mniejszej liczby Zadymiarzy.\n\nMasz możliwość trzykrotnego otwarcia skrzynki, dające każdorazowo poniższe prawdopodobieństwo nagród:"
"TID_BRAWL_BOX_INFO_2","Każda skrzynka Zadymiarza może zawierać: nowego Zadymiarza albo punkty mocy + monety albo gwiezdną moc. Dodatkowo jako bonus można zdobyć podwajacze żetonów.\n\nPrawdopodobieństwa poszczególnych nagród są następujące:"
"TID_BRAWL_BOX_INFO_3","Jedna Megaskrzynka zawiera nagrody równoważne dziesięciu skrzynkom Zadymiarza. Jednak punkty mocy rozdzielone zostają wśród mniejszej liczby Zadymiarzy.\n\nGracz uzyskuje możliwość dziesięciokrotnego otwarcia skrzynki. Prawdopodobieństwo uzyskania poszczególnych nagród jest za każdym razem następujące:"
"TID_BRAWL_BOX_INFO_CATEGORIES","\n\n<CATEGORY1> : <NUM1>%\nRzadki Zadymiarz: <NUM2>%<GAR_HERO_1>\nBardzo rzadki Zadymiarz: <NUM3>%<GAR_HERO_2>\nEpicki Zadymiarz: <NUM4>%<GAR_HERO_3>\nMityczny Zadymiarz: <NUM5>%<GAR_HERO_4>\nLegendarny Zadymiarz: <NUM6>%<GAR_HERO_5>\nGwiezdna moc: <NUM7>%<GAR_STAR_POWER>\nGadżet: <NUM8>%<GAR_ACCESSORY>"
"TID_BRAWL_BOX_INFO_FOOTER","\n\nDodatkowo każde otwarcie daje graczowi 9% szansy na zdobycie klejnotów i 3% szansy na zdobycie podwajacza żetonów. Gwiezdne moce dostępne są tylko dla Zadymiarzy poziomu 9 lub wyższego. Po odblokowaniu wszystkich nagród danego typu, na przykład rzadkich Zadymiarzy, prawdopodobieństwo zdobycia wszystkich pozostałych nagród staje się większe. Szczęście: aby system otwierania skrzynek Zadymiarza był bardziej sprawiedliwy, uwzględniono czynnik szczęścia wpływający na prawdopodobieństwo zdobywania legendarnych Zadymiarzy. Każde otwarcie skrzynki niezawierającej nowego Zadymiarza sprawia, że wartość szczęścia gracza rośnie. Za każdym razem gdy gracz zdobywa nowego Zadymiarza, wartość jego szczęścia maleje w zależności od stopnia rzadkości otrzymanego Zadymiarza. Gdy szczęście osiągnie odpowiednio wysoką wartość, gracz ma większą szansę na uzyskanie legendarnego Zadymiarza, natomiast niska wartość szczęścia oznacza, że graczowi trudniej będzie zdobyć takiego Zadymiarza. Zawartość skrzynek na początku gry jest z góry ustalona, aby każdy z graczy rozpoczynał grę z równymi szansami."
"TID_BRAWL_BOX_INFO_POWER_POINTS_AND_COINS","Punkty mocy + monety"
"TID_BRAWL_BOX_INFO_COINS","Monety"
"TID_BRAWL_BOX_INFO_GUARANTEED_HERO_IN","(gwarantowane w ciągu <DRAWS> otwarć)"
"TID_BRAWL_BOX_INFO_GUARANTEED_STARPOWER_IN","(gwarantowane w ciągu <DRAWS> otwarć)"
"TID_BRAWL_BOX_INFO_GUARANTEED_ACCESSORY_IN","(gwarantowane w ciągu <DRAWS> otwarć)"
"TID_POWER_DROP_VALUE","+<VALUE>"
"TID_COLLECT","ZBIERZ"
"TID_PAGE_FRIENDS_TITLE","ZNAJOMI"
"TID_PAGE_FRIENDS_TITLE2","Weź udział w bitwie ze znajomymi!"
"TID_PAGE_FRIENDS_ADD_FRIENDS","DODAJ ZNAJOMYCH"
"TID_PAGE_FRIENDS_NO_FRIENDS_NO_LOGIN","Połącz się z Facebookiem lub znajdź znajomych w grze, aby z nimi zagrać!"
"TID_PAGE_FRIENDS_NO_FRIENDS","Połącz się z Facebookiem lub znajdź znajomych w grze, aby z nimi zagrać!"
"TID_FRIENDS_TITLE","<COUNT> znajomych"
"TID_FRIENDS_TAB_1","ZNAJOMI"
"TID_FRIENDS_TAB_2","SUGEROWANI"
"TID_FRIENDS_TAB_3","ZAPROSZENIA"
"TID_TOTAL","RAZEM"
"TID_BRAWL_BOX_INFO_TITLE_2","INFORMACJE O SKRZYNCE ZADYMIARZA"
"TID_BRAWL_BOX_INFO_TITLE_3","INFORMACJE O MEGASKRZYNCE"
"TID_OFFER_ALSO_INCLUDES","OFERTA ZAWIERA RÓWNIEŻ"
"TID_OFFER_VALUE_TITLE","WARTOŚĆ"
"TID_OFFER_VALUE","+<VALUE>%"
"TID_SHOP_OFFER_COUNTDOWN","<TIME>"
"TID_USE_ULTI_TUTORIAL","PRZECIĄGNIJ <cff9900>żółty przycisk</c>, aby wycelować!"
"TID_HERO_STATS_TITLE","STATYSTYKI ZADYMIARZA"
"TID_GATCHA_SCREEN_ITEMS_REMAINING","POZOSTAŁE PRZEDMIOTY:"
"TID_GATCHA_SCREEN_BONUS_ITEMS_REMAINING","POZOSTAŁE BONUSY:"
"TID_GATCHA_SCREEN_YOU_GOT","MASZ TERAZ:"
"TID_GATCHA_SCREEN_BONUSES","BONUSOWE PRZEDMIOTY:"
"TID_GATCHA_SCREEN_SUMMARY_UNLOCKED","ODBLOKOWANO!"
"TID_HERO_LIST_ITEM_UPGRADE","ULEPSZ"
"TID_SHOP_CLAMIMED","Odebrano"
"TID_SHOP_OFFER_PURCHASE_ERROR_CLAIMED","Tę rzecz już odebrano"
"TID_ONLINE","ONLINE"
"TID_LEADERBOARD","TABELA WYNIKÓW"
"TID_NOT_ENOUGH_TICKETS_INFO","\n\nNie masz już biletów!"
"TID_HERO_LIST_NEW","NOWOŚĆ"
"TID_HAMMER_DUDE","FRANK"
"TID_HOLD_PHONE_LIKE_THIS","TRZYMAJ URZĄDZENIE W TEN SPOSÓB"
"TID_HINT_FINGER_TAP_TAP","STUKNIJ! STUKNIJ!"
"TID_HINT_FINGER_DRAG","PRZECIĄGNIJ, ABY WYCELOWAĆ"
"TID_MOVE_HERE","Przejdź tutaj"
"TID_HINT_HEADER","WSKAZÓWKA:"
"TID_HINT_0","STUKNIJ <ccc0033>czerwony przycisk</c>, aby użyć SZYBKIEGO STRZAŁU w kierunku najbliższego wroga."
"TID_HINT_1","STUKNIJ <cff9900>żółty przycisk</c>, aby użyć SZYBKIEGO STRZAŁU w ramach superataku na najbliższego wroga."
"TID_HINT_2","PRZECIĄGNIJ <ccc0033>czerwony przycisk</c>, żeby WYCELOWAĆ strzał."
"TID_HINT_3","PRZECIĄGNIJ <cff9900>żółty przycisk</c>, żeby WYCELOWAĆ superatak."
"TID_HINT_4","Możesz anulować wycelowany strzał, przeciągając przycisk z powrotem do środkowego położenia."
"TID_HINT_5","Łączenie graczy jest oparte na pucharach Zadymiarza, którego wybrał gracz, dzięki czemu nowo odblokowanemu Zadymiarzowi łatwo zdobywać nowe puchary."
"TID_HINT_6","Aby szybciej awansować w rankingu pucharowym i otrzymywać więcej nagród, wystarczy zdobywać kolejnych Zadymiarzy."
"TID_HINT_7","Strzały Piper zadają tym większe obrażenia, im dalej lecą."
"TID_HINT_8","Superatak Barleya jest wyjątkowo potężny z bliskiej odległości, ponieważ butelki lądują na niewielkim obszarze."
"TID_HINT_9","Za każdym razem gdy kule Rico odbijają się, nabierają większej szybkości."
"TID_HINT_10","Aby wystrzelić, aktywuj <ccc0033>czerwony przycisk</c> w dowolnym miejscu z prawej strony ekranu."
"TID_HINT_11","Zarówno twój atak, jak i superatak twojego Zadymiarza, mają dwa tryby strzału: STUKNIJ, aby użyć SZYBKIEGO STRZAŁU i PRZECIĄGNIJ, aby WYCELOWAĆ."
"TID_HINT_12","Celowane strzały przydają się, jeśli chcemy trafić w ruchomy cel."
"TID_HINT_13","SZYBKI STRZAŁ najlepiej sprawdza się w dynamicznych akcjach, gdy nie masz czasu na celowanie."
"TID_HINT_14","SZYBKI STRZAŁ działa najlepiej na wrogów znajdujących się blisko."
"TID_HINT_15","Jeśli ukrywasz się w gąszczu, wrogowie mogą nadal cię zobaczyć, jeśli tylko podejdą wystarczająco blisko."
"TID_HINT_16","SZYBKI STRZAŁ leci w kierunku najbliższego wroga, a jego ruchy nie są brane pod uwagę."
"TID_HINT_17","Dobrze jest strzelać w gąszcz, aby sprawdzić, czy nie ukrywają się tam wrogowie."
"TID_HINT_18","SZYBKI STRZAŁ dobrze się sprawdza w przypadku wrogów stojących w miejscu."
"TID_HINT_19","SZYBKI STRZAŁ działa dobrze na wrogów, którzy poruszają się w twoim kierunku lub w przeciwnym."
"TID_HINT_20","Kiedy ukrywasz się w gąszczu, wrogowie mogą cię zobaczyć, jeśli ich zaatakujesz albo odniesiesz obrażenia."
"TID_HINT_21","Aby ukryć się przed wrogami, możesz schować się w gąszczu."
"TID_HINT_22","Gdy używasz SZYBKIEGO STRZAŁU, Twoja broń wystrzeli, nawet jeśli nie ma w zasięgu żadnych wrogów."
"TID_VS_TUTORIAL","Zbierz wszystkie <ce662f9>KLEJNOTY</c>"
"TID_USE_MANUAL_FIRE_TUTORIAL","PRZECIĄGNIJ <ccc0033>czerwony przycisk</c>, aby wycelować!"
"TID_TUTORIAL_GOOD_JOB_2","Dobra robota! <cff6633>POMARAŃCZOWE PASKI</c> pokazują, ile masz amunicji. Będę ją przeładowywać tak szybko, jak tylko potrafię!"
"TID_TUTORIAL_GOOD_JOB_3","Dobra robota! Atakowanie wrogów ładuje moc <cff9900>SUPERATAKU</c>!"
"TID_TUTORIAL_GOOD_JOB_4","Dobra robota!"
"TID_SPECTATE_PLAYER_BUTTON","Oglądaj"
"TID_SPECTATE_FAILED","Oglądanie nie powiodło się"
"TID_ACCOUNT_DISABLED_TEXT","Konto wyłączone"
"TID_ACCOUNT_DELETED_ON_REQUEST_TEXT","Konto zostało wyłączone z powodu prośby o usunięcie i nie można go już odzyskać."
"TID_ACCOUNT_DELETED_DUE_INACTIVITY_TEXT","Konto zostało wyłączone z powodu braku aktywności i nie można go już odzyskać."
"TID_ACCOUNT_DELETION_WARNING_TITLE","Ostrzeżenie o usunięciu konta"
"TID_ACCOUNT_DELETION_WARNING_TEXT","Zgodnie z Twoją prośbą wkrótce wyłączymy Twoje konto. Jeśli chcesz je zachować, skontaktuj się jak najszybciej z działem pomocy i wsparcia, aby anulować swoją prośbę."
"TID_ACCOUNT_DELETION_WARNING_TEXT_PAST","Zgodnie z Twoją prośbą wkrótce wyłączymy Twoje konto. Jeśli chcesz je zachować, skontaktuj się jak najszybciej z działem pomocy i wsparcia, aby anulować swoją prośbę."
"TID_CLAN_JOIN_FAILED_ALREADY_IN_THIS_CLAN","Jesteś już w tym klubie!"
"TID_CONFIRM_CHANGE_CLAN_TITLE","Zmienić klub?"
"TID_CONFIRM_CHANGE_CLAN","Jesteś już w klubie! Czy naprawdę chcesz zmienić klub?"
"TID_CONFIRM_CLAN_FULL_TITLE","Klub jest pełny!"
"TID_CONFIRM_CLAN_FULL","Nie udało się dołączyć do klubu <clan>. Klub jest pełny!"
"TID_BUTTON_CHANGE","Zmień"
"TID_CLAN_JOIN_FAILED_IN_TUTORIAL","Ukończ samouczek, aby dołączyć do klubu"
"TID_CLAN_INTRO_INVITE","UDOSTĘPNIJ ZAPROSZENIE"
"TID_INVITE_CLAN_TOKEN_ERROR","Podczas generowania zaproszenia wystąpił błąd"
"TID_ALLIANCE_INVITE_FAILED_NO_RIGHTS","Tylko dowódcy klubów mogą zapraszać nowych członków"
"TID_FRIENDS_FACEBOOK_CONNECT","Połącz"
"TID_FRIENDS_PAGE_INVITE","UDOSTĘPNIJ ZAPROSZENIE"
"TID_SHARE_GAME_ROOM_POST_MESSAGE","Kliknij ten link, aby dołączyć do drużyny z graczem <name> w grze Brawl Stars!"
"TID_SHARE_GAME_ROOM_POST_TITLE","Zaproś do drużyny"
"TID_ROOM_CODE_COPIED_TO_CLIPBOARD","Identyfikator drużyny skopiowany do schowka!"
"TID_ROOM_CODE_COPIED_TO_CLIPBOARD_CONFIRM","OK"
"TID_TEAM_INVITE_BUTTON_LABEL","UDOSTĘPNIJ KOD"
"TID_TEAM_INVITE_EXPIRED","Zaproszenie od gracza <NAME> wygasło"
"TID_TEAM_INVITATION_POPUP_TITLE","ZAPROSZENIE DO DRUŻYNY"
"TID_TEAM_INVITATION_POPUP_ACCEPT","ZAAKCEPTUJ"
"TID_TEAM_INVITATION_POPUP_REJECT","ODRZUĆ"
"TID_TEAM_INVITATION_POPUP_MUTE","WYCISZ <NAME>\nNA KOLEJNE 10 MINUT"
"TID_TEAM_INVITATION_POPUP_SYSTEM_INVITE","MECZ TURNIEJOWY"
"TID_TEAM_INVITATION_POPUP_MUTE_SYSTEM","WYCISZ\nNA KOLEJNE 10 MINUT"
"TID_BATTLE_ROYALE_5","Kwasowe jeziora"
"TID_DAILY_COINS_COLLECTED_END_SCREEN","Żetony z bitwy\nzostały wyczerpane"
"TID_SHOP_REAL_MONEY_PURCHASES_DISABLED_SPECIAL_BUILD","W tej wersji nie można dokonywać zakupów za pomocą prawdziwych pieniędzy"
"TID_SHOP_CHINA_WARNING","Ostrzeżenie: prosimy o rozważne korzystanie"
"TID_GATCHA_AD_STATUS_VIEW","OBEJRZYJ REKLAMĘ,\nABY PODWOIĆ NAGRODĘ!"
"TID_GATCHA_AD_STATUS_VIEW_CHOISELESS","ZDOBĄDŹ WIIĘCEJ NAGRÓD!"
"TID_GATCHA_AD_STATUS_OUT_OF_VIEWS","Wykorzystano dzienną liczbę wyświetleń"
"TID_GATCHA_AD_STATUS_NO_VIDEO","Brak filmików"
"TID_GATCHA_AD_CONTINUE_BUTTON_TITLE","KONTYNUUJ"
"TID_AD_DOUBLER_TITLE","WYBIERZ NAGRODĘ DO PODWOJENIA"
"TID_AD_DOUBLER_CONTINUE","KONTYNUUJ"
"TID_GATCHA_CONTINUE","DALEJ"
"TID_HINT_23","W zależności od specyfiki mapy i wydarzenia, niektórzy Zadymiarze sprawdzą się lepiej od pozostałych."
"TID_HINT_24","Postaci dysponujące atakami o dalekim zasięgu z reguły lepiej sobie radzą na otwartych mapach."
"TID_HINT_25","Natomiast walczący w bliskiej odległości najlepiej sprawdzą się na mapach z większą ilością osłon i gąszczy."
"TID_SPEC_ABI_SELF_DESTRUCT","Ostatni wybuch"
"TID_SPEC_ABI_SELF_DESTRUCT_DESC","Gdy działko Penny zostaje zniszczone, w stronę pobliskich wrogów trafia ostatnia seria <VALUE2> bomb, a każda z nich zadaje <c00cc00><VALUE1></c> pkt. obrażeń."
"TID_EVENT_LIST_BRAWL","GRAJ"
"TID_INVITE_COPIED_TO_CLIPBOARD","Link z zaproszeniem został skopiowany do schowka!"
"TID_INVITE_COPIED_TO_CLIPBOARD_CONFIRM","OK"
"TID_FRIEND_INVITE_POST_MESSAGE","Kliknij ten link, aby dodać użytkownika <friend> do znajomych w Brawl Stars!"
"TID_FRIEND_INVITE_POST_TITLE","Zaproś znajomego!"
"TID_ALLIANCE_JOIN_POST_MESSAGE","Kliknij ten link, aby dołączyć do mojego klubu w grze Brawl Stars!"
"TID_ALLIANCE_JOIN_POST_TITLE","Zaproś znajomego, aby dołączył do twojego klubu."
"TID_HOMESCREEN_MODE_LOCKED","W tej bitwie możesz wziąć udział po zdobyciu <COUNT> pucharów!"
"TID_GAMEROOMS_PLAYERS_ONLINE","<count> ZNAJOMYCH ONLINE"
"TID_ARTILLERY_DUDE_SHORT_DESC","STRZELEC"
"TID_HAMMER_DUDE_SHORT_DESC","WAGA CIĘŻKA"
"TID_HAMMER_DUDE_DESC","Frank robi zamach młotem w kierunku wrogów, wysyłając falę uderzeniową. Jego superatak to wyjątkowo potężne, ogłuszające wrogów uderzenie."
"TID_HAMMER_DUDE_WEAPON","CIOS MŁOTEM"
"TID_HAMMER_DUDE_WEAPON_DESC","Frank potrzebuje chwilę na przygotowanie ciosu młotem, ale uderzenie jest tak mocne, że towarzyszy mu potężna fala uderzeniowa."
"TID_HAMMER_DUDE_ULTI","OSZAŁAMIAJĄCE UDERZENIE"
"TID_HAMMER_DUDE_ULTI_DESC","Najsilniejszy cios Franka wysyła falę uderzeniową, która sieje zniszczenie i ogłusza wrogów na pewien czas."
"TID_SPEC_ABI_STEAL_SOULS2","Kradzież mocy"
"TID_SPEC_ABI_STEAL_SOULS2_DESC","Frank kradnie moc pokonanego Zadymiarza, zwiększając zadawane przez siebie obrażenia o <c00cc00><VALUE1>%</c> przez <VALUE2>s."
"TID_ONLINE_FRIENDS_TITLE","GRACZE ONLINE"
"TID_BATTLE_ROYALE_TEAM_INTRO_TEXT","Pokonajcie wszystkie drużyny na polu walki!"
"TID_VS_TEAM_SHOWDOWN","Każda drużyna przeciwko pozostałym!"
"TID_FIRST_WIN","GWIEZDNY ŻETON"
"TID_BATTLE_END_TEAM_DEATHMATCH_VICTORY","Twoja drużyna jest na 1. miejscu!"
"TID_HOMESCREEN_MODE_LOCKED_INFO","Odblokuje się po zdobyciu <count> pucharów"
"TID_HOMESCREEN_LEAGUE_BUTTON_TITLE","ALEJA PUCHARÓW"
"TID_HOMESCREEN_LEAGUE_BUTTON_COLLECT","ZBIERZ"
"TID_STAR_POWER_INFO","Gwiezdna moc: <cde9700><NAME></c>\n<DESC>"
"TID_STAR_POWERS_TITLE","GWIEZDNE MOCE"
"TID_ACCESSORIES_TITLE","GADŻETY"
"TID_ACCESSORY_TITLE","GADŻET"
"TID_ACCESSORIES_INFO","Gadżet: <cde9700><NAME></c>\n<DESC>"
"TID_STAR_POWER_STATUS_1_1","<c00ff00>WYBRANO</c>"
"TID_STAR_POWER_STATUS_0_0","Nie masz tej gwiezdnej mocy"
"TID_ACESSORIES_STATUS_0_0","Nie masz tego gadżetu"
"TID_STAR_POWERS_PICK","WYBIERZ"
"TID_LEAGUE_NAME_0","DREWNIANA"
"TID_LEAGUE_NAME_1","BRĄZOWA"
"TID_LEAGUE_NAME_2","SREBRNA"
"TID_LEAGUE_NAME_3","ZŁOTA"
"TID_LEAGUE_NAME_4","DIAMENTOWA"
"TID_LEAGUE_NAME_5","MISTRZOWSKA"
"TID_LEAGUE_NAME_6","ELITARNA"
"TID_LEAGUE_NAME_7","GWIAZDORSKA"
"TID_SPECIAL_EVENTS","CODZIENNE WYDARZENIE"
"TID_SPECIAL_EVENT","Wydarzenie specjalne:"
"TID_SPECIAL_EVENT_DESC","Zaglądaj tu każdego dnia, aby zagrać w codziennym wydarzeniu!"
"TID_SPECIAL_EVENTS_MOD","WYDARZENIE SPECJALNE"
"TID_SPECIAL_EVENT_MOD_DESC","Zaglądaj tu często, aby sprawdzić wydarzenie specjalne dnia!"
"TID_PLAYING_AGAIN","Zagraj ponownie <c11ee11><NUMBER>/<NUMBER2></c>"
"TID_PLAYING_AGAIN_NO_PLAYERS","Zagraj ponownie"
"TID_BRAWL_BOX_INFO_TITLE_1","INFORMACJE O DUŻEJ SKRZYNCE"
"TID_GATCHA_ERROR_NOT_ENOUGH_WINS","Zbierz 10 gwiezdnych żetonów, aby otworzyć dużą skrzynkę!"
"TID_KEY_BAR_INFO","Liczba <c33a5d7>żetonów</c>, które możesz uzyskać w bitwach.\n\nŻetony służą do otwierania skrzynek Zadymiarza."
"TID_KEY_BAR_INFO_DOUBLE_TOKEN_EVENT","IMPREZA Z PODWAJANIEM ŻETONÓW\nZdobądź w bitwach podwójną ilość <c33a5d7>żetonów</c>.\n\nOtworzysz dzięki nim skrzynki Zadymiarzy."
"TID_KEY_BAR_INFO_COIN_SHOWER_EVENT","DESZCZ MONET\nZdobywaj <cff8E1b>monety</c> w walce!\n\nZa każdy żeton zdobyty w regularnej bitwie otrzymasz dodatkową monetę. Dotyczy to też żetonów pomnożonych przez podwajacz!\n\nMonety służą do ulepszania Zadymiarzy."
"TID_NEW_ONLINE_FRIEND","GRACZ ONLINE"
"TID_NEW_GAME_ROOM","NOWA DRUŻYNA"
"TID_KEY_BAR_TITLE","ŻETONY DOSTĘPNE W BITWIE"
"TID_PLAYAGAIN_QUIT","WYJŚCIE"
"TID_BATTLE_END_WAITING","Oczekiwanie na pozostałych"
"TID_ERROR_REPLAY_WAITING","Powtórka już oczekuje"
"TID_ERROR_REPLAY_NOT_POSSIBLE","Powtórka niedostępna"
"TID_ERROR_SPECTATE_WAITING","Tryb oglądania w toku"
"TID_ERROR_SPECTATE_NOT_POSSIBLE","W tej chwili gracz nie bierze udziału w bitwie"
"TID_BRAWL_TV_STARTING","Wczytywanie BrawlTV..."
"TID_ERROR_BRAWL_TV_WAITING","BrawlTV już oczekuje"
"TID_BRAWL_TV_QUIT","BrawlTV, kanał <NUM>"
"TID_ERROR_BRAWL_TV_TUNE_FAILED","Brak treści w BrawlTV, kanał <NUM> - przełączanie"
"TID_BRAWL_TV_BATTLE_END_RETURN_HOME","Następny za <NUM>s."
"TID_BRAWL_TV_BATTLE_END_RETURN_HOME_SOON","Automatyczna zmiana"
"TID_BRAWL_TV_OFF_RETURN_HOME","Wyjdź z TV"
"TID_FIRST_WIN_INFO_SURVIVAL","Zdobądź <cff8E1b>gwiezdny żeton</c>, po raz pierwszy zdobywając miejsce w pierwszej czwórce w walce przeciwko innym graczom."
"TID_TEAM_POPOVER_YOUR_ROOM","To jest twoja drużyna"
"TID_ERROR_SPECTATE_NOT_POSSIBLE_TEAM","W tej chwili drużyna nie bierze udziału w bitwie"
"TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_THIS_TEAM","Nie można dołączyć. Jesteś już w tej drużynie"
"TID_TEAM_AD_JOIN_FAIL_FULL","Nie można dołączyć. Drużyna jest pełna."
"TID_HOMESCREEN_NOT_ENOUGH_TICKETS","Nie można rozpocząć gry. Za mało biletów"
"TID_HOMESCREEN_TEAMS_NOT_SUPPORTED","Drużyny nie mogą brać udziału w tym wydarzeniu"
"TID_GAME_MODE_UNLOCKED","ODBLOKOWANO"
"TID_ERROR_SPECTATE_DISABLED","Tryb oglądania został tymczasowo zablokowany z powodów technicznych"
"TID_SPECTATE_FOLLOW","Naciśnij, aby obserwować:"
"TID_SPECTATE_FOLLOWING","Obserwowani:"
"TID_FIRST_WIN_INFO_TICKETED_EVENT","Zdobądź <cff8E1b>gwiezdny żeton</c> w swojej pierwszej bitwie."
"TID_FIRST_WIN_INFO_TEAM_SURVIVAL","Zdobądź <cff8E1b>gwiezdny żeton</c>, po raz pierwszy zdobywając miejsce w pierwszej dwójce w bitwie przeciwko innym graczom."
"TID_FIRST_WIN_INFO_SURVIVAL_COMBINED","Zagraj przeciwko innym graczom i zdobądź miejsce w pierwszej czwórce w trybie Solo lub w pierwszej dwójce w trybie Duo, aby zdobyć <cff8E1b>gwiezdny żeton</c>."
"TID_CONNECTING_WAIT_FOR_SPECTATE","Oczekiwanie na tryb oglądania..."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS","OBEJRZYJ REKLAMĘ,\nABY PODWOIĆ JEDNĄ NAGRODĘ!\nPozostała liczba wyświetleń na dziś: <VIEWCOUNTREM>"
"TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW","OBEJRZYJ REKLAMĘ,\nABY PODWOIĆ JEDNĄ NAGRODĘ!\nPozostało Ci już tylko <VIEWCOUNTREM> wyświetlenie na dziś"
"TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS_CHOISELESS","ZDOBĄDŹ WIIĘCEJ NAGRÓD!\nPozostała liczba wyświetleń na dziś: <VIEWCOUNTREM>"
"TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW_CHOISELESS","ZDOBĄDŹ WIIĘCEJ NAGRÓD!\nPozostało Ci już tylko <VIEWCOUNTREM> wyświetlenie na dziś"
"TID_CANNON_DAMAGE","Obrażenia działa"
"TID_CANNON_HEALTH","PŻ działa"
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_OTHER","Ten gracz ma zbyt wiele oczekujących zaproszeń do grona znajomych. Spróbuj ponownie później."
