"TID","AR"
"TID_EVENT_ENDING","<GAMEMODE> على وشك الانتهاء!"
"TID_TEAM_DISPLAY_TITLE_CLAN","فرق الاتحاد"
"TID_TEAM_DISPLAY_TITLE_FRIENDS","فرق الأصدقاء"
"TID_TICKETS_REVEIVED","تم تلقي <AMOUNT> من تذاكر الأحداث!"
"TID_TUTORIAL_12","حصلنا على الجواهر. لنتوجه نحو المخرج!"
"TID_NO_TARGET_HINT","لا يوجد هدف متاح للإطلاق السريع!"
"TID_CAN_NOT_AUTOSHOOT","الإطلاق السريع غير متاح لهذا الزخم"
"TID_VS","ضد"
"TID_VS_SHOWDOWN","كل بطل يقاتل لصالح نفسه فقط!"
"TID_HAS_LASER_BALL_HINT","لا يمكن استخدام الإطلاق السريع أثناء حمل الكرة."
"TID_CLAN_RESPONSE_44","فشل الانضمام: أنت في اتحاد بالفعل"
"TID_SHOTGUN_GIRL_SHORT_DESC","مقاتلة"
"TID_GUNSLINGER_SHORT_DESC","فئة قناص"
"TID_BULL_DUDE_SHORT_DESC","عالي الصمود"
"TID_ROCKET_GIRL_SHORT_DESC","فئة قناص"
"TID_TNT_DUDE_SHORT_DESC","قذاف"
"TID_LUCHADOR_SHORT_DESC","عالي الصمود"
"TID_TRICKSHOT_DUDE_SHORT_DESC","فئة قناص"
"TID_CACTUS_SHORT_DESC","فئة قناص"
"TID_BARKEEP_SHORT_DESC","قذاف"
"TID_MECHANIC_SHORT_DESC","مقاتلة"
"TID_SHAMAN_SHORT_DESC","مقاتلة"
"TID_UNDERTAKER_SHORT_DESC","مقاتل سريع"
"TID_CROW_SHORT_DESC","مقاتل بالسم"
"TID_DEAD_MARIACHI_SHORT_DESC","داعم"
"TID_BOW_DUDE_SHORT_DESC","مقاتل"
"TID_SNIPER_SHORT_DESC","فئة قناص"
"TID_MINIGUN_DUDE_SHORT_DESC","داعم"
"TID_BLACK_HOLE_SHORT_DESC","فئة مقاتل"
"TID_BARREL_BOT_SHORT_DESC","عالي الصمود"
"TID_CLAN_INTRO_SUGGESTED_CLANS","الاتحادات المقترحة"
"TID_CLAN_INTRO_CREATE_TITLE","لم لا تنشئ اتحادك الخاص؟"
"TID_CLAN_INTRO_HEADER","الاتحادات"
"TID_CLAN_INFO_TITLE","بيانات الاتحاد"
"TID_CLAN_INFO_NO_DESCRIPTION","لا يوجد وصف للاتحاد"
"TID_EVENT_POPUP_TITLE","لنخض معركة!"
"TID_GOLDRUSH_8","سهول الياقوت"
"TID_USE_AUTOFIRE_TUTORIAL","اضغط على <ccc0033>وحدة التحكم الحمراء</c> لإطلاق النار على أقرب عدو!"
"TID_BRAWL_BOX_INFO_1","يمنحك صندوق كبير واحد جوائز تعادل تلك التي تحصل عليها عند فتح 3 صناديق عراك، لكن توزع نقاط القوة على عدد أقل من الأبطال.\n\nتسحب 3 جوائز عشوائية، واحتمالاتها كالتالي:"
"TID_BRAWL_BOX_INFO_2","يحتوي كل صندوق عراك على أحد العناصر التالية: بطل جديد ،أو نقاط قوة + نقود، أو قدرة خاصة. إلى جانب ذلك، يمكنك الحصول على مضاعفات أقراص في صورة مكافأة إضافية.\n\nاحتمالات المكافآت كالتالي:"
"TID_BRAWL_BOX_INFO_3","يمنحك صندوق عملاق واحد جوائز تعادل تلك التي تحصل عليها عند فتح 10 صناديق عراك، لكن توزع نقاط القوة على عدد أقل من الأبطال.\n\nتسحب 10 جوائز عشوائية، واحتمالاتها كالتالي:"
"TID_BRAWL_BOX_INFO_CATEGORIES","\n\n<CATEGORY1> : <NUM1>%\nبطل نادر : <NUM2>%<GAR_HERO_1>\nبطل بالغ الندرة : <NUM3>%<GAR_HERO_2>\nبطل استثنائي : <NUM4>%<GAR_HERO_3>\nبطل خرافي : <NUM5>%<GAR_HERO_4>\nبطل أسطوري : <NUM6>%<GAR_HERO_5>\nقدرة خاصة : <NUM7>%<GAR_STAR_POWER>\nجهاز: <NUM8>%<GAR_ACCESSORY>"
"TID_BRAWL_BOX_INFO_FOOTER","\n\nبالإضافة إلى ذلك، في كل مرة تفتح صندوقًا، لديك فرصة 9% للحصول على جواهر، وفرصة 3% للحصول على مضاعف الأقراص. تذكر أن القدرات الخاصة متوفرة للأبطال الذين بلغوا المستوى 9 فقط. بعد فتح جميع المكافآت من نوع معين، على سبيل المثال، الأبطال من فئة نادر، ستزيد لديك فرصة الحصول على باقي المكافآت الأخرى. نظام الحظ: لتحري العدل بخصوص فرص صناديق العراك، وضعنا نظام الحظ الذي يؤثر على احتمالات ظهور الأبطال الأسطوريين. في كل مرة تفتح صندوقًا ولا تحصل منه على بطل جديد، يرتفع معدل الحظ، والعكس صحيح؛ حيث ينخفض معدل الحظ لديك في كل مرة تحصل فيها على بطل جديد حسب فئة ندرته. عندما يرتفع معدل الحظ لديك بدرجة كافية، تزيد فرصة حصولك على بطل أسطوري. أما معدل الحظ المنخفض، فيعني أنه سيصعب الحصول على بطل أسطوري جديد. حرصنا على تحديد محتويات صناديق العراك الأولية مسبقًا لضمان بداية عادلة لجميع اللاعبين."
"TID_BRAWL_BOX_INFO_POWER_POINTS_AND_COINS","نقاط قوة + نقود"
"TID_BRAWL_BOX_INFO_COINS","النقود"
"TID_BRAWL_BOX_INFO_GUARANTEED_HERO_IN","(مضمون بالسحب <DRAWS> من المرات)"
"TID_BRAWL_BOX_INFO_GUARANTEED_STARPOWER_IN","(مضمون بالسحب <DRAWS> من المرات)"
"TID_BRAWL_BOX_INFO_GUARANTEED_ACCESSORY_IN","(مضمون بالسحب <DRAWS> من المرات)"
"TID_POWER_DROP_VALUE","+<VALUE>"
"TID_COLLECT","التحصيل"
"TID_PAGE_FRIENDS_TITLE","الأصدقاء"
"TID_PAGE_FRIENDS_TITLE2","خض معركة مع أصدقائك!"
"TID_PAGE_FRIENDS_ADD_FRIENDS","إضافة أصدقاء"
"TID_PAGE_FRIENDS_NO_FRIENDS_NO_LOGIN","سجل الدخول إلى فيسبوك أو ابحث عن أصدقاء في اللعبة للعب معهم!"
"TID_PAGE_FRIENDS_NO_FRIENDS","سجل الدخول إلى فيسبوك أو ابحث عن أصدقاء في اللعبة للعب معهم!"
"TID_FRIENDS_TITLE","<COUNT> من الأصدقاء"
"TID_FRIENDS_TAB_1","الأصدقاء"
"TID_FRIENDS_TAB_2","المقترحون"
"TID_FRIENDS_TAB_3","الدعوات"
"TID_TOTAL","الإجمالي"
"TID_BRAWL_BOX_INFO_TITLE_2","معلومات صندوق العراك"
"TID_BRAWL_BOX_INFO_TITLE_3","معلومات الصندوق العملاق"
"TID_OFFER_ALSO_INCLUDES","العرض يشمل أيضًا"
"TID_OFFER_VALUE_TITLE","القيمة"
"TID_OFFER_VALUE","+<VALUE>%"
"TID_SHOP_OFFER_COUNTDOWN","<TIME>"
"TID_USE_ULTI_TUTORIAL","اسحب <cff9900>وحدة التحكم الصفراء</c> للتصويب!"
"TID_HERO_STATS_TITLE","الإحصاءات"
"TID_GATCHA_SCREEN_ITEMS_REMAINING","العناصر المتبقية:"
"TID_GATCHA_SCREEN_BONUS_ITEMS_REMAINING","المكافآت المتبقية:"
"TID_GATCHA_SCREEN_YOU_GOT","حصلت على:"
"TID_GATCHA_SCREEN_BONUSES","عناصر إضافية:"
"TID_GATCHA_SCREEN_SUMMARY_UNLOCKED","مفتوح!"
"TID_HERO_LIST_ITEM_UPGRADE","الترقية"
"TID_SHOP_CLAMIMED","تم التحصيل"
"TID_SHOP_OFFER_PURCHASE_ERROR_CLAIMED","تم الحصول على هذا العنصر بالفعل."
"TID_ONLINE","متصل"
"TID_LEADERBOARD","لوحة الصدارة"
"TID_NOT_ENOUGH_TICKETS_INFO","\n\nنفدت تذاكرك!"
"TID_HERO_LIST_NEW","جديد"
"TID_HAMMER_DUDE","فرانك"
"TID_HOLD_PHONE_LIKE_THIS","أمسك بجهازك هكذا."
"TID_HINT_FINGER_TAP_TAP","اضغط! اضغط!"
"TID_HINT_FINGER_DRAG","اسحب للتصويب"
"TID_MOVE_HERE","انتقل إلى هنا"
"TID_HINT_HEADER","ملحوظة:"
"TID_HINT_0","يمكنك الضغط على <ccc0033>وحدة التحكم الصفراء</c> للإطلاق السريع لضربة الزخم على أقرب عدو."
"TID_HINT_1","يمكنك الضغط على <cff9900>وحدة التحكم الصفراء</c> للإطلاق السريع لضربة الزخم على أقرب عدو."
"TID_HINT_2","يمكنك سحب <ccc0033>وحدة التحكم الحمراء</c> لتصويب طلقاتك."
"TID_HINT_3","يمكنك سحب <cff9900>وحدة التحكم الصفراء</c> لتصويب ضربة الزخم."
"TID_HINT_4","يمكنك إلغاء الضربة المصوبة عن طريق سحب وحدة التحكم مرة أخرى إلى الوسط."
"TID_HINT_5","تتم المطابقة على أساس كؤوس البطل الذي تلعب به، مما يسهل الحصول على كؤوس باستخدام بطل فتحته مؤخرًا."
"TID_HINT_6","الحصول على المزيد من الأبطال سيسهل التقدم في إجمالي الكؤوس والحصول على مزيد من المكافآت."
"TID_HINT_7","تلحق طلقات بايبر المزيد من الضرر كلما طال مداها."
"TID_HINT_8","ضربة الزخم الخاصة ببارلي فعالة في النطاق القصير لأن الزجاجات تسقط في منطقة محدودة."
"TID_HINT_9","في كل مرة ترتد رصاصات ريكو تنطلق إلى مدى أبعد."
"TID_HINT_10","يمكنك تفعيل <ccc0033>وحدة التحكم الحمراء</c> في أي مكان على الجانب الأيمن من الشاشة لإطلاق النار."
"TID_HINT_11","لكل من هجومك وزخمك وضعا إطلاق نار: اضغط للإطلاق السريع واسحب للتصويب."
"TID_HINT_12","يفيد تصويب الطلقات في تتبع الأعداء المتحركين."
"TID_HINT_13","يفيد الإطلاق السريع في الرد سريعًا على الهجوم عندما لا يتوفر الوقت للتصويب."
"TID_HINT_14","تعمل ميزة الإطلاق السريع جيدًا عند استخدامها على الأعداء القريبين منك."
"TID_HINT_15","سيتمكن الأعداء من رصدك عندما تكون مختبئًا بين الشجيرات إذا اقتربوا منك بدرجة كافية."
"TID_HINT_16","تستهدف ميزة الإطلاق السريع أقرب الأعداء مباشرةً ولا تصيب العدو المتحرك."
"TID_HINT_17","يفيد تصويب الطلقات في التحقق من وجود أعداء بين الشجيرات."
"TID_HINT_18","تعمل ميزة الإطلاق السريع جيدًا عند استخدامها على الأعداء الساكنين."
"TID_HINT_19","تعمل ميزة الإطلاق السريع جيدًا عند استخدامها على الأعداء في طريقك المباشر سواء القادمين نحوك أو الهاربين منك."
"TID_HINT_20","إذا كنت مختبئًا بين الشجيرات سيستطيع الأعداء رؤيتك إذا قمت بالهجوم أو تلقيت الضرر."
"TID_HINT_21","يمكنك استخدام الشجيرات كساتر للاختباء من الأعداء."
"TID_HINT_22","عند استخدام الإطلاق السريع، سيطلق سلاحك النار حتى لو لم يكن هناك أعداء في النطاق."
"TID_VS_TUTORIAL","اجمع كل <ce662f9>الجواهر</c>"
"TID_USE_MANUAL_FIRE_TUTORIAL","اسحب <ccc0033>وحدة التحكم الحمراء</c> للتصويب!"
"TID_TUTORIAL_GOOD_JOB_2","أحسنت! تشير <cff6633>الأشرطة البرتقالية</c> إلى الذخيرة الخاصة بك. سأعيد التعبئة بأسرع ما يمكن."
"TID_TUTORIAL_GOOD_JOB_3","أحسنت! مهاجمة الأعداء تشحن <cff9900>هجوم الزخم</c>!"
"TID_TUTORIAL_GOOD_JOB_4","أحسنت!"
"TID_SPECTATE_PLAYER_BUTTON","المشاهدة"
"TID_SPECTATE_FAILED","فشلت المشاهدة"
"TID_ACCOUNT_DISABLED_TEXT","تعطيل الحساب"
"TID_ACCOUNT_DELETED_ON_REQUEST_TEXT","تم تعطيل هذا الحساب استجابةً لطلب حذف، ولا يمكن استرداده."
"TID_ACCOUNT_DELETED_DUE_INACTIVITY_TEXT","تم تعطيل هذا الحساب بسبب الخمول، ولا يمكن استرداده."
"TID_ACCOUNT_DELETION_WARNING_TITLE","تحذير حذف الحساب"
"TID_ACCOUNT_DELETION_WARNING_TEXT","استجابةً لطلبك، سيتم إلغاء تفعيل حسابك قريبًا. في حال تغيير رأيك، تواصل مع قسم المساعدة والدعم في أسرع وقت ممكن لإلغاء طلبك."
"TID_ACCOUNT_DELETION_WARNING_TEXT_PAST","استجابةً لطلبك، سيتم إلغاء تفعيل حسابك قريبًا. في حال تغيير رأيك، تواصل مع قسم المساعدة والدعم في أسرع وقت ممكن لإلغاء طلبك."
"TID_CLAN_JOIN_FAILED_ALREADY_IN_THIS_CLAN","أنت في هذا الاتحاد بالفعل!"
"TID_CONFIRM_CHANGE_CLAN_TITLE","أتريد تغيير الاتحاد؟"
"TID_CONFIRM_CHANGE_CLAN","أنت بالفعل في اتحاد! هل ترغب بالتأكيد في تغيير الاتحاد؟"
"TID_CONFIRM_CLAN_FULL_TITLE","الاتحاد مكتمل!"
"TID_CONFIRM_CLAN_FULL","تعذر الانضمام إلى <clan>. الاتحاد مكتمل!"
"TID_BUTTON_CHANGE","التغيير"
"TID_CLAN_JOIN_FAILED_IN_TUTORIAL","أكمل العرض التوضيحي للانضمام إلى اتحاد"
"TID_CLAN_INTRO_INVITE","مشاركة الدعوة"
"TID_INVITE_CLAN_TOKEN_ERROR","خطأ في إنشاء دعوة"
"TID_ALLIANCE_INVITE_FAILED_NO_RIGHTS","يمكن لرئيس الاتحاد فقط دعوة أعضاء جدد"
"TID_FRIENDS_FACEBOOK_CONNECT","الاتصال"
"TID_FRIENDS_PAGE_INVITE","شارك الدعوة"
"TID_SHARE_GAME_ROOM_POST_MESSAGE","اضغط على هذا الرابط للانضمام إلى فريق مع <name> في Brawl Stars!"
"TID_SHARE_GAME_ROOM_POST_TITLE","الدعوة إلى فريق"
"TID_ROOM_CODE_COPIED_TO_CLIPBOARD","تم نسخ معرف الفريق إلى الحافظة!"
"TID_ROOM_CODE_COPIED_TO_CLIPBOARD_CONFIRM","موافق"
"TID_TEAM_INVITE_BUTTON_LABEL","مشاركة الرمز"
"TID_TEAM_INVITE_EXPIRED","انتهت صلاحية الدعوة من <NAME>"
"TID_TEAM_INVITATION_POPUP_TITLE","دعوة فريق"
"TID_TEAM_INVITATION_POPUP_ACCEPT","القبول"
"TID_TEAM_INVITATION_POPUP_REJECT","الرفض"
"TID_TEAM_INVITATION_POPUP_MUTE","تعطيل الإشعارات من <NAME>\nللدقائق الـ 10 التالية."
"TID_TEAM_INVITATION_POPUP_SYSTEM_INVITE","مواجهة البطولة"
"TID_TEAM_INVITATION_POPUP_MUTE_SYSTEM","تعطيل إشعارات\nللدقائق الـ 10 التالية"
"TID_BATTLE_ROYALE_5","البحيرات الحمضية"
"TID_DAILY_COINS_COLLECTED_END_SCREEN","استهلكت\nأقراص المعارك"
"TID_SHOP_REAL_MONEY_PURCHASES_DISABLED_SPECIAL_BUILD","لم يتم تمكين عمليات الشراء بالمال الحقيقي في هذا الإصدار"
"TID_SHOP_CHINA_WARNING","تنبيه: يرجى الاستمتاع باللعب في حدود معقولة."
"TID_GATCHA_AD_STATUS_VIEW","شاهد الإعلان\nلمضاعفة إحدى المكافآت!"
"TID_GATCHA_AD_STATUS_VIEW_CHOISELESS","احصل على المزيد من المكافآت!"
"TID_GATCHA_AD_STATUS_OUT_OF_VIEWS","المشاهدات اليومية المستهلكة"
"TID_GATCHA_AD_STATUS_NO_VIDEO","لا يوجد فيديو"
"TID_GATCHA_AD_CONTINUE_BUTTON_TITLE","المتابعة"
"TID_AD_DOUBLER_TITLE","اختر المكافأة التي تريد مضاعفتها"
"TID_AD_DOUBLER_CONTINUE","المتابعة"
"TID_GATCHA_CONTINUE","المتابعة"
"TID_HINT_23","بعض الأبطال يتميزون بأداء أفضل في خرائط وأوضاع لعب معينة أكثر من غيرها."
"TID_HINT_24","الأبطال ذوو المدى الطويل يتمتعون بأداء أفضل عمومًا في الخرائط التي تكثر بها المساحات المفتوحة."
"TID_HINT_25","الأبطال ذوو المدى القريب يتمتعون بأداء أفضل عمومًا في الخرائط التي تكثر بها السواتر والشجيرات."
"TID_SPEC_ABI_SELF_DESTRUCT","الانفجار الأخير"
"TID_SPEC_ABI_SELF_DESTRUCT_DESC","عندما يدمَّر مدفع بيني، يطلق سلسلة أخيرة مكونة من <VALUE2> من القنابل، تلحق كل واحدة منها <c00cc00><VALUE1></c> من نقاط الضرر."
"TID_EVENT_LIST_BRAWL","اللعب"
"TID_INVITE_COPIED_TO_CLIPBOARD","تم نسخ رابط الدعوة إلى الحافظة!"
"TID_INVITE_COPIED_TO_CLIPBOARD_CONFIRM","موافق"
"TID_FRIEND_INVITE_POST_MESSAGE","اضغط على هذا الرابط لإضافة <friend> إلى أصدقائك في Brawl Stars!"
"TID_FRIEND_INVITE_POST_TITLE","دعوة صديق!"
"TID_ALLIANCE_JOIN_POST_MESSAGE","اضغط على هذا الرابط للانضمام إلى اتحادي في Brawl Stars!"
"TID_ALLIANCE_JOIN_POST_TITLE","قم بدعوة صديق للانضمام إلى اتحادك!"
"TID_HOMESCREEN_MODE_LOCKED","ابلغ حد <COUNT> من إجمالي الكؤوس لخوض المعركة هنا!"
"TID_GAMEROOMS_PLAYERS_ONLINE","<count> من الأصدقاء المتصلين"
"TID_ARTILLERY_DUDE_SHORT_DESC","فئة قناص"
"TID_HAMMER_DUDE_SHORT_DESC","عالي الصمود"
"TID_HAMMER_DUDE_DESC","يلوح فرانك بمطرقته ليطيح بالأعداء ويرسل موجة صدمات. ويتمثل هجوم الزخم لديه في ضربة قوية تضعف الأعداء."
"TID_HAMMER_DUDE_WEAPON","ضربة المطرقة"
"TID_HAMMER_DUDE_WEAPON_DESC","يستغرق فرانك بعض الوقت لتسديد ضربة المطرقة، ولكنها ضربة شديدة للغاية تسبب ارتجاجات."
"TID_HAMMER_DUDE_ULTI","طرقة الصاعقة"
"TID_HAMMER_DUDE_ULTI_DESC","يطلق فرانك ضربته العظيمة، فيرسل صدمة تدمر البيئة وتضعف الأعداء لفترة من الوقت."
"TID_SPEC_ABI_STEAL_SOULS2","استنزاف القوى"
"TID_SPEC_ABI_STEAL_SOULS2_DESC","يسلب فرانك قوة الأبطال الذين يهزمهم، فيزيد ضرره بنسبة <c00cc00><VALUE1> بالمائة</c> لمدة <VALUE2> ث."
"TID_ONLINE_FRIENDS_TITLE","اللاعبون المتصلون بالشبكة"
"TID_BATTLE_ROYALE_TEAM_INTRO_TEXT","كونوا الفريق الناجي الوحيد!"
"TID_VS_TEAM_SHOWDOWN","جميع الفرق تتنافس ضد بعضها!"
"TID_FIRST_WIN","قرص النجوم"
"TID_BATTLE_END_TEAM_DEATHMATCH_VICTORY","فريقك الأول!"
"TID_HOMESCREEN_MODE_LOCKED_INFO","يفتح عند <count> من الكؤوس."
"TID_HOMESCREEN_LEAGUE_BUTTON_TITLE","مسار الكؤوس"
"TID_HOMESCREEN_LEAGUE_BUTTON_COLLECT","التحصيل"
"TID_STAR_POWER_INFO","القدرة الخاصة: <cde9700><NAME></c>\n<DESC>"
"TID_STAR_POWERS_TITLE","القدرات الخاصة"
"TID_ACCESSORIES_TITLE","الأجهزة"
"TID_ACCESSORY_TITLE","جهاز"
"TID_ACCESSORIES_INFO","جهاز: <cde9700><NAME></c>\n<DESC>"
"TID_STAR_POWER_STATUS_1_1","<c00ff00>محدد</c>"
"TID_STAR_POWER_STATUS_0_0","لا تملك هذه القدرة الخاصة."
"TID_ACESSORIES_STATUS_0_0","لا تملك هذا الجهاز"
"TID_STAR_POWERS_PICK","اختيار"
"TID_LEAGUE_NAME_0","الخشبي"
"TID_LEAGUE_NAME_1","البرونزي"
"TID_LEAGUE_NAME_2","الفضي"
"TID_LEAGUE_NAME_3","الذهبي"
"TID_LEAGUE_NAME_4","الماسي"
"TID_LEAGUE_NAME_5","الفائق"
"TID_LEAGUE_NAME_6","النخبة"
"TID_LEAGUE_NAME_7","المحترفون"
"TID_SPECIAL_EVENTS","حدث يومي"
"TID_SPECIAL_EVENT","الحدث الخاص:"
"TID_SPECIAL_EVENT_DESC","عُد كل يوم للمشاركة في الحدث اليومي!"
"TID_SPECIAL_EVENTS_MOD","الحدث الخاص:"
"TID_SPECIAL_EVENT_MOD_DESC","راجع بانتظام للاطلاع على الحدث الخاص لليوم!"
"TID_PLAYING_AGAIN","اللعب مجددًا <c11ee11><NUMBER2>/<NUMBER></c>"
"TID_PLAYING_AGAIN_NO_PLAYERS","اللعب مجددًا"
"TID_BRAWL_BOX_INFO_TITLE_1","معلومات الصندوق الكبير"
"TID_GATCHA_ERROR_NOT_ENOUGH_WINS","اجمع 10 أقراص نجوم للحصول على صندوق كبير!"
"TID_KEY_BAR_INFO","كمية <c33a5d7>الأقراص</c> التي يمكن أن تربحها من المعارك.\n\nتُستخدم الأقراص لفتح صناديق العراك."
"TID_KEY_BAR_INFO_DOUBLE_TOKEN_EVENT","حدث الأقراص المضاعفة\nاربح ضعف <c33a5d7>الأقراص</c> من المعارك العادية.\n\nتُستخدم الأقراص لفتح صناديق العراك."
"TID_KEY_BAR_INFO_COIN_SHOWER_EVENT","حدث سيل النقود\nاربح<cff8E1b>نقودًا</c> من المعارك.\n\nستحصل على نقود إضافية عن كل قرص تكسبه من المعارك العادية، ويشمل ذلك الأقراص التي تكسبها من مضاعف الأقراص.\n\nتُستخدم النقود لترقية الأبطال."
"TID_NEW_ONLINE_FRIEND","لاعب متصل"
"TID_NEW_GAME_ROOM","فريق جديد"
"TID_KEY_BAR_TITLE","الأقراص المتوفرة من المعركة"
"TID_PLAYAGAIN_QUIT","الخروج"
"TID_BATTLE_END_WAITING","في انتظار الآخرين"
"TID_ERROR_REPLAY_WAITING","هذه الإعادة في انتظار العرض"
"TID_ERROR_REPLAY_NOT_POSSIBLE","إعادة عرض غير متوفرة"
"TID_ERROR_SPECTATE_WAITING","طلب المشاهدة معلق"
"TID_ERROR_SPECTATE_NOT_POSSIBLE","اللاعب لا يخوض مواجهة حاليًا"
"TID_BRAWL_TV_STARTING","BrawlTV قيد التحميل..."
"TID_ERROR_BRAWL_TV_WAITING","BrawlTV قيد الانتظار"
"TID_BRAWL_TV_QUIT","BrawlTV رقم <NUM>"
"TID_ERROR_BRAWL_TV_TUNE_FAILED","لا شيء على BrawlTV رقم <NUM> - جارٍ البحث"
"TID_BRAWL_TV_BATTLE_END_RETURN_HOME","يبدأ الفيديو التالي بعد <NUM> ث"
"TID_BRAWL_TV_BATTLE_END_RETURN_HOME_SOON","تشغيل تلقائي"
"TID_BRAWL_TV_OFF_RETURN_HOME","الخروج"
"TID_FIRST_WIN_INFO_SURVIVAL","اربح <cff8E1b>قرص النجوم</c> باحتلال أحد المراكز الأربعة الأولى ضد اللاعبين الآخرين."
"TID_TEAM_POPOVER_YOUR_ROOM","هذا هو فريقك"
"TID_ERROR_SPECTATE_NOT_POSSIBLE_TEAM","الفريق لا يخوض مواجهة حاليًا"
"TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_THIS_TEAM","لا يمكن الانضمام. أنت بالفعل في هذا الفريق."
"TID_TEAM_AD_JOIN_FAIL_FULL","تعذر الانضمام. الفريق مكتمل."
"TID_HOMESCREEN_NOT_ENOUGH_TICKETS","تعذر بدء المواجهة. التذاكر غير كافية."
"TID_HOMESCREEN_TEAMS_NOT_SUPPORTED","هذا الوضع لا يدعم اللعب في فريق."
"TID_GAME_MODE_UNLOCKED","مفتوح"
"TID_ERROR_SPECTATE_DISABLED","وضع المشاهدة معطل مؤقتًا لأسباب تقنية."
"TID_SPECTATE_FOLLOW","اضغط للمتابعة:"
"TID_SPECTATE_FOLLOWING","متابع:"
"TID_FIRST_WIN_INFO_TICKETED_EVENT","اربح <cff8E1b>قرص نجوم</c> من معركتك الأولى."
"TID_FIRST_WIN_INFO_TEAM_SURVIVAL","اربح <cff8E1b>قرص نجوم</c> باحتلال المركز الأول أو الثاني ضد اللاعبين الآخرين."
"TID_FIRST_WIN_INFO_SURVIVAL_COMBINED","واجه لاعبين آخرين واحتل ترتيبًا في المراكز الأربعة الأولى في الوضع الفردي أو الترتيب الأول أو الثاني في الوضع الزوجي لربح <cff8E1b>قرص النجوم</c>."
"TID_CONNECTING_WAIT_FOR_SPECTATE","في انتظار المشاهدة..."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS","شاهد الإعلان\nلمضاعفة مكافأة واحدة!\nتبقت <VIEWCOUNTREM> من المشاهدات لليوم."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW","شاهد الإعلان\nلمضاعفة مكافأة واحدة!\nتبقت <VIEWCOUNTREM> من المشاهدات لليوم."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS_CHOISELESS","احصل على المزيد من المكافآت!\n<VIEWCOUNTREM> من المشاهدات متبقية اليوم"
"TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW_CHOISELESS","احصل على المزيد من المكافآت!\n<VIEWCOUNTREM> من المشاهدات متبقية اليوم"
"TID_CANNON_DAMAGE","ضرر المدفع"
"TID_CANNON_HEALTH","صحة المدفع"
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_OTHER","لدى هذا اللاعب عدد كبير جدًا من طلبات الصداقة المعلقة. الرجاء المحاولة مرة أخرى لاحقًا."
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_YOU","لقد قمت بإرسال عدد كبير جدًا من طلبات الصداقة. قم بإزالة أحدها وحاول مرة أخرى."
"TID_ADD_FRIEND_ERROR_GENERIC","تعذر إرسال دعوة صداقة. الرجاء المحاولة مرة أخرى لاحقًا."
"TID_ADD_FRIEND_ERROR_DOES_NOT_EXIST","اللاعب الذي حاولت إضافته غير موجود."
"TID_ADD_FRIEND_ERROR_OWN_AVATAR","لا يمكن دعوة نفسك كصديق!"
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_OTHER","صديقك لديه عدد كبير من الأصدقاء. الرجاء المحاولة مرة أخرى لاحقًا."
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_YOU","لديك عدد كبير من الأصدقاء. قم بإزالة أحدهم إذا كنت ترغب في إضافة أصدقاء جدد."
"TID_HINT_26","تلحق بيني ضررًا بالغًا بهجومها بأسلوب الرش إذا اجتمعت أهدافها في مكان واحد."
"TID_HINT_27","يتيح لك تكوين فريق جمع زملائك من الاتحاد والتخطيط للمواجهة واختيار تشكيلة جيدة من الأبطال."
"TID_HINT_28","جرب خوض المواجهات الودية للتدرب على لعب الأحداث، وعقد منافسات ودية والمزيد!"
"TID_HINT_29","بعد خوض مواجهة جيدة مع زملائك الجدد، يمكنك الضغط على 'اللعب مجددًا' للعب مواجهة أخرى معهم!"
"TID_HINT_30","يُسمح لك في المواجهات الودية باختيار أي حدث أو خريطة. كما تتم ترقية الأبطال بالكامل."
"TID_HINT_31","يتوقف فرانك لتنفيذ هجومه والزخم، مما يعطي الفرصة لخصومه للخروج من نطاقه."
"TID_EXPERIENCE","الخبرة"
"TID_HINT_32","لا تستهلك أحداث التذاكر شريط الأقراص، وإنما تتطلب التذاكر للعبها."
"TID_HINT_33","يمكنك إرسال دعوات صداقة إلى زملائك في الاتحاد من قائمة أفراد الاتحاد."
"TID_HINT_34","يمكنك إرسال دعوات صداقة إلى أعضاء فريقك."
"TID_HINT_35","بعد خوض عدد من المواجهات الجيدة مع لاعب ما، يمكنك دعوته ليكون صديقك من قائمة الأصدقاء المقترحين."
"TID_HINT_36","يمكنك إرسال دعوات صداقة إلى أعضاء فريقك."
"TID_HINT_37","يمكنك استخدام زر الإعلان للإعلان عن فريقك لأصدقائك وزملائك في الاتحاد."
"TID_COOP_GENERATED","ساحة المعركة"
"TID_MECHANIC_KNIGHT_SKIN","جيسي فارسة التنين"
"TID_FRANK_CAVEMAN_SKIN","فرانك رجل الكهف"
"TID_SOLO","فردي"
"TID_DUO","زوجي"
