"TID","HE"
"TID_SPEC_ABI_SELF_DESTRUCT","פיצוץ אחרון"
"TID_SPEC_ABI_SELF_DESTRUCT_DESC","כשהתותח של פני נהרס, הוא יורה מטח אחרון של <VALUE2> פצצות שמכוונות לאויבים בסביבה. כל אחת מהן גורמת לנזק של <c00cc00><VALUE1></c>."
"TID_EVENT_LIST_BRAWL","משחק"
"TID_INVITE_COPIED_TO_CLIPBOARD","קישור להזמנה הועתק ללוח!"
"TID_INVITE_COPIED_TO_CLIPBOARD_CONFIRM","אישור"
"TID_FRIEND_INVITE_POST_MESSAGE","יש ללחוץ על הקישור להוספת <friend> כחבר ב-Brawl Stars!"
"TID_FRIEND_INVITE_POST_TITLE","הזמנת חבר!"
"TID_ALLIANCE_JOIN_POST_MESSAGE","יש ללחוץ על הקישור להצטרפות למועדון ב-Brawl Stars!"
"TID_ALLIANCE_JOIN_POST_TITLE","כדאי להזמין חבר להצטרף למועדון!"
"TID_HOMESCREEN_MODE_LOCKED","דרוש מספר כולל של <COUNT> גביעים כדי להילחם כאן!"
"TID_GAMEROOMS_PLAYERS_ONLINE","<count> חברים מחוברים"
"TID_ARTILLERY_DUDE_SHORT_DESC","צלפית"
"TID_HAMMER_DUDE_SHORT_DESC","משקל כבד"
"TID_HAMMER_DUDE_DESC","פרנק מניף את הפטיש שלו אל עבר האויבים ויוצר גל הלם. תכונת הסופר שלו היא מכה חזקה במיוחד שמהממת את האויבים!"
"TID_HAMMER_DUDE_WEAPON","מכת פטיש"
"TID_HAMMER_DUDE_WEAPON_DESC","פרנק לוקח ת‘זמן כדי להכין את מכת הפטיש שלו, אבל כשהיא נוחתת היא כל כך חזקה שהיא יוצרת גל הלם."
"TID_HAMMER_DUDE_ULTI","מכה משתקת"
"TID_HAMMER_DUDE_ULTI_DESC","המתקפה החזקה ביותר של פרנק יוצרת גל הלם שהורס את הסביבה ומשתק את האויבים לזמן מה."
"TID_SPEC_ABI_STEAL_SOULS2","גניבת כוח"
"TID_SPEC_ABI_STEAL_SOULS2_DESC","פרנק גונב את הכוח של הבראולר שהוא מביס, ומגדיל את הנזק שלו ב-<c00cc00><VALUE1>%</c> למשך <VALUE2> שניות!"
"TID_ONLINE_FRIENDS_TITLE","שחקנים מחוברים"
"TID_BATTLE_ROYALE_TEAM_INTRO_TEXT","הקבוצה השורדת האחרונה!"
"TID_VS_TEAM_SHOWDOWN","כל הקבוצות נלחמות זו בזו!"
"TID_FIRST_WIN","טוקן כוכב"
"TID_BATTLE_END_TEAM_DEATHMATCH_VICTORY","הקבוצה שלך מספר 1!"
"TID_HOMESCREEN_MODE_LOCKED_INFO","ייפתח בעוד <count> גביעים"
"TID_HOMESCREEN_LEAGUE_BUTTON_TITLE","צבירת גביעים"
"TID_HOMESCREEN_LEAGUE_BUTTON_COLLECT","איסוף"
"TID_STAR_POWER_INFO","כוח כוכב: <cde9700><NAME></c>\n<DESC>"
"TID_STAR_POWERS_TITLE","כוחות כוכב"
"TID_ACCESSORIES_TITLE","גאדג‘טים"
"TID_ACCESSORY_TITLE","גאדג‘ט"
"TID_ACCESSORIES_INFO","גאדג‘ט: <cde9700><NAME></c>\n<DESC>"
"TID_STAR_POWER_STATUS_1_1","<c00ff00>נבחר</c>"
"TID_STAR_POWER_STATUS_0_0","כוח הכוכב הזה לא בבעלותך"
"TID_ACESSORIES_STATUS_0_0","אין לך גאדג‘ט זה"
"TID_STAR_POWERS_PICK","בחירה"
"TID_LEAGUE_NAME_0","עץ"
"TID_LEAGUE_NAME_1","ארד"
"TID_LEAGUE_NAME_2","כסף"
"TID_LEAGUE_NAME_3","זהב"
"TID_LEAGUE_NAME_4","יהלום"
"TID_LEAGUE_NAME_5","מאסטר"
"TID_LEAGUE_NAME_6","אליטה"
"TID_LEAGUE_NAME_7","אולסטאר"
"TID_SPECIAL_EVENTS","אירוע יומי"
"TID_SPECIAL_EVENT","אירוע מיוחד:"
"TID_SPECIAL_EVENT_DESC","כדאי לבקר בכל יום למשחק באירוע היומי!"
"TID_SPECIAL_EVENTS_MOD","אירוע מיוחד"
"TID_SPECIAL_EVENT_MOD_DESC","כדאי לבקר בקביעות כדי לגלות מה האירוע המיוחד של היום!"
"TID_PLAYING_AGAIN","משחק מחדש <c11ee11><NUMBER>/<NUMBER2></c>"
"TID_PLAYING_AGAIN_NO_PLAYERS","משחק מחדש"
"TID_BRAWL_BOX_INFO_TITLE_1","פרטי תיבה גדולה"
"TID_GATCHA_ERROR_NOT_ENOUGH_WINS","צריך לצבור 10 טוקנים של כוכב לקבלת תיבה גדולה!"
"TID_KEY_BAR_INFO","מספר <c33a5d7>הטוקנים</c> שאפשר להרוויח מקרבות.\n\nטוקנים משמשים לפתיחת תיבות בראולר."
"TID_KEY_BAR_INFO_DOUBLE_TOKEN_EVENT","אירוע טוקנים כפולים\nאפשר להרוויח פי 2 <c33a5d7>טוקנים</c> מקרבות רגילים.\n\nטוקנים משמשים לפתיחת תיבות בראולר."
"TID_KEY_BAR_INFO_COIN_SHOWER_EVENT","אירוע גשם של מטבעות\nאפשר להרוויח <cff8E1b> מטבעות</c> מקרבות!\n\nכל טוקן שמרוויחים מקרב רגיל יגיע עם מטבע בונוס. זה כולל טוקנים שמגיעים ממכפיל טוקנים!\n\nהמטבעות משמשים לשדרוג בראולרים."
"TID_NEW_ONLINE_FRIEND","שחקן מחובר"
"TID_NEW_GAME_ROOM","קבוצה חדשה"
"TID_KEY_BAR_TITLE","טוקנים זמינים מקרב"
"TID_PLAYAGAIN_QUIT","יציאה"
"TID_BATTLE_END_WAITING","בהמתנה לאחרים"
"TID_ERROR_REPLAY_WAITING","הילוך חוזר כבר בהמתנה"
"TID_ERROR_REPLAY_NOT_POSSIBLE","הילוך חוזר לא זמין"
"TID_ERROR_SPECTATE_WAITING","צפייה כבר בהמתנה"
"TID_ERROR_SPECTATE_NOT_POSSIBLE","השחקן לא נלחם כרגע"
"TID_BRAWL_TV_STARTING","BrawlTV נטען..."
"TID_ERROR_BRAWL_TV_WAITING","BrawlTV כבר בהמתנה"
"TID_BRAWL_TV_QUIT","BrawlTV #<NUM>"
"TID_ERROR_BRAWL_TV_TUNE_FAILED","אין כלום ב-BrawlTV #<NUM> - מחליף ערוצים"
"TID_BRAWL_TV_BATTLE_END_RETURN_HOME","הבא בעוד <NUM> שניות"
"TID_BRAWL_TV_BATTLE_END_RETURN_HOME_SOON","AutoNext"
"TID_BRAWL_TV_OFF_RETURN_HOME","יציאה מ-TV"
"TID_FIRST_WIN_INFO_SURVIVAL","ניתן לך <cff8E1b>טוקן כוכב</c> על הסיום הראשון שלך כאחד מ-4 המובילים נגד שחקנים אחרים."
"TID_TEAM_POPOVER_YOUR_ROOM","זו הקבוצה שלך"
"TID_ERROR_SPECTATE_NOT_POSSIBLE_TEAM","הקבוצה לא נלחמת כרגע"
"TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_THIS_TEAM","לא ניתן להצטרף. הצטרפת כבר לקבוצה הזו"
"TID_TEAM_AD_JOIN_FAIL_FULL","לא ניתן להצטרף. הקבוצה מלאה."
"TID_HOMESCREEN_NOT_ENOUGH_TICKETS","לא ניתן להתחיל משחק. אין מספיק כרטיסים"
"TID_HOMESCREEN_TEAMS_NOT_SUPPORTED","אירוע זה לא תומך במשחק בקבוצות"
"TID_GAME_MODE_UNLOCKED","נפתח"
"TID_ERROR_SPECTATE_DISABLED","צפייה מושבתת באופן זמני מסיבות טכניות"
"TID_SPECTATE_FOLLOW","יש ללחוץ למעקב:"
"TID_SPECTATE_FOLLOWING","במעקב:"
"TID_FIRST_WIN_INFO_TICKETED_EVENT","ניתן לך <cff8E1b>טוקן כוכב</c> מהקרב הראשון שלך."
"TID_FIRST_WIN_INFO_TEAM_SURVIVAL","ניתן לך <cff8E1b>טוקן כוכב</c> על הפעם הראשונה של סיום כאחד משני המובילים נגד שחקנים אחרים."
"TID_FIRST_WIN_INFO_SURVIVAL_COMBINED","משחק נגד שחקנים אחרים וסיום כאחד מ-4 המובילים במשחק סולו או כאחד משני המובילים במשחק בזוג יתן <cff8E1b>טוקן כוכב</c>."
"TID_CONNECTING_WAIT_FOR_SPECTATE","בהמתנה לצפייה..."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS","כדאי לצפות בפרסומת כדי\nלהכפיל פרס!\n<VIEWCOUNTREM> צפיות נותרו היום"
"TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW","כדאי לצפות בפרסומת כדי\nלהכפיל פרס!\nצפייה <VIEWCOUNTREM> נותרה היום"
"TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS_CHOISELESS","אפשר לקבל פרסים נוספים!\n<VIEWCOUNTREM> צפיות נותרו היום"
"TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW_CHOISELESS","אפשר לקבל פרסים נוספים!\nצפייה <VIEWCOUNTREM> נותרה היום"
"TID_CANNON_DAMAGE","נזק תותח"
"TID_CANNON_HEALTH","חיי תותח"
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_OTHER","לשחקן הזה יש יותר מדי בקשות חברות בהמתנה. נא לנסות שוב מאוחר יותר."
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_YOU","שלחת יותר מדי בקשות חברות. אפשר להסיר אחת ולנסות שוב."
"TID_ADD_FRIEND_ERROR_GENERIC","משלוח ההזמנה לחבר לא הצליח. נא לנסות שוב מאוחר יותר."
"TID_ADD_FRIEND_ERROR_DOES_NOT_EXIST","השחקן שניסית להוסיף לא קיים."
"TID_ADD_FRIEND_ERROR_OWN_AVATAR","לא ניתן להזמין את עצמך כחבר!"
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_OTHER","לחבר שלך יש יותר מדי חברים. נא לנסות שוב מאוחר יותר."
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_YOU","יש לך יותר מדי חברים. יש להסיר אחד אחד אם ברצונך להוסיף חברים חדשים."
"TID_HINT_26","פני יכולה לעשות הרבה נזק באמצעות המתקפה שלה כשהמטרות שלה עומדות בשורה."
"TID_HINT_27","הרכבת קבוצה לפני משחק מאפשרת לך לתכנן מראש ולבחור שילוב טוב של בראולרים."
"TID_HINT_28","אפשר לשחק משחקי ידידות כדי להתאמן באירועים, לקיים תחרויות ידידות ועוד!"
"TID_HINT_29","אחרי משחק טוב עם חברי קבוצה חדשים, ניתן ללחוץ על משחק מחדש כדי לשחק איתם עוד משחק!"
"TID_HINT_30","במשחקי ידידות אפשר לבחור כל אירוע ומפה. בנוסף, הבראולרים יהיו משודרגים לחלוטין!"
"TID_HINT_31","פרנק עוצר כדי לבצע את המתקפה ואת תכונת הסופר שלו, וכך מאפשר ליריבים לצאת מהטווח שלו."
"TID_EXPERIENCE","ניסיון"
"TID_HINT_32","אירועים שדורשים כרטיסים לא מבזבזים טוקנים, אלא כרטיסים במקום זאת."
"TID_HINT_33","ניתן להזמין חברי מועדון להיות חברים שלך מרשימת חברי המועדון."
"TID_HINT_34","ניתן להזמין אנשים מקבוצה שהצטרפת אליה להיות חברים שלך."
"TID_HINT_35","אחרי כמה משחקים טובים עם מישהו, אפשר להזמין אותו להיות חבר שלך מרשימת ההצעות לחברים."
"TID_HINT_36","ניתן להזמין אנשים מקבוצה שהצטרפת אליה להיות חברים שלך."
"TID_HINT_37","אפשר להשתמש בכפתור הפרסום כדי לפרסם את הקבוצה שלך לחברים ולחברי מועדון."
"TID_COOP_GENERATED","זירת הקרב"
"TID_MECHANIC_KNIGHT_SKIN","ג‘סי אבירת הדרקון"
"TID_FRANK_CAVEMAN_SKIN","פרנק איש המערות"
"TID_SOLO","סולו"
"TID_DUO","זוג"
"TID_INVITE_FRIEND_TOKEN_ERROR_FRIENDS_FULL","רשימת החברים מלאה!"
"TID_INVITE_FRIEND_TOKEN_ERROR_TOO_MANY","יש יותר מדי הזמנות פעילות, יש לנסות שוב אחר כך"
"TID_INVITE_FRIEND_TOKEN_ERROR","שגיאה בהזמנת חברים"
"TID_GOLDRUSH_9","בריכה אפלה"
"TID_TEAM_JOIN_FINISH_TUTORIAL","יש לסיים את ההדרכה כדי להצטרף לקבוצה"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_TITLE","התחברות נכשלה"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED","גרסת הבטא של Brawl Stars לא זמינה עדיין במדינה. יש לבדוק שוב מאוחר יותר!"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_BUTTON","אישור"
"TID_CROW_PHEONIX_SKIN","קרואו עוף החול"
"TID_MECHANIC_SUMMER_SKIN","ג‘סי קיצית"
"TID_HERO_SCREEN_DIM_COLOR_MUL","222222"
"TID_GUNSLINGER_ROCKSTAR_SKIN_SHOP","קולט\nכוכב רוק"
"TID_ROCKET_BEACH_SKIN_SHOP","ברוק\nבחוף"
"TID_CACTUS_PINK_SKIN_SHOP_OLD","ספייק\nורדרד"
"TID_SHAMAN_PANDA_SKIN_SHOP","ניטה\nפנדה"
"TID_CROW_WHITE_SKIN_SHOP","קרואו\nלבן"
"TID_BULL_HAIR_SKIN_SHOP","בול\nויקינג"
"TID_TRICKSHOT_GOLD_SKIN_SHOP_OLD","ריקושט\nאלוף אולימפי"
"TID_BARKEEP_GOLD_SKIN_SHOP","בארלי\nזהוב"
"TID_LUCHADOR_RUDO_SKIN_SHOP","אל פרימו\nהחצוף"
"TID_SHOTGUN_BANDITA_SKIN_SHOP","שלי\nהשודדת"
"TID_LUCHADOR_KING_SKIN_SHOP","אל פרימו\nהמלך"
"TID_MECHANIC_KNIGHT_SKIN_SHOP","ג‘סי\nאבירת הדרקון"
"TID_FRANK_CAVEMAN_SKIN_SHOP","פרנק\nאיש המערות"
"TID_MECHANIC_SUMMER_SKIN_SHOP","ג‘סי\nקיצית"
"TID_CROW_PHEONIX_SKIN_SHOP","קרואו\nעוף החול"
"TID_GOLDRUSH_10","חדר הדהוד"
"TID_BANKHEIST_5","גדרות מגונדרות"
"TID_BATTLE_ROYALE_D7","סופר-קונה"
"TID_BATTLE_ROYALE_8","פלישה לאי"
"TID_BATTLE_ROYALE_6","קרב במערה"
"TID_CLAN_CHAT_JUMP_TO_NEW","<count> הודעות חדשות"
"TID_CLAN_CHAT_NEW","חדש"
"TID_BANKHEIST_6","צומת דרכים"
"TID_GOLDRUSH_11","מכרה מוצף"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_ANDROID","יש להוריד את גרסת הבטא של Brawl Stars מ-Google Play Store (זמין רק במדינות נבחרות). מכשירים פרוצים לא נתמכים כרגע. כדאי לבדוק שוב מאוחר יותר!"
"TID_RATE_APP_MESSAGE_ANDROID","נא לדרג את Brawl Stars או לכתוב ביקורת ב-Play Store כדי לתת לנו משוב מועיל!"
"TID_BIND_TO_NEW_GOOGLE_SERVICE_ACCOUNT_TITLE","התחברות חדשה ל-Google Play"
"TID_BIND_TO_NEW_GOOGLE_SERVICE_ACCOUNT","האם ברצונך לשמור את המשחק הנוכחי שלך בחשבון Google Play זה?"
"TID_SHOWDOWN_END","קרב מכריע!"
"TID_SETTINGS_FIXES_JOYSTICK","סמן תנועה נעול"
"TID_SETTINGS_SC_ID","Supercell ID"
"TID_LANGUAGE_LOCALIZED_NAME","עברית"
"TID_POPUP_CHANGE_LANGUAGE_TITLE","להחליף שפה?"
"TID_POPUP_CHANGE_LANGUAGE","האם באמת ברצונך להחליף את השפה?"
"TID_SKIN_RARITY_1","<cffffff>נפוץ</c>"
"TID_SKIN_RARITY_2","<c0070dd>נדיר</c>"
"TID_SKIN_RARITY_3","<ca335ee>אדיר</c>"
"TID_SKIN_RARITY_4","<cff8000>אגדי</c>"
"TID_BANKHEIST_7","מסדרון הקקטוסים"
"TID_BATTLE_ROYALE_9","רוח מערבית"
"TID_BATTLE_ROYALE_10","חולות נודדים"
"TID_NO_FRIENDS_GO_TO_FRIENDS","עבור אל חברים"
"TID_EVENT_MODIFIER_1","משקה אנרגיה"
"TID_EVENT_MODIFIER_2","רובוט כועס"
"TID_EVENT_MODIFIER_3","מטר מטאורים"
"TID_EVENT_MODIFIER_4","משמרת לילה"
"TID_EVENT_MODIFIER_DESC_1","אם הנך לבד, אולי יופיע משקה אנרגיה בסביבה. אפשר לתפוס אותו כדי לחזק את הנזק שהבראולר שלך מסב ואת המהירות שלו לזמן קצר!"
"TID_EVENT_MODIFIER_DESC_2","רובוט כועס יופיע באקראי ויתקוף את הבראולר הקרוב ביותר. כדאי להיזהר!"
"TID_EVENT_MODIFIER_DESC_3","לא, זה לא מטר מטאורים שתרצה לעצור כדי לצפות בו. זהירות מסלעים גדולים שנופלים עליך!"
"TID_BALL_4","שדות התגנבות"
"TID_EVENT_MODIFIER_DESC_4","הבריאות שלך תרד כל הזמן, אבל אם גורמים נזק לבראולרים יריבים זה יחזיר לך חלק מהבריאות. לאחר שהבסת בראולר בריאותך תתמלא בחזרה! לכל יכולות הריפוי יש יעילות מופחתת."
"TID_BALL_5","מבצר כדור-בראולר"
"TID_BALL_6","אצטדיון על"
"TID_BALL_7","דילוג בין שלוליות"
"TID_BANKHEIST_8","מנהרת העצמות"
"TID_EVENT_MODIFIER_DESC_3_SD","תנועה בסמיכות צמודה מדי עלולה להיות מסוכנת כשיפלו סלעים ענקיים מהשמיים!"
"TID_DEFEATED_SHOWDOWN","הובסו"
"TID_OFFER_WATCH_AD","צפיה"
"TID_ERROR_REPLAY_DISABLED","הילוך חוזר לא זמין"
"TID_WANTED_9","התעלה הגדולה"
"TID_HOOK","ג‘ין"
"TID_STAR_KEY_INFO_EXTENSION","\n\nטוקנים של כוכבים משמשים לפתיחת תיבות גדולות."
"TID_TEAM_OWNER_TEXT","הקבוצה של <NAME>"
"TID_SPECTATE_AUTO","אוטומטי"
"TID_BATTLE_ROYALE_11","כלב נובח לא נושך"
"TID_FRIEND_POPOVER_INVITE","הזמנה לקבוצה"
"TID_TEAM_ERROR_ALREADY_IN_ROOM","השחקן כבר בקבוצה שלך!"
"TID_TEAM_ERROR_ALREADY_INVITED","השחקן כבר הוזמן!"
"TID_BATTLE_ROYALE_D2","מישורים סוערים"
"TID_UNDERTAKER_GREASER_SKIN","מורטיס רוקבילי"
"TID_COMMUNITY_PROPS","מפת תוצרת הקהילה!\n\nרעיון של:\n<cff8000><CREDIT></c>"
"TID_BATTLE_ROYALE_12","מבוך רציני"
"TID_TEAM_INVITE_ALREADY_IN_TEAM","השחקן כבר בקבוצה!"
"TID_HINT_38","עיגול כחול שמסתובב מתחת לבראולר פירושו שתכונת הסופר שלו מוכנה!"
"TID_HINT_39","עיגול צהוב שמסתובב מתחת לבראולר פירושו שהוא מכוון כרגע את תכונת הסופר שלו!"
"TID_EVENT_NOT_AVAILABLE","אין אירוע"
"TID_SHOP_OFFER_PURCHASE_AD_NOT_AVAILABLE","אין סרטון זמין. יש לבדוק שוב מאוחר יותר!"
"TID_SHOP_NOT_AVAILABLE","לא זמין"
"TID_UNDERTAKER_GREASER_SKIN_SHOP","מורטיס\nרוקבילי"
"TID_HINT_40","יש להתחבר ל-Supercell ID ממסך ההגדרות כדי שהחשבון שלך יישאר מאובטח וכדי לשחק ממספר מכשירים. זה גם יתן לך סקין בחינם!"
"TID_GACHA_VIDEO_REWARD_RECEIVED","פרסים נוספים נוספו!"
"TID_BUTTON_NAVI_SHOP","חנות"
"TID_BUTTON_NAVI_SOCIAL","חברויות"
"TID_BUTTON_NAVI_BRAWLERS","בראולרים"
"TID_BRAWL_TICKETS_BUTTON","משחק"
"TID_HOME_SCREEN_INVITE","הזמנה"
"TID_HINT_41","מספר הגביעים הכולל שלך הוא שילוב של כל הגביעים שיש לכל בראולר בנפרד."
"TID_GOAL","<name> הבקיע!"
"TID_EVENT_MODIFIER_5","פטריות ריפוי"
"TID_EVENT_MODIFIER_DESC_5","פטריות ריפוי מופיעות באקראי! הן מרפאות כל מה שקרוב אליהן למשך זמן מה."
"TID_EVENT_MODIFIER_DESC_5_SD","פטריות ריפוי מופיעות באקראי! אם תישארו צמודים, הפטריות לא יצמחו."
"TID_NINJA","לאון"
"TID_ROSA","רוזה"
"TID_HINT_42","אם לא תקפת או ספגת נזק במשך זמן מה, הבראולר שלך מקבל חיים בחזרה."
"TID_HOOK_SHORT_DESC","תמיכה"
"TID_HOOK_DESC","ג‘ין יורה טיל ממנורת הקסמים שלו. תכונת הסופר שלו היא יד קסומה שתופסת אויבים ומקרבת אותם אליו!"
"TID_SPEC_ABI_HOOK","נשיפות קסם"
"TID_SPEC_ABI_HOOK_DESC","ג‘ין מרפא את כל הבראולרים הידידותיים שסביבו ומוסיף להם <c00cc00><VALUE1></c> חיים בכל שנייה."
"TID_HOOK_WEAPON","פצצת עשן"
"TID_HOOK_ULTI","יד קסומה"
"TID_HOOK_WEAPON_DESC","ג‘ין יורה כדור מוצק של עשן קסום מהמנורה שלו. אם הכדור לא פוגע במטרה, הוא מתפרק ומפיץ נזק."
"TID_HOOK_ULTI_DESC","ג‘ין משגר יד קסומה מהמנורה שלו. אם היד פוגעת באויב, היא מושכת אותו אל ג‘ין!"
"TID_NINJA_SHORT_DESC","מתנקש חמקן"
"TID_NINJA_DESC","לאון משליך מטח של להבים על המטרה שלו. תכונת הסופר שלו היא פצצת עשן שהופכת אותו לבלתי נראה לזמן מה!"
"TID_SPEC_ABI_SPEED_INVISIBLE","סימני עשן"
"TID_SPEC_ABI_SPEED_INVISIBLE_DESC","כשלאון משתמש בתכונת הסופר שלו, הוא מרוויח חיזוק של <c00cc00><VALUE1>%</c> למהירות התנועה שלו למשך הזמן שבו הוא בלתי נראה."
"TID_NINJA_WEAPON","להבים מסתובבים"
"TID_NINJA_ULTI","פצצת עשן"
"TID_NINJA_WEAPON_DESC","לאון משליך להבים מסתובבים. ככל שהם עוברים מרחק גדול יותר, הם מסבים פחות נזק."
"TID_NINJA_ULTI_DESC","לאון הופך לבלתי נראה למשך <time> שניות. כשהוא תוקף, הוא מתגלה. אויבים שקרובים ללאון יוכלו לראות אותו."
"TID_ROSA_SHORT_DESC","משקל כבד"
"TID_ROSA_DESC","היא בוטנאית לוחמת עם שתי רגליים על הקרקע! תכונת הסופר שלה היא ציוד מגן טבעוני וקשוח."
"TID_SPEC_ABI_HEAL_FOREST","חיי צמח"
"TID_SPEC_ABI_HEAL_FOREST_DESC","רוזה מחזירה לעצמה <c00cc00><VALUE1></c> חיים בכל שנייה כשהיא מסתתרת בשיח."
"TID_ROSA_WEAPON","ידי אבן"
"TID_ROSA_ULTI","חומרים חזקים"
"TID_ROSA_WEAPON_DESC","רוזה מעיפה אגרופים עוצמתיים בצורה מושלמת!"
"TID_ROSA_ULTI_DESC","רוזה מקבלת עור נוסף שעשוי מצמחים מטפסים חזקים למשך <time> שניות, וכך מפחיתה את כל הנזק שהיא סופגת ב-<num>% בזמן הזה."
"TID_STAT_DAMAGE_PER_CLUSTER","נזק מכל מצרר"
"TID_STAT_DAMAGE_PER_SHURIKEN","נזק מכל להב בטווח קצר"
"TID_STAT_INVISIBLE","פצצת עשן"
"TID_STAT_SHIELD","מגן"
"TID_SELECT_HERO_INFO_RAID_BOSS","<c2288ff>שחקנים נגד בוס</c>"
"TID_EVENT_POPUP_GMV_LABEL_RAID_BOSS","שלושה שחקנים נגד רובוט בוס"
"TID_GAME_MODE_10","קרב מול בוס"
"TID_RAID_BOSS_INTRO_TEXT","הבס את הבוס"
"TID_RAID_1","זירת רובוט בוס"
"TID_GAME_MODE_10_DESC","האם לך את מה שצריךצריך ל להביס את הרובוט בוס המפחיד? הצטרף לשני חברי קבוצה והביסו את המפלצת. אפשר לחזור לקרב כל עוד אחד מחברי הקבוצה שלך עדיין נלחם. אם כולם נופלים, המשחק נגמר!\n\nקרבות בוס עולים ברמה, מרגיל ועד מטורף, בכל פעם שמצליחים להביס את הבוס."
"TID_TEAM_MATE_GONE","<ccccc00>חבר הקבוצה הובס!</c>"
"TID_ALL_TEAM_MATES_GONE","<cee0000>שני חברי הקבוצה הובסו!</c>"
"TID_RAID_BOSS_ENRAGE_1","<c99bb22bb>הבוס כועס!</c>"
"TID_RAID_BOSS_ENRAGE_2","<c99bb2222>הבוס רותח!</c>"
"TID_RAID_BOSS_ENRAGE_3","<c99bbbb22>הבוס זועם!</c>"
"TID_RAID_BOSS_DIFFICULTY_0","רגיל"
"TID_RAID_BOSS_DIFFICULTY_1","קשה"
"TID_RAID_BOSS_DIFFICULTY_2","מומחה"
"TID_RAID_BOSS_DIFFICULTY_3","מאסטר"
"TID_RAID_BOSS_DIFFICULTY_4","מטורף"
"TID_RAID_BOSS_DIFFICULTY_5","מטורף II"
"TID_RAID_BOSS_DIFFICULTY_6","מטורף III"
"TID_RAID_BOSS_DIFFICULTY_7","מטורף IV"
"TID_RAID_BOSS_DIFFICULTY_8","מטורף V"
"TID_RAID_BOSS_DIFFICULTY_9","מטורף VI"
"TID_RAID_BOSS_DIFFICULTY_10","מטורף VII"
"TID_RAID_BOSS_DIFFICULTY_11","מטורף VIII"
"TID_RAID_BOSS_DIFFICULTY_12","מטורף IX"
"TID_RAID_BOSS_DIFFICULTY_13","מטורף X"
"TID_RAID_BOSS_DIFFICULTY_14","מטורף XI"
"TID_RAID_BOSS_DIFFICULTY_15","מטורף XII"
"TID_RAID_BOSS_DIFFICULTY_16","מטורף XIII"
"TID_RAID_BOSS_DIFFICULTY_17","מטורף XIV"
"TID_RAID_BOSS_DIFFICULTY_18","מטורף XV"
"TID_RAID_BOSS_DIFFICULTY_19","מטורף XVI"
"TID_RAID_BOSS_DIFFICULTY_20","אתם מעולים!"
"TID_MODES_NEW_EVENT","אירוע חדש!"
"TID_MODES_NEW_EVENTS","אירועים חדשים!"
"TID_TEAM_MEMBER_STATUS_NEW_0","<c999999>לא מחובר</c>"
"TID_TEAM_MEMBER_STATUS_NEW_1","בקרב"
"TID_TEAM_MEMBER_STATUS_NEW_2","לא זמין"
"TID_TEAM_MEMBER_STATUS_NEW_3","<EMPTY>"
"TID_TEAM_MEMBER_STATUS_NEW_4","התאמת שחקן"
"TID_TEAM_MEMBER_STATUS_NEW_5","מסך סיום"
"TID_TEAM_MEMBER_STATUS_NEW_6","<c999999>לא מחובר</c>"
"TID_TEAM_MEMBER_STATUS_NEW_7","צופה"
"TID_TEAM_MEMBER_STATUS_NEW_8","באימון"
"TID_TEAM_MEMBER_STATUS_NEW_9","בהקלדה..."
"TID_TEAM_MEMBER_STATUS_NEW_10","בחירת בראולר"
"TID_TEAM_MEMBER_STATUS_NEW_11","מעיינים באירועים"
"TID_TEAM_MEMBER_STATUS_NEW_12","חיפוש חבר קבוצה"
"TID_TEAM_MEMBER_STATUS_NEW_READY","מוכנים"
"TID_BUTTON_SPECTATE","צפיה"
"TID_NEW_EVENT_IN","אירוע חדש בעוד: <TIME>"
"TID_NEW_EVENT_NOW","אירוע חדש זמין!"
"TID_SHOP_TITLE","חנות"
"TID_SELECT_EVENT_TITLE","בחירת אירוע"
"TID_HERO_LIST_LABEL_NEW","בראולרים <c53C5F7><COUNT>/<TOTAL></c>"
"TID_KEY_COUNTER","<VALUE><c7984a8>/<MAX></c>"
"TID_ONLINE_TAB_1","שחקנים מחוברים"
"TID_ONLINE_TAB_2","צ‘אט קבוצה"
"TID_ONLINE_TAB_3","צ‘אט מועדון"
"TID_ALLIANCE_CHAT_TAB_NOT_IN_ALLIANCE","יש להצטרף למועדון לגישה לצ‘אט שלו"
"TID_TEAM_CHAT_TAB_NOT_IN_TEAM","אפשר ליצור קבוצה עם שחקנים נוספים לגישה לצ‘אט שלה"
"TID_NO_BAND_GO_TO_BANDS","מעבר למועדונים"
"TID_SHARE_TEAM_CODE_NO_CODE","יש להמתין ליצירת הקוד לפני השיתוף!"
