"TID","MS"
"TID_BRAWL_BOX_INFO_CATEGORIES","\n\n<CATEGORY1> : <NUM1>%\nBrawler Jarang : <NUM2>%<GAR_HERO_1>\nBrawler Superjarang : <NUM3>%<GAR_HERO_2>\nBrawler Epik : <NUM4>%<GAR_HERO_3>\nBrawler Mitos : <NUM5>%<GAR_HERO_4>\nBrawler Legenda : <NUM6>%<GAR_HERO_5>\nKuasa Bintang : <NUM7>%<GAR_STAR_POWER>\nAlat : <NUM8>%<GAR_ACCESSORY>"
"TID_BRAWL_BOX_INFO_FOOTER","\n\nSelain itu, setiap cabutan memberi anda 9% peluang mendapat permata dan 3% peluang mendapat Gandaan Token. Sila ambil perhatian bahawa Kuasa Bintang hanya tersedia untuk Brawler yang telah mencapai tahap 9. Selepas anda membuka semua ganjaran jenis tertentu, contohnya Brawler Jarang, kebarangkalian untuk mendapat semua ganjaran lain meningkat. Nasib: Bagi membuat pengalaman pembukaan Kotak Brawl lebih adil, terdapat satu sistem nasib yang mempengaruhi kebarangkalian Brawler Legenda. Bagi setiap cabutan yang tidak memberi anda Brawler baharu, nilai nasib anda meningkat dan setiap kali anda mendapat Brawler baharu, nilai nasib anda menurun berdasarkan kenadiran Brawler yang anda dapat. Apabila nasib cukup baik, anda berpeluang tinggi untuk mendapat Brawler Legenda manakala nilai nasib rendah bermaksud lebih sukar mendapat Brawler Legenda baharu. Cabutan awal ditentukan terlebih dahulu bagi memastikan permulaan yang adil bagi semua orang."
"TID_BRAWL_BOX_INFO_POWER_POINTS_AND_COINS","Mata Kuasa + Syiling"
"TID_BRAWL_BOX_INFO_COINS","Syiling"
"TID_BRAWL_BOX_INFO_GUARANTEED_HERO_IN","(terjamin dalam <DRAWS> cabutan)"
"TID_BRAWL_BOX_INFO_GUARANTEED_STARPOWER_IN","(terjamin dalam <DRAWS> cabutan)"
"TID_BRAWL_BOX_INFO_GUARANTEED_ACCESSORY_IN","(terjamin dalam <DRAWS> cabutan)"
"TID_POWER_DROP_VALUE","+<VALUE>"
"TID_COLLECT","KUMPUL"
"TID_PAGE_FRIENDS_TITLE","RAKAN"
"TID_PAGE_FRIENDS_TITLE2","Bertempur dengan rakan anda!"
"TID_PAGE_FRIENDS_ADD_FRIENDS","TAMBAH RAKAN"
"TID_PAGE_FRIENDS_NO_FRIENDS_NO_LOGIN","Sambung ke Facebook atau cari rakan di dalam permainan untuk bermain dengan mereka!"
"TID_PAGE_FRIENDS_NO_FRIENDS","Sambung ke Facebook atau cari rakan di dalam permainan untuk bermain dengan mereka!"
"TID_FRIENDS_TITLE","<COUNT> rakan"
"TID_FRIENDS_TAB_1","RAKAN"
"TID_FRIENDS_TAB_2","DISYORKAN"
"TID_FRIENDS_TAB_3","JEMPUTAN"
"TID_TOTAL","JUMLAH"
"TID_BRAWL_BOX_INFO_TITLE_2","MAKLUMAT KOTAK BRAWL"
"TID_BRAWL_BOX_INFO_TITLE_3","MAKLUMAT KOTAK MEGA"
"TID_OFFER_ALSO_INCLUDES","TAWARAN JUGA TERMASUK"
"TID_OFFER_VALUE_TITLE","NILAI"
"TID_OFFER_VALUE","+<VALUE>%"
"TID_SHOP_OFFER_COUNTDOWN","<TIME>"
"TID_USE_ULTI_TUTORIAL","SERET <cff9900>kawalan kuning</c> untuk menyasar!"
"TID_HERO_STATS_TITLE","STATISTIK BRAWLER"
"TID_GATCHA_SCREEN_ITEMS_REMAINING","BAKI ITEM:"
"TID_GATCHA_SCREEN_BONUS_ITEMS_REMAINING","BAKI BONUS:"
"TID_GATCHA_SCREEN_YOU_GOT","ANDA DAPAT:"
"TID_GATCHA_SCREEN_BONUSES","ITEM BONUS:"
"TID_GATCHA_SCREEN_SUMMARY_UNLOCKED","BUKA KUNCI!"
"TID_HERO_LIST_ITEM_UPGRADE","NAIK TARAF"
"TID_SHOP_CLAMIMED","DITUNTUT"
"TID_SHOP_OFFER_PURCHASE_ERROR_CLAIMED","Item ini telah dituntut."
"TID_ONLINE","DALAM TALIAN:"
"TID_LEADERBOARD","PAPAN PEMIMPIN"
"TID_NOT_ENOUGH_TICKETS_INFO","\n\nAnda kehabisan Tiket!"
"TID_HERO_LIST_NEW","BAHARU"
"TID_HAMMER_DUDE","FRANK"
"TID_HOLD_PHONE_LIKE_THIS","PEGANG PERANTI ANDA SEPERTI INI"
"TID_HINT_FINGER_TAP_TAP","KETIK! KETIK!"
"TID_HINT_FINGER_DRAG","SERET UNTUK MENYASAR"
"TID_MOVE_HERE","PERGI KE SINI"
"TID_HINT_HEADER","PETUA:"
"TID_HINT_0","Anda boleh KETIK <ccc0033>kawalan merah</c> untuk tembak pantas ke arah musuh terdekat."
"TID_HINT_1","Anda boleh KETIK <cff9900>kawalan kuning</c> untuk tembak pantas Super anda ke arah musuh terdekat."
"TID_HINT_2","Anda boleh SERET <ccc0033>kawalan merah</c> untuk MENYASARKAN tembakan anda."
"TID_HINT_3","Anda boleh SERET <cff9900>kawalan kuning</c> untuk MENYASARKAN Super anda."
"TID_HINT_4","Anda boleh batalkan tembakan yang telah disasarkan dengan menyeret kawan kembali ke tengah."
"TID_HINT_5","Pemadanan adalah berdasarkan trofi brawler yang anda main, memudahkan untuk mendapat trofi dengan Brawler yang baru dibuka kunci."
"TID_HINT_6","Mendapat lebih Brawler membuatkannya lebih mudah untuk maju dalam jumlah trofi dan mendapat lebih ganjaran."
"TID_HINT_7","Semakin jauh tembakan Piper, semakin tinggi kerosakan ditimbul."
"TID_HINT_8","Super Barley terutamanya kuat pada julat dekat sebab botol-botol akan mendarat di dalam satu kawasan kecil."
"TID_HINT_9","Setiap kali peluru Rico melantun, ia akan pergi lebih jauh."
"TID_HINT_10","Anda boleh mengaktifkan <ccc0033>kawalan merah</c> di mana-mana saja pada sebelah kanan skrin untuk menembak."
"TID_HINT_11","Serangan utama dan Super anda mempunyai dua mod tembakan: KETIK untuk TEMBAKAN BERTURUT-TURUT dan SERET untuk MENYASAR."
"TID_HINT_12","Menyasarkan tembakan anda adalah bagus terhadap target bergerak."
"TID_HINT_13","TEMBAKAN BERTURUT-TURUT adalah baik untuk tembakan reaksi pantas apabila anda tiada masa untuk menyasar."
"TID_HINT_14","TEMBAKAN BERTURUT-TURUT berguna ke atas musuh dekat dengan anda."
"TID_HINT_15","Apabila anda bersembunyi di semak, musuh masih boleh nampak anda jika mereka berada cukup dekat."
"TID_HINT_16","TEMBAKAN BERTURUT-TURUT tembak terus ke arah musuh terdekat dan tidak mempertimbangkan pergerakan musuh."
"TID_HINT_17","Menyasarkan tembakan anda adalah bagus bagi menembak ke dalam semak untuk lihat jika ada musuh."
"TID_HINT_18","TEMBAKAN BERTURUT-TURUT berguna ke atas musuh yang tidak bergerak."
"TID_HINT_19","TEMBAKAN BERTURUT-TURUT berguna ke atas musuh yang bergerak terus ke arah atau jauhi anda."
"TID_HINT_20","Apabila anda berada di dalam semak, musuh boleh nampak anda jika anda menyerang atau menerima kerosakan."
"TID_HINT_21","Anda boleh guna semak untuk menyembunyikan diri dari musuh."
"TID_HINT_22","Apabila anda guna TEMBAKAN BERTURUT-TURUT, ia akan menembak walaupun tiada musuh berada di dalam julat."
"TID_VS_TUTORIAL","Kumpul semua <ce662f9>PERMATA</c>"
"TID_USE_MANUAL_FIRE_TUTORIAL","SERET <ccc0033>kawalan merah</c> untuk menyasar!"
"TID_TUTORIAL_GOOD_JOB_2","Syabas! <cff6633>BAR WARNA OREN</c> menunjukkan peluru anda. Saya akan muat semula secepat yang boleh!"
"TID_TUTORIAL_GOOD_JOB_3","Syabas! Menyerang musuh akan mengecas <cff9900>serangan SUPER</c>!"
"TID_TUTORIAL_GOOD_JOB_4","Syabas!"
"TID_SPECTATE_PLAYER_BUTTON","Tonton"
"TID_SPECTATE_FAILED","Gagal menonton"
"TID_ACCOUNT_DISABLED_TEXT","Akaun Dinyahdayakan"
"TID_ACCOUNT_DELETED_ON_REQUEST_TEXT","Akaun ini telah dinyahdayakan kerana permintaan pemadaman dan tidak boleh dipulihkan."
"TID_ACCOUNT_DELETED_DUE_INACTIVITY_TEXT","Akaun ini telah dinyahdayakan kerana tiada aktiviti dan tidak boleh dipulihkan."
"TID_ACCOUNT_DELETION_WARNING_TITLE","Amaran Pemadaman Akaun"
"TID_ACCOUNT_DELETION_WARNING_TEXT","Menurut permintaan, akaun anda akan dipadamkan tidak lama lagi. Jika anda mengubah fikiran, hubungi Bantuan dan Sokongan secepat mungkin untuk membatalkan permintaan anda."
"TID_ACCOUNT_DELETION_WARNING_TEXT_PAST","Menurut permintaan, akaun anda akan dipadamkan tidak lama lagi. Jika anda mengubah fikiran, hubungi Bantuan dan Sokongan secepat mungkin untuk membatalkan permintaan anda."
"TID_CLAN_JOIN_FAILED_ALREADY_IN_THIS_CLAN","Anda telah berada di dalam kelab ini!"
"TID_CONFIRM_CHANGE_CLAN_TITLE","Tukar Kelab?"
"TID_CONFIRM_CHANGE_CLAN","Anda sudah berada di dalam kelab! Adakah anda pasti anda ingin menukar Kelab?"
"TID_CONFIRM_CLAN_FULL_TITLE","Kelab Penuh!"
"TID_CONFIRM_CLAN_FULL","Tidak dapat menyertai <clan>. Kelab sudah penuh!"
"TID_BUTTON_CHANGE","Tukar"
"TID_CLAN_JOIN_FAILED_IN_TUTORIAL","Habiskan tutorial untuk menyertai kelab"
"TID_CLAN_INTRO_INVITE","KONGSI JEMPUTAN"
"TID_INVITE_CLAN_TOKEN_ERROR","Ralat menjana jemputan"
"TID_ALLIANCE_INVITE_FAILED_NO_RIGHTS","Hanya Presiden kelab boleh menjemput ahli baharu"
"TID_FRIENDS_FACEBOOK_CONNECT","Sambung"
"TID_FRIENDS_PAGE_INVITE","KONGSI JEMPUTAN"
"TID_SHARE_GAME_ROOM_POST_MESSAGE","Klik pautan ini untuk sertai pasukan dengan<name> dalam Brawl Stars!"
"TID_SHARE_GAME_ROOM_POST_TITLE","Jemput ke pasukan"
"TID_ROOM_CODE_COPIED_TO_CLIPBOARD","ID Pasukan disalin ke papan keratan!"
"TID_ROOM_CODE_COPIED_TO_CLIPBOARD_CONFIRM","Ok"
"TID_TEAM_INVITE_BUTTON_LABEL","KONGSI KOD"
"TID_TEAM_INVITE_EXPIRED","Jemputan dari <NAME> telah tamat tempoh."
"TID_TEAM_INVITATION_POPUP_TITLE","JEMPUTAN PASUKAN"
"TID_TEAM_INVITATION_POPUP_ACCEPT","TERIMA"
"TID_TEAM_INVITATION_POPUP_REJECT","TOLAK"
"TID_TEAM_INVITATION_POPUP_MUTE","BISUKAN <NAME>\nUNTUK 10MIN SETERUSNYA"
"TID_TEAM_INVITATION_POPUP_SYSTEM_INVITE","PERLAWANAN KEJOHANAN"
"TID_TEAM_INVITATION_POPUP_MUTE_SYSTEM","DIBISUKAN\nSELAMA 10MIN"
"TID_BATTLE_ROYALE_5","Tasik Berasid"
"TID_DAILY_COINS_COLLECTED_END_SCREEN","Token Pertempuran\nkehabisan"
"TID_SHOP_REAL_MONEY_PURCHASES_DISABLED_SPECIAL_BUILD","Pembelian dengan wang sebenar tidak didayakan untuk ini"
"TID_SHOP_CHINA_WARNING","Amaran: main dengan bertanggungjawab"
"TID_GATCHA_AD_STATUS_VIEW","TONTON IKLAN UNTUK\nGANDAKAN SATU GANJARAN"
"TID_GATCHA_AD_STATUS_VIEW_CHOISELESS","DAPATKAN LEBIH GANJARAN!"
"TID_GATCHA_AD_STATUS_OUT_OF_VIEWS","Tontonan harian habis"
"TID_GATCHA_AD_STATUS_NO_VIDEO","Tiada video tersedia"
"TID_GATCHA_AD_CONTINUE_BUTTON_TITLE","TERUSKAN"
"TID_AD_DOUBLER_TITLE","PILIH GANJARAN UNTUK DIGANDAKAN"
"TID_AD_DOUBLER_CONTINUE","TERUSKAN"
"TID_GATCHA_CONTINUE","SETERUSNYA"
"TID_HINT_23","Sesetengah Brawler lebih baik dalam sesetengah peta dan acara berbanding yang lain."
"TID_HINT_24","Brawler berjulat jauh secara umumnya adalah lebih baik dalam peta terbuka."
"TID_HINT_25","Brawler berjulat dekat secara umumnya adalah lebih baik dalam peta dengan lebih pengadang dan semak."
"TID_SPEC_ABI_SELF_DESTRUCT","Tembakan Terakhir"
"TID_SPEC_ABI_SELF_DESTRUCT_DESC","Apabila meriam Penny dimusnahkan, ia akan menembak bedilan <VALUE2> bom terakhir, setiap satunya melakukan kerosakan sebanyak <c00cc00><VALUE1></c>."
"TID_EVENT_LIST_BRAWL","MAIN"
"TID_INVITE_COPIED_TO_CLIPBOARD","Pautan jemputan disalin ke papan keratan!"
"TID_INVITE_COPIED_TO_CLIPBOARD_CONFIRM","Ok"
"TID_FRIEND_INVITE_POST_MESSAGE","Klik pautan ini untuk menambah <friend> sebagai rakan di Brawl Stars!"
"TID_FRIEND_INVITE_POST_TITLE","Jemput rakan!"
"TID_ALLIANCE_JOIN_POST_MESSAGE","Klik pautan ini untuk sertai kelab saya di Brawl Stars!"
"TID_ALLIANCE_JOIN_POST_TITLE","Jemput rakan untuk menyertai kelab anda!"
"TID_HOMESCREEN_MODE_LOCKED","Capai <COUNT> trofi untuk bertempur di sini!"
"TID_GAMEROOMS_PLAYERS_ONLINE","<count> RAKAN DALAM TALIAN"
"TID_ARTILLERY_DUDE_SHORT_DESC","PENEMBAK TEPAT"
"TID_HAMMER_DUDE_SHORT_DESC","BERAT"
"TID_HAMMER_DUDE_DESC","Frank mengayun tukulnya pada musuh, menghantar gelombang kejutan. Supernya adalah pukulan berkuasa yang memengsankan musuh!"
"TID_HAMMER_DUDE_WEAPON","HENTAMAN TUKUL"
"TID_HAMMER_DUDE_WEAPON_DESC","Frank mengambil sedikit masa untuk melakukan hentamannya, tetapi ia begitu kuat sehingga akan melepaskan gelombang kejut."
"TID_HAMMER_DUDE_ULTI","PUKULAN KUAT"
"TID_HAMMER_DUDE_ULTI_DESC","Hentaman terkuat Frank melepaskan gelombang kejut yang memusnahkan persekitaran dan memegunkan musuh untuk seketika."
"TID_SPEC_ABI_STEAL_SOULS2","Rampasan Kuasa"
"TID_SPEC_ABI_STEAL_SOULS2_DESC","Frank mencuri kuasa Brawler yang dikalahkannya, meningkatkan kerosakannya sebanyak <c00cc00><VALUE1>%</c> untuk <VALUE2> saat!"
"TID_ONLINE_FRIENDS_TITLE","PEMAIN DALAM TALIAN"
"TID_BATTLE_ROYALE_TEAM_INTRO_TEXT","Menjadi pasukan terakhir!"
"TID_VS_TEAM_SHOWDOWN","Lawan satu sama lain!"
"TID_FIRST_WIN","TOKEN BINTANG"
"TID_BATTLE_END_TEAM_DEATHMATCH_VICTORY","Pasukan Anda #1!"
"TID_HOMESCREEN_MODE_LOCKED_INFO","Membuka kunci pada <count> trofi."
"TID_HOMESCREEN_LEAGUE_BUTTON_TITLE","KEMAJUAN TROFI"
"TID_HOMESCREEN_LEAGUE_BUTTON_COLLECT","KUMPUL"
"TID_STAR_POWER_INFO","Kuasa Bintang: <cde9700><NAME></c>\n<DESC>"
"TID_STAR_POWERS_TITLE","KUASA BINTANG"
"TID_ACCESSORIES_TITLE","ALAT-ALAT"
"TID_ACCESSORY_TITLE","ALAT"
"TID_ACCESSORIES_INFO","ALAT: <cde9700><NAME></c>\n<DESC>"
"TID_STAR_POWER_STATUS_1_1","<c00ff00>DIPILIH</c>"
"TID_STAR_POWER_STATUS_0_0","Anda tidak memiliki Kuasa Bintang ini"
"TID_ACESSORIES_STATUS_0_0","Anda tidak memiliki alat ini"
"TID_STAR_POWERS_PICK","PILIH"
"TID_LEAGUE_NAME_0","KAYU"
"TID_LEAGUE_NAME_1","GANGSA"
"TID_LEAGUE_NAME_2","PERAK"
"TID_LEAGUE_NAME_3","EMAS"
"TID_LEAGUE_NAME_4","PERMATA"
"TID_LEAGUE_NAME_5","JAGUH"
"TID_LEAGUE_NAME_6","ELIT"
"TID_LEAGUE_NAME_7","CEMERLANG"
"TID_SPECIAL_EVENTS","ACARA HARIAN"
"TID_SPECIAL_EVENT","Acara Istimewa:"
"TID_SPECIAL_EVENT_DESC","Semak kembali setiap hari untuk bermain Acara Harian!"
"TID_SPECIAL_EVENTS_MOD","ACARA ISTIMEWA"
"TID_SPECIAL_EVENT_MOD_DESC","Kerap semak untuk Acara Istimewa harian!"
"TID_PLAYING_AGAIN","Sekali lagi <c11ee11><NUMBER>/<NUMBER2></c>"
"TID_PLAYING_AGAIN_NO_PLAYERS","Sekali lagi"
"TID_BRAWL_BOX_INFO_TITLE_1","MAKLUMAT KOTAK BESAR"
"TID_GATCHA_ERROR_NOT_ENOUGH_WINS","Kumpul 10 Token Bintang untuk mendapat Kotak Besar!"
"TID_KEY_BAR_INFO","Bilangan <c33a5d7>Token</c> anda boleh dapat dari pertempuran.\n\nToken diguna untuk buka Kotak Brawl."
"TID_KEY_BAR_INFO_DOUBLE_TOKEN_EVENT","ACARA TOKEN BERGANDA\nDapatkan <c33a5d7>Token</c> berganda dari pertempuran biasa.\n\nToken digunakan untuk membuka Kotak Brawl."
"TID_KEY_BAR_INFO_COIN_SHOWER_EVENT","ACARA HUJAN SYILING\nDapatkan <cff8E1b>Syiling</c> daripada pertempuran!\n\nSetiap token yang diperoleh daripada pertempuran biasa mempunyai syiling bonus. Ini termasuk token yang diperoleh daripada Gandaan Token!\n\nSyiling digunakan untuk menaik taraf Brawler."
"TID_NEW_ONLINE_FRIEND","PEMAIN DALAM TALIAN"
"TID_NEW_GAME_ROOM","PASUKAN BAHARU"
"TID_KEY_BAR_TITLE","TOKEN TERSEDIA DARI PERTEMPURAN"
"TID_PLAYAGAIN_QUIT","KELUAR"
"TID_BATTLE_END_WAITING","Menunggu yang lain"
"TID_ERROR_REPLAY_WAITING","Ulangan tertangguh"
"TID_ERROR_REPLAY_NOT_POSSIBLE","Ulangan tidak tersedia"
"TID_ERROR_SPECTATE_WAITING","Tontonan tertangguh"
"TID_ERROR_SPECTATE_NOT_POSSIBLE","Pemain tidak bertempur buat masa ini"
"TID_BRAWL_TV_STARTING","Memuatkan BrawlTV..."
"TID_ERROR_BRAWL_TV_WAITING","BrawlTV tertangguh"
"TID_BRAWL_TV_QUIT","BrawlTV #<NUM>"
"TID_ERROR_BRAWL_TV_TUNE_FAILED","Tiada apa-apa di BrawlTV #<NUM> - dalam penerbitan"
"TID_BRAWL_TV_BATTLE_END_RETURN_HOME","Seterusnya dalam <NUM>s"
"TID_BRAWL_TV_BATTLE_END_RETURN_HOME_SOON","Seterusnya"
"TID_BRAWL_TV_OFF_RETURN_HOME","Tutup TV"
"TID_FIRST_WIN_INFO_SURVIVAL","Dapatkan <cff8E1b>Token Bintang</c> dengan menduduki empat tempat teratas."
"TID_TEAM_POPOVER_YOUR_ROOM","Ini adalah pasukan anda"
"TID_ERROR_SPECTATE_NOT_POSSIBLE_TEAM","Pasukan tidak bertempur buat masa ini"
"TID_TEAM_AD_JOIN_FAIL_ALREADY_IN_THIS_TEAM","Tidak boleh sertai. Anda berada di dalam pasukan ini."
"TID_TEAM_AD_JOIN_FAIL_FULL","Tidak boleh sertai. Pasukan sudah penuh."
"TID_HOMESCREEN_NOT_ENOUGH_TICKETS","Tidak dapat memulakan permainan. Tidak cukup tiket."
"TID_HOMESCREEN_TEAMS_NOT_SUPPORTED","Acara ini tidak disokong di dalam pasukan"
"TID_GAME_MODE_UNLOCKED","BUKA KUNCI"
"TID_ERROR_SPECTATE_DISABLED","Tontonan dinyahdayakan atas sebab-sebab teknikal."
"TID_SPECTATE_FOLLOW","Tekan untuk ikut:"
"TID_SPECTATE_FOLLOWING","Sedang mengikut:"
"TID_FIRST_WIN_INFO_TICKETED_EVENT","Dapatkan <cff8E1b>Token Bintang</c> daripada Pertempuran pertama anda."
"TID_FIRST_WIN_INFO_TEAM_SURVIVAL","Dapatkan <cff8E1b>Token Bintang</c> dengan menduduki dua tempat teratas."
"TID_FIRST_WIN_INFO_SURVIVAL_COMBINED","Main menentang pemain lain dan menduduki empat tempat teratas dalam Solo atau dua tempat teratas dalam Duo untuk mendapat <cff8E1b>Token Bintang</c>."
"TID_CONNECTING_WAIT_FOR_SPECTATE","Menunggu untuk menonton..."
"TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS","TONTON IKLAN UNTUK\nGANDAKAN SATU GANJARAN\nBAKI <VIEWCOUNTREM> UNTUK HARI INI"
"TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW","TONTON IKLAN UNTUK\nGANDAKAN SATU GANJARAN\nBAKI <VIEWCOUNTREM> UNTUK HARI INI"
"TID_GATCHA_AD_STATUS_VIEW_SHOW_VIEWS_CHOISELESS","DAPATKAN LEBIH GANJARAN!\nBaki <VIEWCOUNTREM> tontonan untuk hari ini"
"TID_GATCHA_AD_STATUS_VIEW_SHOW_1VIEW_CHOISELESS","DAPATKAN LEBIH GANJARAN!\nBaki <VIEWCOUNTREM> tontonan untuk hari ini"
"TID_CANNON_DAMAGE","Kerosakan meriam"
"TID_CANNON_HEALTH","Nilai nyawa meriam"
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_OTHER","Pemain ini mempunyai terlalu banyak permintaan tertangguh. Sila cuba lagi kemudian."
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_YOU","Anda telah menghantar terlalu banyak permintaan rakan. Buang satu dan cuba lagi."
"TID_ADD_FRIEND_ERROR_GENERIC","Tidak dapat menghantar jemputan rakan. Sila cuba lagi kemudian."
"TID_ADD_FRIEND_ERROR_DOES_NOT_EXIST","Pemain yang anda cuba tambah tidak wujud."
"TID_ADD_FRIEND_ERROR_OWN_AVATAR","Tidak boleh menjemput diri sendiri sebagai rakan!"
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_OTHER","Rakan anda mempunyai terlalu ramai rakan. Sila cuba lagi kemudian."
"TID_ADD_FRIEND_ERROR_TOO_MANY_FRIENDS_YOU","Anda mempunyai terlalu ramai rakan. Keluarkan seorang jika anda ingin menambah rakan baharu."
"TID_HINT_26","Penny boleh lakukan banyak kerosakan dengan serangan percikannya jika targetnya berkumpul."
"TID_HINT_27","Mendapatkan pasukan bersama sebelum perlawanan membolehkan anda merancang sebelum perlawanan dan memilih gabungan Brawler yang baik."
"TID_HINT_28","Cuba bermain perlawanan persahabatan untuk berlatih acara, anjurkan pertandingan persahabatan dan banyak lagi!"
"TID_HINT_29","Selepas permainan yang baik dengan rakan sepasukan baharu, anda boleh tekan butang ‘Sekali Lagi´ untuk main satu lagi perlawanan bersama mereka!"
"TID_HINT_30","Permainan persahabatan membolehkan anda memilih sebarang acara dan peta. Brawler juga akan dinaik taraf sepenuhnya!"
"TID_HINT_31","Frank berhenti untuk melakukan serangan dan Supernya, memberi peluang kepada pihak lawannya untuk keluar dari julatnya."
"TID_EXPERIENCE","MATA PENGALAMAN (XP)"
"TID_HINT_32","Acara yang menggunakan tiket tidak akan menggunakan Bar Token, sebaliknya tiket diperlukan untuk bermain."
"TID_HINT_33","Anda boleh menjemput rakan kelab dari senarai ahli kelab untuk menjadi rakan anda."
"TID_HINT_34","Anda boleh menjemput pemain dari Pasukan anda untuk menjadi rakan."
"TID_HINT_35","Selepas bermain beberapa permainan hebat dengan seseorang, anda boleh menjemput mereka dari senarai rakan yang disyorkan untuk menjadi rakan anda."
"TID_HINT_36","Anda boleh menjemput pemain dari Pasukan anda untuk menjadi rakan."
"TID_HINT_37","Anda boleh gunakan butang iklan untuk mengiklankan pasukan anda kepada rakan anda dan ahli kelab."
"TID_COOP_GENERATED","Arena Gemuruh"
"TID_MECHANIC_KNIGHT_SKIN","JESSIE KESATRIA"
"TID_FRANK_CAVEMAN_SKIN","FRANK PURBA"
"TID_SOLO","SOLO"
"TID_DUO","DUO"
"TID_INVITE_FRIEND_TOKEN_ERROR_FRIENDS_FULL","Senarai rakan penuh!"
"TID_INVITE_FRIEND_TOKEN_ERROR_TOO_MANY","Terlalu banyak jemputan aktif, cuba lagi kemudian."
"TID_INVITE_FRIEND_TOKEN_ERROR","Ralat menjemput rakan."
"TID_GOLDRUSH_9","Kolam Kejahatan"
"TID_TEAM_JOIN_FINISH_TUTORIAL","Habiskan tutorial untuk menyertai pasukan"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_TITLE","Log masuk gagal"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED","Brawl Stars Beta belum tersedia di negara anda. Semak lagi kemudian!"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_BUTTON","Okey"
"TID_CROW_PHEONIX_SKIN","CROW PHOENIX"
"TID_MECHANIC_SUMMER_SKIN","JESSIE PENYELAM"
"TID_HERO_SCREEN_DIM_COLOR_MUL","222222"
"TID_GUNSLINGER_ROCKSTAR_SKIN_SHOP","COLT\nBINTANG"
"TID_ROCKET_BEACH_SKIN_SHOP","BROCK\nPANTAI"
"TID_CACTUS_PINK_SKIN_SHOP_OLD","SPIKE\nMERAH JAMBU"
"TID_SHAMAN_PANDA_SKIN_SHOP","NITA\nPANDA"
"TID_CROW_WHITE_SKIN_SHOP","CROW\nPUTIH"
"TID_BULL_HAIR_SKIN_SHOP","BULL\nVIKING"
"TID_TRICKSHOT_GOLD_SKIN_SHOP_OLD","LANTUNAN\nPINGAT EMAS"
"TID_BARKEEP_GOLD_SKIN_SHOP","BARLEY\nEMAS"
"TID_LUCHADOR_RUDO_SKIN_SHOP","EL RUDO\nPRIMO"
"TID_SHOTGUN_BANDITA_SKIN_SHOP","BANDITA\nSHELLY"
"TID_LUCHADOR_KING_SKIN_SHOP","EL REY\nPRIMO"
"TID_MECHANIC_KNIGHT_SKIN_SHOP","JESSIE\nKESATRIA"
"TID_FRANK_CAVEMAN_SKIN_SHOP","FRANK\nPURBA"
"TID_MECHANIC_SUMMER_SKIN_SHOP","JESSIE\nPENYELAM"
"TID_CROW_PHEONIX_SKIN_SHOP","CROW\nPHOENIX"
"TID_GOLDRUSH_10","Kamar Gema"
"TID_BANKHEIST_5","Pagaran Menarik"
"TID_BATTLE_ROYALE_D7","Kaki Beli"
"TID_BATTLE_ROYALE_8","Pencerobohan Pulau"
"TID_BATTLE_ROYALE_6","Gempa Gua"
"TID_CLAN_CHAT_JUMP_TO_NEW","<count> mesej baharu"
"TID_CLAN_CHAT_NEW","BAHARU"
"TID_BANKHEIST_6","Jalan Keluar"
"TID_GOLDRUSH_11","Lombong Banjir"
"TID_ERROR_POP_UP_LOGIN_NOT_ALLOWED_ANDROID","Anda mesti memuat turun Brawl Stars Beta dari Google Play Store (hanya tersedia di negara terpilih). Peranti Root kini tidak disokong. Semak lagi kemudian!"
"TID_RATE_APP_MESSAGE_ANDROID","Sila menilai atau mengulas Brawl Stars di Play Store untuk memberi kami maklum balas bernilai!"
"TID_BIND_TO_NEW_GOOGLE_SERVICE_ACCOUNT_TITLE","Daftar Masuk Google Play Baharu"
"TID_BIND_TO_NEW_GOOGLE_SERVICE_ACCOUNT","Anda ingin menyimpan permainan semasa anda pada akaun Google Play ini?"
"TID_SHOWDOWN_END","SHOWDOWN!"
"TID_SETTINGS_FIXES_JOYSTICK","KAWALAN PERGERAKAN DIKUNCI"
"TID_SETTINGS_SC_ID","SUPERCELL ID"
"TID_LANGUAGE_LOCALIZED_NAME","Bahasa Melayu"
"TID_POPUP_CHANGE_LANGUAGE_TITLE","Tukar bahasa?"
"TID_POPUP_CHANGE_LANGUAGE","Anda pasti ingin menukar bahasa?"
"TID_SKIN_RARITY_1","<cffffff>Biasa</c>"
"TID_SKIN_RARITY_2","<c0070dd>Jarang</c>"
"TID_SKIN_RARITY_3","<ca335ee>Epik</c>"
"TID_SKIN_RARITY_4","<cff8000>Legenda</c>"
"TID_BANKHEIST_7","Koridor Kaktus"
"TID_BATTLE_ROYALE_9","Angin Baratan"
"TID_BATTLE_ROYALE_10","Hanyutan Gumuk"
